Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1997,11.722,7.162,7.162,0.0,0.0,,,0.939,,,,,0.937,,,,9.038,2.491,3.221,-0.73,0.0,0.193,,,,0.193,2.684,,5.65,5.65,,0.0,,,,,,3.309,,,3.309,8.959,0.0,,,,,0,,,,,,0,0.0,8.959,0.006,13.709,,,0,,-10.952,2.763,0.0,2.763,11.722,
06/30/1997,63.098,56.392001,47.700001,8.692,0.0,,,1.652,,,,,1.162,,,,59.206001,3.564,4.896,-1.332,0.0,0.328,,,,0.328,3.892,,10.327,10.327,,0.0,,,,,,7.030001,,,7.030001,17.357,0.181,,,,,0,,,,,,0,0.181,17.538,0.0,63.987,,,0,,-18.427,45.559999,0.0,45.559999,63.098,
09/30/1997,57.446999,48.181,44.687,3.494,0.0,,,2.732,,,,,1.784,,,,52.696999,4.403,6.71,-2.307,0.0,0.347,,,,0.347,4.75,,15.386,15.386,,0.0,,,,,,4.462,,,4.462,19.848,0.181,,,,,0,,,,,,0,0.181,20.029,0.0,63.987,,,0,,-26.569,37.417999,0.0,37.417999,57.446999,
12/31/1997,149.843994,125.375001,1.876,123.499001,0.0,,,8.971,,,,,3.363,,,,137.709,9.726,13.49,-3.764,0.0,2.409,,,,2.409,12.135,,33.027,33.027,,1.5,,,,,,10.023998,,,10.023998,44.550999,76.702003,,,,,0,,,,,,0,76.702003,121.253002,0.0,68.035004,,,0,,-39.444,28.591003,0.0,28.591003,149.844006,
03/31/1998,145.007004,116.819998,98.599998,18.219999,0.0,,,11.674,0.0,0.0,11.674,0.0,4.399,,,,132.893005,9.773,14.97,-5.197,0.0,2.341,,,,2.341,12.114,,34.374001,34.374001,,0.684,,,,,,13.42,,,13.42,48.478001,76.702003,,,,,0,,,,,,0,76.702003,125.180004,0.0,64.194,,,0,,-44.367001,19.827,0.0,19.827,145.007004,
06/30/1998,443.759003,339.918996,2.523,337.395996,0.0,,,17.035,0.0,0.0,17.035,0.0,12.487,,,,369.44101,14.014,21.174,-7.16,0.284,60.02,,,,60.02,74.318,,47.556,47.556,,0.684,,,,,,23.684004,,,23.684004,71.924004,332.406006,,,,,0,,,,,,0,332.406006,404.330009,0.0,104.864998,,,0,,-65.435997,39.429001,0.0,39.429001,443.75901,
09/30/1998,619.713989,337.259992,14.856,322.403992,0.0,,,19.771999,0.0,0.0,19.771999,0.0,17.625,,,,374.657013,23.820999,34.223,-10.402,0.582,220.654007,213.063995,,,7.590012,245.057006,,60.046001,60.046001,,0.684,,,,,,38.725,,,38.725,99.455002,340.494995,,,,,0,,,,,,0,340.494995,439.949997,0.0,298.848999,,,0,,-119.084999,179.764,0.0,179.764,619.713997,
12/31/1998,648.460022,373.445004,25.561001,347.884003,0.0,,,29.500999,0.0,0.0,29.500999,0.0,21.308001,,,,424.253998,29.791,43.584999,-13.794,7.74,186.675003,186.376999,,,0.298004,224.206003,,113.273003,113.273003,,0.684,,,,,,47.617994,,,47.617994,161.574997,348.140015,,,,,0,,,,,,0,348.140015,509.715012,0.0,301.722992,,,0,,-162.977997,138.744995,0.0,138.744995,648.460007,
03/31/1999,1812.984009,1442.965041,5.248,1437.717041,0.0,,,45.236,0.0,0.0,45.236,0.0,37.077,,,,1525.277954,60.599998,79.385002,-18.785,0.0,227.106003,187.194,,,39.912003,287.706001,,133.018005,133.018005,,7.186,,,,,,61.381001,,,61.381001,201.585007,1533.862061,,,,,0,,,,,,0,1533.862061,1735.447067,0.0,308.028015,,,0,,-230.490997,77.537018,0.0,77.537018,1812.984085,
06/30/1999,2298.214,1144.237,42.539,1101.698,0.0,,,59.387,0.0,0.0,59.387001,0.0,53.334,,,,1256.958,156.333,183.228,-26.895,106.02,778.903,741.9,657.1,84.8,37.003,1041.256,,165.983,165.983,,9.873,,,,,,102.088,,,102.088,277.944,1449.224,,,,,0,,,,,,0,1449.224,1727.168,0.0,981.106,,,0,-361.735,-48.325,571.046,0.0,571.046,2298.214,
