Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non-Cash Adjustments,Net Ch in Operating Capital,Accrued Interest Receivable,Accrued Interest Payable,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,4.4,2.298,0.449,,0.0,,,,0.0,1.653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,3.728,2.475,0.862,,0.0,,,,0.0,0.391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,0.189,2.59,0.922,,0.0,,,,0.0,-3.323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,4.802,2.76,1.488,,0.0,,,,0.0,0.554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1991,4.653,2.85,0.791,,0.0,,,,0.0,1.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,2.117,2.875,0.754,,0.0,,,,0.0,-1.512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,12.892,3.216,3.685,,0.0,,,,0.0,5.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,-8.099,3.313,0.07,,0.0,,,,0.0,-11.482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1992,1.854,3.41,1.801,,0.0,,,,0.0,-3.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,11.024,3.453,2.585,,0.0,,,,0.0,4.986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
