Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Provision for Doubtful Accounts,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Disposal of Fixed Assets,Property Additions,Property Improvements,Change in Investments,Change in Notes,Change in Mortgages,Change in Real Estate Interest,Other Investing Activities,Cash from Investing Activities,Cash from Financing Activities,Dividends Paid,Preferred Dividends Other Distributions,Proceeds from Repayments of Borrowings,Change in Unsecured Debt,Change in Secured Debt,Increase in Capital Stocks,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Source: Bloomberg
03/31/1994,8.533,10.104,2.615,0.0,-0.693,-3.493,,,,,,,,,,,,,,,,,,,,,
06/30/1994,10.459,10.114,2.675,0.0,-0.55,-1.78,,,,,,,,,,,,,,,,,,,,,
09/30/1994,11.667,10.53,2.717,0.0,-0.757,-0.823,,,,,,,,,,,,,,,,,,,,,
12/31/1994,16.289,10.492,2.832,0.0,-0.824,3.789,,,,,,,,,,,,,,,,,,,,,
03/31/1995,16.040001,11.837,2.801,0.0,-0.16,1.562,,,,,,,,,,,,,,,,,,,,,
06/30/1995,11.599,13.185,2.936,0.0,0.022,-4.544,,,,,,,,,,,,,,,,,,,,,
09/30/1995,16.216,13.567,3.002,0.0,-0.049,-0.304,,,,,,,,,,,,,,,,,,,,,
12/31/1995,19.027,14.419,3.04,0.0,-0.287,1.855,,,,,,,,,,,,,,,,,,,,,
03/31/1996,18.202,15.922,3.09,0.0,-0.707,-0.103,,0.0,-1.501,0.0,41.192001,0.0,0.0,0.0,-17.0,22.691,-34.348,-14.813,0.0,-20.211,,,0.676,0.0,0.0,6.545,
06/30/1996,15.574,15.12,3.152,0.0,-0.61,-2.088,,0.0,-9.531,0.0,0.0,0.0,0.0,0.0,0.0,-9.531,-14.967,-14.814,0.0,-0.384,,,0.231,0.0,0.0,-8.924,
09/30/1996,16.121,14.939,3.189,0.0,-0.473,-1.534,,0.0,-0.427,0.0,0.298,0.0,0.0,0.0,0.0,-0.129,-10.971,-14.932,0.0,29.813999,,,4.459,0.0,-30.312,5.021,
