Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Trading Assets & Liab,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
06/30/1989,5.696,3.054,1.685,4.962,,,,4.962,-4.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1989,-17.941999,3.429,1.702,6.179,,,,6.179,-29.252001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1989,-9.898,3.7,1.751,-6.16,,,,-6.16,-9.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1990,18.018,1.662,1.747,-0.328,,,,-0.328,14.937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,-1.219,3.089,1.838,-0.74,,,,-0.74,-5.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,-24.624001,3.652,1.827,-0.133,,,,-0.133,-29.969999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,38.015999,2.621,2.35,-24.229,,,,-24.229,57.273998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1991,-13.933,4.162,2.525,4.217,,,,4.217,-24.837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,-17.867001,4.13,2.593,0.476,,,,0.476,-25.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,26.872,4.592,2.33,1.29,,,,1.29,18.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,-39.594002,5.776,2.367,-1.836,,,,-1.836,-45.901001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1992,-23.818001,6.619,2.184,-3.032,,,,-3.032,-29.589001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,39.908001,7.604,2.174,-6.626,,,,-6.626,36.756001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,-48.926998,6.844,1.998,3.478,,,,3.478,-61.247002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,62.209999,7.045,2.092,-3.742,,,,-3.742,56.814999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1993,-24.542999,8.71,2.14,-1.223,,,,-1.223,-34.169998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.542999,,,
06/30/1993,-17.152,8.132,2.074,-0.69,,,,-0.69,-26.667999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,36.105,11.36,2.024,-13.244,,,,-13.244,35.965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,71.606003,9.889,2.151,3.454,,,,3.454,56.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1994,-17.282,6.667,2.079,10.784,,,,10.784,-36.812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.282,,,
06/30/1994,-9.928,5.003,2.342,-2.613,,,,-2.613,-14.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,5.022,3.101,2.248,2.884,,,,2.884,-3.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,67.721001,4.133,2.387,-21.021,,,,-21.021,82.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1995,-0.546,4.024,3.484,19.900999,,,,19.900999,-27.955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.546,,,
06/30/1995,-4.181,7.826,3.518,-3.678,,,,-3.678,-11.847,,,,,-3.326,,-3.326,,,,,,,,,,,,,,,,,,3.326,,,,,,,,,,,,,,,,,
09/30/1995,-89.702003,9.231,3.534,-14.403,,,,-14.403,-88.064003,,,,,-3.657,,-3.657,,,,,,,,,,,,,,,,,,3.657,,,,,,,,,,,,,,,,,
12/31/1995,191.876007,8.317,3.612,8.989,,,,8.989,170.957993,,,,,-2.838,,-2.838,,,,,,,,,,,,,,,,,,2.838,,,,,,,,,,,,,,,,,
03/31/1996,-48.101002,12.493,3.581,3.345,,,,3.345,-67.519997,,,,-2.956,-2.956,,-2.956,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,-51.057002,,,
06/30/1996,-77.253998,12.9,3.734,4.071,,,,4.071,-97.959,,,,,-2.679,,-2.679,,,,,,,,,,,,,,,,,,2.679,,,,,,,,,,,,,,,,,
09/30/1996,122.024002,13.896,3.887,-11.319,,,,-11.319,115.559998,,,,,-2.257,,-2.257,,,,,,,,,,,,,,,,,,2.257,,,,,,,,,,,,,,,,,
