Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
04/29/1989,178.326996,,-112.184998,,66.141998,,-51.303001,,,14.839,-2.734,,4.257,,0.0,-1.523,12.105,-4.479,7.626,0.0,,,7.626,0.0,7.626,0.0,,7.626,7.626,,55.542,0.14,0.14,,55.542,0.14,0.14,0.14,
07/29/1989,199.699997,,-126.137001,,73.562996,,-54.290001,,,19.273001,-3.366,,4.478,,0.0,-1.112,15.907001,-5.886,10.021,0.0,,,10.021,0.0,10.021,0.0,,10.021,10.021,,60.09,0.18,0.18,,60.09,0.18,0.18,0.18,
10/28/1989,205.098007,,-130.768997,,74.32901,,-56.479,,,17.85,-3.625,,4.373,,0.0,-0.748,14.225,-5.263,8.962,0.0,,,8.962,0.0,8.962,0.0,,8.962,8.962,,56.061001,0.16,0.16,,56.061001,0.16,0.16,0.16,
02/03/1990,215.565994,,-134.143997,,81.421997,,-64.303001,,,17.118999,-4.232,,4.946,,0.0,-0.714,12.886999,-4.433,8.454,0.0,,,8.453999,0.0,8.454,0.0,,8.454,8.454,,55.748501,0.15,0.15,,55.748501,0.15,0.15,0.15,
05/05/1990,213.033997,,-133.044998,,79.988998,,-60.898998,,,19.09,-4.224,,4.678,,0.0,-0.454,14.866,-5.426,9.44,0.0,,,9.44,0.0,9.44,0.0,,9.44,9.44,,56.040001,0.17,0.17,,56.040001,0.17,0.17,0.17,
08/04/1990,234.270004,,-143.419006,,90.850998,,-65.889,,,24.962,-4.29,,4.702,,0.0,-0.412,20.672,-7.545,13.127,0.0,,,13.127,0.0,13.127,0.0,,13.127,13.127,,60.490002,0.23,0.23,,60.490002,0.23,0.23,0.23,
11/03/1990,224.822998,,-140.692001,,84.130997,,-66.683998,,,17.447001,-4.399,,4.79,,0.0,-0.391,13.048001,-4.763,8.285,0.0,,,8.285001,0.0,8.285,0.0,,8.285,8.285,,56.227001,0.15,0.15,,56.227001,0.15,0.15,0.15,
02/02/1991,212.546997,,-196.608002,,15.938995,,,,,15.939,-5.748,,6.092,,0.0,-0.344,10.191,-3.513,6.678,0.0,,,6.678,0.0,6.678,0.0,,6.678,6.678,,55.604,0.12,0.12,0.12,55.604,0.12,0.12,0.12,
05/04/1991,235.050995,,-176.175003,,58.875992,,-41.789001,,,17.087,-5.793,,6.264,,0.0,-0.471,11.294,-4.066,7.228,0.0,,,7.228,0.0,7.228,0.0,,7.228,7.228,,56.066002,0.13,0.13,,56.066002,0.13,0.13,0.13,
08/03/1991,261.799988,,-193.367996,,68.431992,,-44.751999,,,23.68,-6.007,,6.489,,0.0,-0.482,17.673,-6.362,11.311,0.0,,,11.311,0.0,11.311,0.0,,11.311,11.311,,60.492001,0.2,0.2,,60.492001,0.2,0.2,0.2,
11/02/1991,261.233002,,-193.690994,,67.542007,,-45.460999,,,22.080999,-5.289,,6.066,,0.0,-0.777,16.791999,-6.045,10.747,0.0,,,10.746999,0.0,10.747,0.0,,10.747,10.747,,61.004002,0.19,0.19,,61.004002,0.19,0.19,0.19,
02/01/1992,243.423996,,-178.348999,,65.074997,,-44.272999,,,20.802,-6.049,,6.252,,0.0,-0.203,14.753,-5.167,9.586,0.0,,,9.586,0.0,9.586,0.0,,9.586,9.586,,55.762501,0.17,0.17,0.17,55.762501,0.17,0.17,0.17,
05/02/1992,275.562988,,-205.369995,,70.192993,,-47.292999,,,22.9,-5.969,,6.187,,0.0,-0.218,16.931,-6.095,10.836,0.0,,,10.836,0.0,10.836,0.0,,10.836,10.836,,57.622002,0.19,0.19,,57.622002,0.19,0.19,0.19,
08/01/1992,309.210999,,-229.436005,,79.774994,,-49.598999,,,30.176001,-4.137,,4.747,,0.0,-0.61,26.039,-9.374,16.665001,0.0,,,16.665001,0.0,16.665001,0.0,,16.665001,16.665001,,61.561001,0.27,0.27,,61.561001,0.27,0.27,0.27,
10/31/1992,298.80899,,-223.768997,,75.039993,,-48.834999,,,26.205,-3.15,,4.468,,0.0,-1.318,23.055,-8.3,14.755,0.0,,,14.755,0.0,14.755,0.0,,14.755,14.755,,61.730999,0.24,0.24,,61.730999,0.24,0.24,0.24,
01/30/1993,272.010986,,-200.078995,,71.931991,,-48.432999,,,23.499001,-3.909,,4.778,,0.0,-0.869,19.590001,-7.267,12.323,0.0,,,12.323001,0.0,12.323,0.0,,12.323,12.323,,61.818001,0.2,0.2,0.2,61.818001,0.2,0.2,0.2,
