Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,402.399994,80.699997,80.699997,,27.1,,,42.099998,,,,,16.799999,,,,,,,166.699997,35.299999,182.699997,-147.399994,,,,200.399994,,,,,200.399994,235.699993,,,,,,,12.5,,,,,,47.700001,,,47.700001,60.200001,52.799999,,,,,60.099998,,,,60.099998,112.899998,173.099998,,78.5,,,-123.5,,274.300003,229.300003,,229.300003,402.400002,
06/30/1990,420.600006,79.199997,79.199997,,45.700001,,,41.599998,,,,,17.6,,,,,,,184.100006,35.5,183.300003,-147.800003,,,,201.0,,,,,201.0,236.5,,,,,,,12.2,,,,,,51.599999,,,51.599999,63.799999,52.900002,,,,,62.700001,,,,62.700001,115.600002,179.400002,,78.400002,,,-123.300003,,286.100006,241.200005,,241.200005,420.600006,
09/30/1990,446.299988,115.5,115.5,,53.200001,,,22.200001,,,,,15.3,,,,,,,206.199997,37.099998,184.600006,-147.5,,,,203.0,,,,,203.0,240.099998,,,,,,,11.9,,,,,,60.299997,,,60.299997,72.199997,47.0,,,,,84.199997,,,,84.199997,131.199997,203.399994,,78.400002,,,-123.199997,,287.699997,242.900002,,242.900002,446.299995,
12/31/1990,507.5,98.099998,98.099998,,38.5,,,36.099998,,,,,93.5,,,,,,,266.200012,36.599998,183.300003,-146.699997,,,,204.699997,,,,,204.699997,241.299995,,29.200001,29.200001,,,,11.8,,,,,,53.300002,,,53.300002,94.300003,41.200001,,,,,81.199997,,,,81.199997,122.399998,216.700001,,78.400002,,,-123.300003,,335.699997,290.799995,,290.799995,507.499996,
03/31/1991,469.700012,116.599997,102.199997,14.4,42.400002,,,53.900002,,,,,18.1,,,,,,,231.0,36.200001,181.0,-144.800003,,,,202.5,,,,,202.5,238.700001,,,,,,,11.8,,,,,,74.299998,,,74.299998,86.099998,41.200001,,,,,82.099998,,,,82.099998,123.299999,209.399998,,77.900002,,,-122.400002,,304.799995,260.299995,,260.299995,469.699993,
06/30/1991,462.0,103.900002,103.900002,,49.200001,,,51.700001,,,,,16.4,,,,,,,221.199997,35.900002,180.100006,-144.199997,,,,204.899994,,,,,204.899994,240.799995,,,,,,,11.8,,,,,,58.100001,,,58.100001,69.900002,41.200001,,,,,81.099998,,,,81.099998,122.299999,192.200001,,76.400002,,,-119.400002,,312.799995,269.799995,,269.799995,461.999996,
09/30/1991,467.399994,118.099998,118.099998,,62.200001,,,34.0,,,,,17.200001,,,,,,,231.5,36.0,174.5,-138.5,,,,199.899994,,,,,199.899994,235.899994,,,,,,,11.8,,,,,,58.2,,,58.2,70.0,35.299999,,,,,82.900002,,,,82.900002,118.200001,188.200001,,76.099998,,,-118.699997,,321.800003,279.200005,,279.200005,467.400005,
12/31/1991,472.5,95.900002,95.900002,,37.099998,,,35.400002,,,,,37.299999,,,,,,,205.699997,36.099998,175.399994,-139.300003,35.200001,,,195.5,,,,,195.5,266.799999,,11.9,11.9,,,,11.8,,,,,,42.3,,,42.3,66.0,29.4,,,,,86.300003,,,,86.300003,115.700003,181.700003,,77.900002,,,-117.800003,,330.699997,290.799996,,290.799996,472.499999,
03/31/1992,470.5,95.199997,95.199997,,47.900002,,,44.099998,,,,,20.1,,,,,,,207.300003,35.799999,176.100006,-140.300003,34.599998,,,192.800003,,,,,192.800003,263.200001,,,,,,,11.8,,,,,,49.400001,,,49.400001,61.200001,29.299999,,,,,86.599998,,,,86.599998,115.899998,177.099998,,77.599998,,,-116.300003,,332.100006,293.400002,,293.400002,470.5,
06/30/1992,510.799988,120.099998,120.099998,,54.5,,,42.5,,,,,18.299999,,,,,,,235.399994,35.700001,176.600006,-140.899994,39.200001,,,200.5,,,,,200.5,275.400002,,,,,,,0.1,,,,,,44.600001,,,44.600001,44.700001,75.0,,,,,89.199997,,,,89.199997,164.199997,208.899998,,77.5,,,-116.199997,,340.599991,301.899994,,301.899994,510.799992,
