Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
05/31/1989,1077.281006,92.726997,92.726997,0.0,240.781998,,,245.992004,,,,,58.07,,,,,637.570984,350.78299,564.129028,-213.345993,0.0,88.927002,,,,88.927002,439.709991,,56.075001,56.075001,,,,26.455999,,,,,83.948004,,,83.948004,166.479004,247.906998,,,,91.470001,,,,91.470001,339.376999,505.856003,0.0,,,,,,571.424988,571.424988,0.0,571.424988,1077.280991,
08/31/1989,1047.619019,58.199001,58.199001,0.0,235.207993,,,262.919006,,,,,47.271999,,,,,603.598022,345.605988,568.906006,-223.300003,0.0,98.415001,,,,98.415001,444.020988,,62.262001,62.262001,,,,31.679001,,,,,51.812996,,,51.812996,145.753998,246.970001,,,,91.472,,,,91.472,338.442001,484.195999,0.0,,,,,,563.422974,563.422974,0.0,563.422974,1047.618973,
11/30/1989,1146.463013,24.243999,24.243999,0.0,390.803009,,,232.794998,,,,,48.987,,,,,696.828979,346.54599,578.403015,-231.856995,0.0,103.087997,,,,103.087997,449.633987,,81.597,81.597,,,,66.959,,,,,71.298996,,,71.298996,219.854996,246.925995,,,,91.668999,,,,91.668999,338.594994,558.449989,0.0,,,,,,588.013,588.013,0.0,588.013,1146.46299,
02/28/1990,1141.015991,122.668999,122.668999,0.0,254.285004,,,242.313995,,,,,61.676998,,,,,680.945007,352.28299,576.666016,-224.382996,0.0,107.788002,,,,107.788002,460.070992,,75.146004,75.146004,,,,36.523998,,,,,89.085995,,,89.085995,200.755997,235.496994,,,,100.158997,,,,100.158997,335.655991,536.411987,0.0,142.242996,,,-26.691999,,489.052992,604.603989,0.0,604.603989,1141.015976,
05/31/1990,1175.212036,96.276001,96.276001,0.0,285.783997,,,266.968994,,,,,63.632999,,,,,712.661987,345.851013,580.708008,-234.856995,0.0,116.698997,,,,116.698997,462.550011,,80.986,80.986,,,,45.749001,,,,,97.317001,,,97.317001,224.052002,233.227997,,,,100.265999,,,,100.265999,333.493996,557.545998,0.0,,,,,,617.666016,617.666016,0.0,617.666016,1175.212013,
08/31/1990,1156.332031,41.201,41.201,0.0,283.735992,,,301.059998,,,,,56.373001,,,,,682.369995,346.5,593.771973,-247.272003,0.0,127.461998,,,,127.461998,473.961998,,76.653999,76.653999,,,,54.648998,,,,,79.896008,,,79.896008,211.199005,242.591003,,,,100.896004,,,,100.896004,343.487007,554.686012,0.0,,,,,,601.645996,601.645996,0.0,601.645996,1156.332008,
11/30/1990,1301.93396,39.716,39.716,0.0,431.639008,,,275.252991,,,,,60.811001,,,,,807.419006,348.059998,598.078003,-250.018005,0.0,146.455002,,,,146.455002,494.514999,,78.444,78.444,,,,148.414993,,,,,92.861008,,,92.861008,319.720001,247.136993,,,,101.087997,,,,101.087997,348.224991,667.944992,0.0,,,,,,633.989014,633.989014,0.0,633.989014,1301.934006,
02/28/1991,1255.713989,80.532997,80.532997,0.0,293.432007,,,277.630005,,,,,86.791,,,,,738.385986,357.119995,612.646973,-255.526993,0.0,160.207993,,,,160.207993,517.327988,,99.466003,99.466003,,,,46.879002,,,,,107.87199,,,107.87199,254.216995,246.181,,,,98.709999,,,,98.709999,344.890999,599.107994,0.0,146.636993,,,-41.584,,551.552994,656.605987,0.0,656.605987,1255.713981,
05/31/1991,1358.400024,160.029007,160.029007,0.0,267.516998,,,291.385986,,,,,98.260002,,,,,817.192017,349.835999,612.767029,-262.931,0.0,191.371994,,,,191.371994,541.207993,,89.653,89.653,,,,55.299,,,,,71.533001,,,71.533001,216.485001,243.858002,,,,96.566002,,,,96.566002,340.424004,556.909004,0.0,,,,,,801.491028,801.491028,0.0,801.491028,1358.400032,
08/31/1991,1352.375977,104.233002,104.233002,0.0,275.996002,,,325.063995,,,,,94.311996,,,,,799.60498,357.484985,629.885986,-272.401001,0.0,195.285995,,,,195.285995,552.770981,,78.555,78.555,,,,65.005997,,,,,60.183998,,,60.183998,203.744995,248.718994,,,,96.564003,,,,96.564003,345.282997,549.027992,0.0,,,,,,803.348022,803.348022,0.0,803.348022,1352.376015,
11/30/1991,1474.08606,48.888,48.888,0.0,457.121002,,,285.023987,,,,,105.251999,,,,,896.284973,368.328003,650.356995,-282.028992,0.0,209.473007,,,,209.473007,577.80101,,85.849998,85.849998,,,,99.236,,,,,98.385986,,,98.385986,283.471985,255.856995,,,,95.830002,,,,95.830002,351.686996,635.158981,0.0,,,,,,838.927002,838.927002,0.0,838.927002,1474.085983,
