Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Enterprise Value,Total Capital,Total Debt/Total Capital,Total Debt/EV,EV/Sales,EV/EBITDA,EV/EBIT,Diluted Market Cap,Diluted Enterprise Value,EV per Share,Trailing 12 Month Values for Ratios,Source: Bloomberg
09/30/1999,,,,,,,,,,,,,,,,,
12/30/1999,,,,,,,,,,,,,,,,,
04/01/2000,,,,,,,,,,,,,,,,,
07/01/2000,,,,,,,,,,,,,,,,,
09/30/2000,,-0.164,0.0,0.0,77.143001,,165.679004,46.561724,,,,,,,,,
12/30/2000,1250.998764,-37.226,0.0,0.0,62.153,1275.925764,190.027001,32.707457,0.048712,2.202603,,5.708968,1279.748764,1304.675764,3.665358,,
03/31/2001,1257.960844,-7.241,0.0,0.0,30.509,1281.228844,166.512006,18.322403,0.023812,2.171858,,7.735908,1312.080301,1335.348302,3.680592,,
06/30/2001,1662.2523,-3.691,0.0,0.0,11.435,1669.9963,159.749,7.158104,0.006847,2.781051,12.807898,15.716576,1736.4498,1744.1938,4.778408,,
09/29/2001,1151.594364,-4.733,0.0,14.095,44.190001,1205.146365,215.137006,20.5404,0.036668,1.944732,9.031846,11.05791,1195.60096,1249.152961,3.467848,,
12/29/2001,1676.822147,-66.523003,0.0,14.897,3.69,1628.886145,230.213007,1.602863,0.002265,2.527678,11.455298,13.896686,1715.854688,1667.918686,4.660352,,
03/30/2002,2241.990611,-76.278,0.0,15.586,39.075999,2220.37461,284.012005,13.758573,0.017599,3.263927,14.381689,17.268698,2323.684424,2302.068424,6.277635,,
06/29/2002,2455.5123,-93.962,0.0,14.547,37.859,2413.9563,312.762,12.104731,0.015683,3.355499,14.798109,17.61909,2537.0937,2495.5377,6.746362,,
09/28/2002,2381.992997,-44.033001,0.0,15.863,38.657002,2392.479998,293.410993,13.175035,0.016158,3.141832,13.159304,15.420829,2493.903032,2504.390033,6.807339,,
12/28/2002,2836.309645,-171.141006,0.0,18.139,46.119,2729.426639,400.308995,11.52085,0.016897,3.271654,12.687159,14.533301,2896.745802,2789.862795,7.580646,,
03/29/2003,3465.958605,-192.263,0.0,19.733,36.560002,3329.988606,433.922991,8.425459,0.010979,3.728615,13.581036,15.357955,3571.321884,3435.351885,9.199372,,
06/28/2003,4569.7597,-229.176,0.0,22.155,30.086,4392.8247,479.17,6.278774,0.006849,4.608377,16.032616,18.020958,4708.04356,4531.10856,12.001597,,
09/27/2003,5004.289436,-255.356995,0.0,24.849001,31.768,4805.549442,549.686001,5.779299,0.006611,4.716826,15.483043,17.299902,5183.609382,4984.869388,13.033483,,
12/27/2003,6993.289513,-372.774994,0.0,30.135,37.967001,6688.61652,657.771008,5.77207,0.005676,5.962397,18.022301,19.913531,7201.357373,6896.68438,17.937911,,
