Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2009,245.751,245.751,-107.523,107.523,138.228,0.0,-51.025,30.223,3.097,17.705,0.0,87.203,-8.509,,8.154,,-0.043,,0.398,78.694,-33.779,44.915,0.0,0.0,0.0,44.915,0.0,44.915,0.0,0.0,44.915,47.18025,2.26525,173.938,0.26,0.26,0.271248,180.60445,0.25,0.25,0.262543,
06/30/2009,257.916,257.916,-112.978,112.978,144.938,0.0,-57.087,35.502,3.403,18.182,0.0,87.851,-8.441,,8.523,,-0.049,,-0.033,79.41,-33.471,45.939,0.0,0.0,0.0,45.939,0.0,45.939,0.0,0.0,45.939,45.9338,-0.0052,172.887331,0.27,0.27,0.265686,179.824479,0.26,0.26,0.259971,
09/30/2009,258.311,258.311,-117.383,117.383,140.928,0.0,-56.133,38.5,,17.633,0.0,84.795,-9.396,,9.449,,-0.029,,-0.024,75.399,-33.194,42.205,0.0,0.0,0.0,42.205,0.0,42.205,0.0,0.0,42.205,42.3519,0.1469,172.7964,0.24,0.24,0.245097,179.85085,0.23,0.23,0.230817,
12/31/2009,265.126,265.126,-153.41,153.41,111.716,0.0,-69.558,51.879,,17.679,0.0,42.158,-11.056,,9.139,,-0.074,,1.991,31.102,-37.547,-6.445,0.0,0.0,0.0,-6.445,0.0,-6.445,0.0,0.0,-6.445,-4.6783,1.7667,179.545631,-0.04,-0.04,-0.026056,188.479023,-0.04,-0.04,-0.030627,
03/31/2010,276.154,276.154,-114.993,114.993,161.161,0.0,-54.747,37.514,,17.233,0.0,106.414,-8.402,,8.466,,-0.032,,-0.032,98.012,-42.637,55.375,0.0,0.0,0.0,55.375,0.0,55.375,0.0,0.0,55.375,55.8144,0.4394,180.05355,0.31,0.31,0.309988,189.454756,0.29,0.29,0.292319,
06/30/2010,281.677,281.677,-115.0,115.0,166.677,0.0,-59.602,42.638,,16.964,0.0,107.075,-8.324,,8.445,,-0.092,,-0.029,98.751,-40.347,58.404,0.0,0.0,0.0,58.404,0.0,58.404,0.0,0.0,58.404,58.38515,-0.01885,180.492106,0.32,0.32,0.323478,189.541893,0.31,0.31,0.309901,
09/30/2010,287.354,287.354,-117.005,117.005,170.349,0.0,-56.631,40.982,,16.193,-0.544,113.718,-8.416,,8.484,,-0.059,,-0.009,105.302,-42.422,62.88,0.0,0.0,0.0,62.88,,62.88,0.0,0.0,62.88,62.52055,-0.35945,178.687236,0.35,0.35,0.349888,187.188667,0.34,0.34,0.33808,
12/31/2010,293.158,293.158,-116.475,116.475,176.683,0.0,-62.976,45.24,,17.736,0.0,113.707,-9.122,,9.269,,-0.122,,-0.025,104.585,-38.692,65.893,0.0,0.0,0.0,65.893,0.0,65.893,0.0,0.0,65.893,65.87675,-0.01625,171.70112,0.38,0.38,0.383671,179.394531,0.37,0.37,0.369909,
03/31/2011,312.869,312.869,-124.556,124.556,188.313,0.0,-69.016,49.256,,19.76,0.0,119.297,-9.243,,9.615,,-0.01,,-0.362,110.054,-44.178,65.876,0.0,0.0,0.0,65.876,0.0,65.876,0.0,0.0,65.876,65.6407,-0.2353,169.030227,0.39,0.39,0.388337,176.964192,0.37,0.37,0.36867,
06/30/2011,327.28,327.28,-131.185,131.185,196.095,0.0,-72.277,55.909,,19.732,-3.364,123.818,-14.77,,14.885,,0.01,,-0.125,109.048,-43.471,65.577,0.0,0.0,0.0,65.577,0.0,65.577,0.0,0.0,65.577,63.30915,-2.26785,166.960806,0.39,0.39,0.379186,174.634046,0.38,0.38,0.367014,
09/30/2011,340.098,340.098,-137.619,137.619,202.479,0.0,-71.07,51.475,,19.595,0.0,131.409,-14.58,,14.593,,-0.099,,0.086,116.829,-45.842,70.987,0.0,0.0,0.0,70.987,0.0,70.987,0.0,0.0,70.987,71.0429,0.0559,164.195325,0.43,0.43,0.432673,171.169658,0.41,0.41,0.410327,
12/31/2011,351.593,351.593,-140.375,140.375,211.218,0.0,-72.361,52.829,,19.532,0.0,138.857,-14.367,,14.754,,-0.102,,-0.285,124.49,-44.172,80.318,0.0,0.0,0.0,80.318,0.0,80.318,0.0,0.0,80.318,80.13275,-0.18525,163.874595,0.49,0.49,0.488988,170.532542,0.47,0.47,0.468914,
03/31/2012,346.501,346.501,-133.33,133.33,213.171,0.0,-74.21,53.979,,20.231,0.0,138.961,-15.95,,16.385,,-0.105,,-0.33,123.011,-48.41,74.601,0.0,0.0,0.0,74.601,0.0,74.601,0.0,0.0,74.601,74.913,0.312,164.836992,0.45,0.45,0.454467,171.35082,0.44,0.44,0.441821,
06/30/2012,373.226,373.226,-147.074,147.074,226.152,0.0,-87.75,62.473,,25.277,0.0,138.402,-17.251,,17.377,,-0.156,,0.03,121.151,-47.82,73.331,0.0,0.0,0.0,73.331,0.0,73.331,0.0,0.0,73.331,73.36155,0.03055,165.946009,0.44,0.44,0.442081,171.901349,0.43,0.43,0.430178,
09/30/2012,398.863,398.863,-156.749,156.749,242.114,0.0,-86.863,58.707,,28.156,0.0,155.251,-18.635,,18.133,,-0.136,,0.638,136.616,-53.705,82.911,0.0,0.0,0.0,82.911,0.0,82.911,0.0,0.0,82.911,83.13395,0.22295,165.97808,0.5,0.5,0.500873,171.660543,0.48,0.48,0.481299,
12/31/2012,388.481,388.481,-148.553,148.553,239.928,0.0,-82.571,53.284,,29.287,0.0,157.357,-20.545,,20.613,,-0.062,,-0.006,136.812,-39.487,97.325,-0.974,-0.974,0.0,98.299,0.0,98.299,0.0,0.0,98.299,97.3211,-0.0039,166.799952,0.59,0.58,0.58346,171.92536,0.57,0.57,0.569977,
03/31/2013,376.697,376.697,-143.632,143.632,233.065,0.0,-87.537,56.322,,31.215,0.0,145.528,-20.239,,20.09,,-0.044,,0.193,125.289,-45.844,79.445,-1.066,-1.066,0.0,80.511,0.0,80.511,0.0,0.0,80.511,79.57045,0.12545,168.078589,0.48,0.47,0.473412,172.760641,0.47,0.46,0.460726,
06/30/2013,390.356,390.356,-152.429,152.429,237.927,0.0,-91.07,58.198,,32.872,0.0,146.857,-19.577,,19.704,,-0.034,,-0.093,127.28,-45.68,81.6,-2.605,-2.605,0.0,84.205,0.0,84.205,0.0,0.0,84.205,81.53955,-0.06045,168.147069,0.5,0.48,0.48493,172.467688,0.49,0.47,0.469649,
09/30/2013,411.927,411.927,-156.306,156.306,255.621,0.0,-88.786,56.783,,32.003,0.0,166.835,-18.467,,18.692,,,,-0.225,148.368,-53.474,94.894,-1.547,-1.547,0.0,96.441,0.0,96.441,0.0,0.0,96.441,94.89335,-0.00065,168.0441,0.57,0.56,0.564693,172.154553,0.56,0.55,0.549996,
12/31/2013,416.723,416.723,-170.156,170.156,246.567,0.0,-91.52,57.679,,33.841,0.0,155.047,-17.244,,17.65,,,,-0.406,137.803,-51.428,86.375,-0.848,-0.848,0.0,87.223,0.0,87.223,0.0,0.0,87.223,86.37045,-0.00455,167.855888,0.52,0.51,0.514551,171.722557,0.51,0.5,0.499974,
03/31/2014,409.643,409.643,-169.673,169.673,239.97,0.0,-91.127,57.134,,33.993,0.0,148.843,-17.43,,17.439,,,,-0.009,131.413,-46.972,84.441,-31.117,-31.117,0.0,115.558,0.0,115.558,0.0,0.0,115.558,84.8921,0.4511,166.981982,0.69,0.5,0.508391,170.421489,0.68,0.5,0.502647,
06/30/2014,423.554,423.554,-172.47,172.47,251.084,0.0,-92.018,57.074,,34.944,0.0,159.066,-17.259,,17.459,,,,-0.2,141.807,-53.708,88.099,0.0,0.0,0.0,88.099,0.0,88.099,0.0,0.0,88.099,88.0509,-0.0481,166.34363,0.53,0.53,0.529331,169.503664,0.52,0.52,0.519716,
09/30/2014,448.665,448.665,-180.873,180.873,267.792,0.0,-92.302,56.164,,36.138,0.0,175.49,-17.783,,17.498,,,,0.285,157.707,-58.692,99.015,0.0,0.0,0.0,99.015,0.0,99.015,0.0,0.0,99.015,98.8733,-0.1417,166.18754,0.6,0.6,0.59495,169.522448,0.58,0.58,0.579164,
12/31/2014,464.864,464.864,-193.582,193.582,271.282,0.0,-94.235,56.934,,37.301,0.0,177.047,-17.354,,17.588,,,,-0.234,159.693,-60.383,99.31,1.94,1.94,0.0,97.37,0.0,97.37,0.0,0.0,97.37,102.69195,3.38195,163.782061,0.59,0.6,0.627004,167.082091,0.58,0.59,0.610241,
03/31/2015,384.293,384.293,-133.784,133.784,250.509,0.0,-76.557,49.714,,26.843,0.0,173.952,-18.764,,18.262,,,,0.502,155.188,-58.815,96.373,-2.313,-2.313,0.0,98.686,0.0,98.686,0.0,0.0,98.686,96.38665,0.01365,158.087919,0.62,0.61,0.609703,161.481213,0.61,0.6,0.600085,
06/30/2015,428.599,428.599,-154.639,154.639,273.96,0.0,-127.917,82.336,,45.581,0.0,146.043,47.266,,37.662,,,,-84.928,193.309,-34.392,158.917,-4.403,-4.403,0.0,163.32,0.0,163.32,0.0,0.0,163.32,158.8923,-0.0247,164.141804,0.99,0.97,0.968018,167.5861,0.97,0.95,0.949853,
09/30/2015,470.408,470.408,-162.874,162.874,307.534,0.0,-110.386,70.642,,39.744,0.0,197.148,-15.109,,33.003,,,,-17.894,182.039,-57.858,124.181,-7.633,-7.633,0.0,131.814,0.0,131.814,0.0,0.0,131.814,124.2031,0.0221,168.739437,0.78,0.74,0.736064,172.171337,0.77,0.73,0.730128,
12/31/2015,477.4,477.4,-160.8,160.8,316.6,0.0,-130.4,75.5,,54.9,0.0,186.2,-32.7,,32.5,,,,0.2,153.5,-45.5,108.0,-5.8,-5.8,0.0,113.8,0.0,113.8,0.0,0.0,113.8,109.67765,1.67765,169.392359,0.67,0.64,0.647477,172.566722,0.66,0.63,0.639722,
03/31/2016,492.7,492.7,-173.3,173.3,319.4,0.0,-126.8,71.0,,55.8,0.0,192.6,-32.0,,32.0,,,,0.0,160.6,-50.9,109.7,17.1,17.1,0.0,92.6,0.0,92.6,0.0,0.0,92.6,109.765,0.065,168.45375,0.55,0.65,0.651603,171.480884,0.54,0.64,0.640379,
06/30/2016,498.3,498.3,-178.4,178.4,319.9,0.0,-128.7,75.6,,53.1,0.0,191.2,-30.6,,31.5,,,,-0.9,160.6,-53.8,106.8,-155.0,-155.0,0.0,261.8,0.0,261.8,0.0,0.0,261.8,107.385,0.585,168.296318,1.56,0.64,0.638071,171.218782,1.53,0.62,0.623417,
09/30/2016,498.1,498.1,-169.7,169.7,328.4,0.0,-130.0,77.8,,52.2,0.0,198.4,-26.0,,28.1,,,,-2.1,172.4,-44.8,127.6,0.0,0.0,0.0,127.6,0.0,127.6,0.0,0.0,127.6,127.65005,0.05005,168.874129,0.76,0.76,0.755889,171.7859,0.74,0.74,0.740291,
12/31/2016,506.1,506.1,-193.0,193.0,313.1,0.0,-127.6,77.2,,50.4,0.0,185.5,-25.3,,28.4,,,,-3.1,160.2,-52.7,107.5,-1.8,-1.8,0.0,109.3,0.0,109.3,0.0,0.0,109.3,107.3947,-0.1053,167.36902,0.65,0.64,0.641664,170.200721,0.64,0.63,0.629381,
03/31/2017,502.6,502.6,-182.9,182.9,319.7,0.0,-132.0,75.9,,56.1,0.0,187.7,-26.5,,28.4,,,,-1.9,161.2,-52.4,108.8,0.0,0.0,0.0,108.8,0.0,108.8,0.0,0.0,108.8,109.645,0.845,166.442991,0.65,0.65,0.658754,170.150862,0.64,0.64,0.644966,
06/30/2017,523.2,523.2,-193.7,193.7,329.5,0.0,-134.5,78.8,,55.7,0.0,195.0,-25.1,,28.5,,,,-3.4,169.9,-48.9,121.0,0.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,121.0,121.0,0.0,164.922237,0.73,0.73,0.73,168.314296,0.72,0.72,0.72,
09/30/2017,549.1,549.1,-198.5,198.5,350.6,0.0,-142.2,80.9,,61.3,0.0,208.4,-27.7,,30.3,,,,-2.6,180.7,-60.0,120.7,0.0,0.0,0.0,120.7,0.0,120.7,0.0,0.0,120.7,120.7,0.0,164.577575,0.73,0.73,0.73,167.957058,0.72,0.72,0.72,
12/31/2017,570.3,570.3,-208.7,208.7,361.6,0.0,-151.5,87.2,,64.3,0.0,210.1,-30.8,,32.1,,,,-1.3,179.3,25.3,204.6,0.0,0.0,0.0,204.6,0.0,204.6,0.0,0.0,204.6,116.25,-88.35,164.730093,1.24,1.24,0.7057,168.333256,1.22,1.22,0.695148,
03/31/2018,581.2,581.2,-221.2,221.2,360.0,0.0,-165.5,91.8,,73.7,0.0,194.5,-32.2,,32.8,,,,-0.6,162.3,-29.3,133.0,0.0,0.0,0.0,133.0,0.0,133.0,0.0,0.0,133.0,133.553,0.553,165.043047,0.81,0.81,0.809201,168.992535,0.79,0.79,0.793272,
06/30/2018,601.3,601.3,-222.4,222.4,378.9,0.0,-166.6,93.0,,73.6,0.0,212.3,-27.3,,31.9,,,,-4.6,185.0,-31.5,153.5,0.0,0.0,0.0,153.5,0.0,153.5,0.0,0.0,153.5,153.5,0.0,165.015642,0.93,0.93,0.93,168.651202,0.91,0.91,0.91,
09/30/2018,598.7,598.7,-219.2,219.2,379.5,0.0,-168.4,95.7,,72.7,0.0,211.1,-18.3,,32.4,,,,-14.1,192.8,-26.8,166.0,0.0,0.0,0.0,166.0,0.0,166.0,0.0,0.0,166.0,166.158,0.158,164.82925,1.01,1.01,1.008061,168.200766,0.99,0.99,0.990939,
12/31/2018,613.9,613.9,-224.0,224.0,389.9,0.0,-173.7,97.7,,76.0,0.0,216.2,-36.7,32.7,32.7,0.0,,0.0,4.0,179.5,-33.3,146.2,0.0,0.0,0.0,146.2,0.0,146.2,0.0,0.0,146.2,148.4,2.2,164.344502,0.89,0.89,0.902981,167.346841,0.87,0.87,0.883146,
03/31/2019,625.0,625.0,-231.4,231.4,393.6,0.0,-191.2,111.4,,79.8,0.0,202.4,-32.3,31.9,31.9,0.0,,0.0,0.4,170.1,-35.7,134.4,0.0,0.0,0.0,134.4,0.0,134.4,0.0,0.0,134.4,144.4,10.0,163.528343,0.82,0.82,0.883027,166.544945,0.81,0.81,0.870044,
06/30/2019,652.6,652.6,-242.7,242.7,409.9,0.0,-191.6,112.3,,79.3,0.0,218.3,-31.0,30.5,30.5,0.0,,,0.5,187.3,-36.9,150.4,0.0,0.0,0.0,150.4,0.0,150.4,0.0,0.0,150.4,157.042,6.642,163.743835,0.92,0.92,0.959071,166.697276,0.9,0.9,0.939845,
09/30/2019,652.7,652.7,-242.9,242.9,409.8,0.0,-334.1,255.0,,79.1,0.0,75.7,-36.8,31.3,31.3,0.0,,,5.5,38.9,-6.0,32.9,0.0,0.0,0.0,32.9,0.0,32.9,0.0,0.0,32.9,159.8,126.9,163.580563,0.2,0.2,0.976889,166.779618,0.2,0.2,0.960884,
12/31/2019,676.8,676.8,-259.8,259.8,417.0,0.0,-210.4,124.8,,85.6,0.0,206.6,-34.5,33.1,33.1,0.0,,0.0,1.4,172.1,-39.9,132.2,0.0,0.0,0.0,132.2,0.0,132.2,0.0,0.0,132.2,158.5,26.3,163.289013,0.81,0.81,0.970672,166.218621,0.8,0.8,0.958225,
03/31/2020,689.8,689.8,-257.7,257.7,432.1,19.4,-199.2,112.1,,87.1,0.0,252.3,-35.6,33.5,33.5,0.0,,,2.1,216.7,-45.0,171.7,0.0,0.0,0.0,171.7,0.0,171.7,0.0,0.0,171.7,162.0,-9.7,162.894306,1.05,1.05,0.99451,165.72412,1.04,1.04,0.981469,
06/30/2020,678.8,678.8,-235.8,235.8,443.0,0.0,-183.3,96.4,,86.9,0.0,259.7,-34.9,34.2,34.2,0.0,,,0.7,224.8,-45.8,179.0,0.0,0.0,0.0,179.0,0.0,179.0,0.0,0.0,179.0,180.9,1.9,162.37192,1.1,1.1,1.114109,165.103088,1.08,1.08,1.091508,
09/30/2020,691.313,,,,439.93085381,,,,,,,250.2,,,,,,,,212.833,,162.182,,,,,,162.182,,,162.182,196.769,,,0.993,0.993,1.198,,0.993,0.993,1.198,
12/31/2020,707.313,,,,446.10938223,,,,,,,254.7,,,,,,,,217.333,,169.636,,,,,,169.636,,,169.636,204.462,,,1.042,1.042,1.243,,1.042,1.042,1.243,
