Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
05/04/1991,405.737,0.952,0.952,0.0,4.308,,,235.845993,,,,,13.672,,,254.778,128.520004,165.143005,-36.623001,0.0,22.438999,,,,,22.438999,150.959003,,147.914001,147.914001,,,,15.149,,,,,,41.666002,,,,41.666002,204.729004,10.01,,,,,4.539,,,,,4.539,14.549,219.278004,0.0,,,,0.0,,186.459,186.459,0.0,186.459,405.737004,
08/31/1991,398.850006,9.046,9.046,0.0,4.166,,,205.675003,,,,,15.626,,,234.513,142.811005,182.570999,-39.759998,0.0,21.525999,,,,,21.525999,164.337004,,120.980003,120.980003,,,,0.205,,,,,,56.447001,,,,56.447001,177.632004,7.041,,,,,5.549,,,,,5.549,12.59,190.222004,0.0,127.0,,,0.0,,81.627998,208.627998,0.0,208.627998,398.850002,
11/23/1991,418.227997,25.099001,25.099001,0.0,5.032,,,195.972,,,,,16.906,,,243.009003,153.451004,195.613998,-42.162998,0.0,21.768,,,,,21.768,175.219004,,118.646004,118.646004,,,,0.205,,,,,,61.747995,,,,61.747995,180.598999,7.008,,,,,5.568,,,,,5.568,12.576,193.174999,0.0,,,,0.0,,225.052994,225.052994,0.0,225.052994,418.227993,
02/15/1992,449.316986,30.117001,30.117001,0.0,6.129,,,208.884003,,,,,17.983999,,,263.114014,164.552002,209.421997,-44.869999,0.0,21.650999,,,,,21.650999,186.203001,,138.944,138.944,,,,0.205,,,,,,57.681002,,,,57.681002,196.830002,6.957,,,,,5.659,,,,,5.659,12.616,209.446002,0.0,,,,0.0,,239.871002,239.871002,0.0,239.871002,449.317004,
05/09/1992,477.903015,41.358002,41.358002,0.0,6.889,,,213.248993,,,,,16.993999,,,278.48999,176.173996,223.770004,-47.596001,0.0,23.239,,,,,23.239,199.412996,,148.259995,148.259995,,,,0.205,,,,,,61.829012,,,,61.829012,210.294006,6.905,,,,,5.821,,,,,5.821,12.726,223.020007,0.0,,,,0.0,,254.882996,254.882996,0.0,254.882996,477.903002,
08/29/1992,502.122009,57.769001,57.769001,0.0,5.939,,,198.233994,,,,,18.482,,,280.424011,199.802002,252.934998,-53.132999,0.0,21.896,,,,,21.896,221.698002,,141.270996,141.270996,,,,0.228,,,,,,65.581006,,,,65.581006,207.080002,6.829,,,,,6.093,,,,,6.093,12.922,220.002002,0.0,134.908005,,,0.0,,147.212006,282.12001,0.0,282.12001,502.122012,
11/21/1992,536.843994,73.768997,73.768997,0.0,6.235,,,201.429001,,,,,17.412001,,,298.845001,216.065994,272.562012,-56.495998,0.0,21.933001,,,,,21.933001,237.998995,,153.339996,153.339996,,,,0.228,,,,,,64.797009,,,,64.797009,218.365005,6.775,,,,,6.135,,,,,6.135,12.91,231.275006,0.0,,,,0.0,,305.569,305.569,0.0,305.569,536.844006,
02/13/1993,566.52301,75.375999,75.375999,0.0,4.929,,,214.563995,,,,,21.171,,,316.040009,228.888,290.191986,-61.304001,0.0,21.594999,,,,,21.594999,250.483,,150.737,150.737,,,,0.228,,,,,,62.484997,,,,62.484997,213.449997,6.719,,,,,6.324,,,,,6.324,13.043,226.492997,0.0,,,,0.0,,340.029999,340.029999,0.0,340.029999,566.522995,
05/08/1993,639.030029,83.865997,83.865997,0.0,8.374,,,251.026001,,,,,21.705999,,,364.971985,253.102997,318.458008,-65.355003,0.0,20.955,,,,,20.955,274.057997,,187.518005,187.518005,,,,0.211,,,,,,80.683989,,,,80.683989,268.412994,4.294,,,,,6.158,,,,,6.158,10.452,278.864995,0.0,,,,0.0,,360.165009,360.165009,0.0,360.165009,639.030003,
08/29/1993,696.546997,84.525002,84.525002,0.0,10.229,,,260.067993,,,,,23.645,,,378.46701,297.399994,370.884003,-73.484001,0.0,20.68,,,,,20.68,318.079994,,203.651993,203.651993,,,,0.205,,,,,,82.278994,,,,82.278994,286.135986,4.253,,,,,9.545,,,,,9.545,13.798,299.933986,0.0,166.466003,,,0.0,,230.147003,396.613007,0.0,396.613007,696.546993,
