Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Acq of Fixed & Intang,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1999,53.625,14.415,21.912001,-11.807,,-11.807,29.105,,,29.105,-156.417007,-18.209,0,-18.209,-14.624001,112.357002,-126.981003,-123.584007,35.189999,0,0.0,35.189999,35.189999,0.0,0,-67.601997,,,
06/30/1999,69.945999,-923.192017,22.405001,688.171997,,688.171997,282.561005,,,282.561005,-20.750999,-23.304001,0,-23.304001,0.0,0.0,0.0,2.553001,29.101,0,0.0,29.101,29.101,0.0,0,78.295998,,,
09/30/1999,-146.222,-62.845001,118.317001,96.792999,,96.792999,-298.487,,,-298.487,-28.860001,-23.834,0,-23.834,99.88501,286.497009,-186.612,-104.911011,55.84,0,0.0,55.84,55.84,0.0,0,-119.241997,,,
12/31/1999,15.205,-185.854004,118.047997,-48.630001,,-48.630001,131.641006,,,131.641006,109.791,-29.660999,0,-29.660999,14.624001,-112.357002,126.981003,124.827999,40.071999,0,0.0,40.071999,40.071999,0.0,0,165.067993,,,
03/31/2000,-115.447,-82.41,118.595,28.837,-85.409,114.246,-180.469,1.477,20.324,-202.27,13.165,-28.243,0,-28.243,-1.45,0.0,-1.45,42.858,71.589,0,0.0,71.589,71.589,0.0,0,-30.693,,,
06/30/2000,101.039,-12.865,119.237,-197.92,-116.454,-81.466,192.587,6.079,35.056,151.452,-94.757,-25.328,0,-25.328,-0.21,0.0,-0.21,-69.219,23.561,0,0.0,23.561,23.561,0.0,0,29.843,,,
09/30/2000,79.124,5.76,120.493,-63.093,51.035,-114.128,15.964,-43.449,-17.968,77.381,-87.109,-25.428,0,-25.428,1.66,1.66,,-63.341,55.238,0,0.0,55.238,55.238,0.0,0,47.253,,,
12/31/2000,128.815002,15.274,104.679001,-218.014999,,-218.014999,226.876999,,,226.876999,8.493,-33.681999,0,-33.681999,-0.808,0.0,-0.808,42.982999,29.990999,0,0.0,29.990999,29.990999,0.0,0,167.298996,,,
03/31/2001,32.041,26.75,105.954,-35.844,34.526,-70.37,-64.819,-10.546,-28.789,-25.484,-36.841,-36.324,0,-36.324,0.0,0.0,0.0,-0.517,35.355,0,0.0,35.355,35.355,0.0,0,30.555,,,
06/30/2001,128.02,38.648,106.358,48.9,16.283,32.617,-65.886,-17.435,-50.489,2.038,-364.119,-49.344,0,-49.344,-5.33,0.0,-5.33,-309.445,27.728,0,0.0,27.728,27.728,0.0,0,-208.371,,,
09/30/2001,157.705,42.741,106.583,5.46,20.834,-15.374,2.921,-40.715,-71.531,115.167,-115.398,-33.085,0,-33.085,0.0,0.0,0.0,-82.313,-23.346,0,0.0,-23.346,10.688,-34.034,0,18.961,,,
12/31/2001,162.861,42.097,109.196,-1.938,-58.79,56.852,13.506,25.688,59.693,-71.875,-187.612,-94.598,0,-94.598,-0.5,0.0,-0.5,-92.514,27.425,0,0.0,27.425,33.095,-5.67,0,2.674,,,
03/31/2002,66.608,95.303,67.925,-9.843,0.416,-10.259,-86.777,-33.787,-2.308,-50.682,-70.099,-72.078,0,-72.078,0.0,0.0,0.0,1.979,-302.583,0,-149.692,-152.891,26.907,-179.798,0,-306.074,,,
06/30/2002,122.644,-213.648,68.32,302.462,-213.672,516.134,-34.49,17.546,-20.943,-31.093,202.463,-91.738,0,-91.738,0.0,0.0,0.0,294.201,-294.617,0,0.0,-294.617,16.797,-311.414,0,30.49,,,
09/30/2002,250.818,89.304,68.784,-1.555,-45.452,43.897,94.285,24.217,-14.396,84.464,88.614,-80.81,0,-80.81,0.0,0.0,0.0,169.424,-102.521,0,0.0,-102.521,15.447,-117.968,0,236.911,,,
12/31/2002,147.63,92.828,69.926,374.32,,374.32,-389.444,,,-389.444,-227.471,-78.206,0,-78.206,-6.29,0.0,-6.29,-142.975,-68.559,0,0.0,-68.559,15.013,-83.572,0,-148.4,,,
03/31/2003,245.498993,151.470993,73.015999,-14.494,,-14.494,35.506001,,,35.506001,-212.820007,-73.459999,0,-73.459999,0.0,0.0,0.0,-139.360008,-92.107998,0,0.0,-92.107998,21.063999,-113.171997,0,-59.429001,,,
06/30/2003,160.761002,132.343994,71.855003,-28.283001,,-28.283001,-15.155,,,-15.155,-231.153,-66.684998,0,-66.684998,0.0,0.0,0.0,-164.468002,182.167015,0,0.0,182.167015,264.269012,-82.101997,0,111.775002,150.25,,
09/30/2003,586.47699,151.981995,76.055,184.757004,,184.757004,173.682999,,,173.682999,-578.536011,-71.099998,0,-71.099998,0.0,0.0,0.0,-507.436012,146.272995,0,0.0,146.272995,146.272995,0.0,0,154.214005,,,
12/31/2003,244.199997,126.730003,74.523003,46.555,,46.555,-3.608,,,-3.608,-375.92099,-110.709999,0,-110.709999,0.0,0.0,0.0,-265.210991,89.182998,0,0.0,89.182998,95.253998,-6.071,0,-42.537998,,,
03/31/2004,96.43,176.587006,78.974998,-15.205,-14.842,-0.363,-143.927002,,-55.089001,-88.838001,-366.937012,-97.707001,0,-97.707001,0.0,0.0,0.0,-269.230011,231.552002,0,0.0,231.552002,231.552002,0.0,0,-38.955002,,,
06/30/2004,340.584991,170.770996,99.541,235.056,-2.873,237.929,-164.783005,,-2.92,-161.863005,29.489,-98.926003,0,-98.926003,0.0,0.0,0.0,128.415003,-440.564026,0,0.0,-440.564026,135.184998,-575.749023,0,-70.489998,,,
09/30/2004,415.041992,230.873001,81.067001,33.606998,-42.610001,76.216999,69.495003,-282.518005,-32.271,384.284008,-163.731995,-221.580994,0,-221.580994,0.0,0.0,0.0,57.848999,-191.248997,0,0.0,-191.248997,54.355999,-245.604996,0,60.061001,,,
12/31/2004,343.15799,206.584,93.638,34.189999,-13.26,47.449999,8.746,-362.73999,-30.423,401.908991,50.244999,-231.643997,0,-231.643997,0.0,0.0,0.0,281.888996,-446.047981,0,0.0,-446.047981,84.280998,-530.328979,0,-52.645,,,
03/31/2005,380.837006,284.174011,87.929001,35.903999,-20.583,56.487,-27.17,-106.105003,24.746,54.189003,-58.645,-143.942001,0,-143.942001,0.0,0.0,0.0,85.297001,-49.091995,0,0.0,-49.091995,106.445999,-155.537994,0,273.100006,,,
06/30/2005,437.333008,296.165985,93.525002,264.17099,-33.769001,297.939991,-216.529007,-15.171,-35.265999,-166.092009,-616.836975,-585.867981,0,-585.867981,0.0,0.0,0.0,-30.968994,353.630986,0,0.0,353.630986,358.747986,-5.117,0,174.126999,,,
