Date,Cash From Operating Activities,Net Income,D&A and Provision for Loan Losses,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Cash from Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,40.626999,83.084999,-106.510002,253.210007,270.411987,,,,,
06/30/1990,,30.188999,38.389999,-178.822006,39.647999,-70.595001,,,,,
09/30/1990,,11.887,83.319,-214.498993,113.644997,-5.648,,,,,
12/31/1990,,-215.686005,283.231995,3.097,-4.087,66.556,,,66.556,,
03/31/1991,,-116.670998,251.042999,-156.863998,-29.111,-51.603001,,,,,
06/30/1991,,-58.754002,114.561996,18.497999,-44.544998,29.761,,,,,
09/30/1991,,2.331,69.543999,-228.529007,-33.687,-190.341003,,,,,
12/31/1991,,2.45,89.277,-13.294,42.015999,120.448997,,,120.448997,,
03/31/1992,,43.328999,82.612,-165.699997,-43.064999,-82.823997,,,,,
06/30/1992,,8.582,64.269997,-12.368,93.809998,154.294006,,,,,
09/30/1992,,13.035,64.766998,7.351,-807.914978,-722.762024,,,,,
12/31/1992,,10.263,46.801998,211.621002,2129.693115,2398.378906,,,2398.378906,,
03/31/1993,,36.257999,,,,737.021973,,,,,
06/30/1993,,63.971001,,,,-174.992996,,,,,
09/30/1993,,82.598,,,,-549.315002,,,,,
12/31/1993,,146.220993,,,,303.890991,,,303.890991,,
03/31/1994,,66.805,22.358,-1.825,106.511002,193.848999,,,,,
06/30/1994,,-18.669001,34.23,185.785995,260.213989,461.561005,,,,,
09/30/1994,,95.744003,27.135,-46.459999,162.337006,238.755997,,,,,
12/31/1994,,93.472,21.870001,-50.557999,187.149994,251.934006,,,,,
03/31/1995,,62.261002,31.618999,33.848,-162.322998,-34.595001,,,,,
06/30/1995,,82.968002,33.821999,3.953,-322.472992,-201.729996,,,,,
09/30/1995,,91.427002,38.303001,-6.381,145.373993,268.722992,,,,,
