Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
07/31/1989,199.358002,,-65.360001,,133.998001,,-94.860001,,,,39.138,-1.298,,2.033,,,,,-0.735,37.840001,-12.217,25.622999,0.0,,,25.623001,0.0,25.622999,0.0,,25.622999,25.622999,,933.823975,0.0275,0.0275,,933.823975,0.0275,0.0275,0.0275,
10/31/1989,207.462006,,-67.079002,,140.383003,,-98.364998,,,,42.018002,-2.537,,2.531,,,,,0.006,39.481002,-13.289,26.191999,0.0,,,26.192002,0.0,26.191999,0.0,,26.191999,26.191999,,935.072021,0.028125,0.028125,,935.072021,0.028125,0.028125,0.028125,
01/31/1990,215.061005,,-70.522003,,144.539001,,-101.255997,,,,43.283001,-1.337,,2.835,,,,,-1.498,41.946001,-13.52,28.426001,0.0,,,28.426,0.0,28.426001,0.0,,28.426001,28.426001,,943.487976,0.03,0.03,,943.487976,0.03,0.03,0.03,
04/30/1990,244.037003,,-78.694,,165.343003,,-116.358002,,,,48.985001,-0.764,,2.748,,,,,-1.984,48.221001,-15.588,32.632999,0.0,,,32.633001,0.0,32.632999,0.0,,32.632999,32.632999,,940.768,0.034688,0.034688,0.034688,940.768,0.034688,0.034688,0.034688,
08/01/1990,233.227005,,-77.454002,,155.773003,,-110.018997,,,,45.754002,-1.3,,3.072,,,,,-1.772,44.454002,-14.174,30.280001,0.0,,,30.280002,0.0,30.280001,0.0,,30.280001,30.280001,,944.544006,0.031875,0.031875,,944.544006,0.031875,0.031875,0.031875,
10/31/1990,254.626007,,-86.400002,,168.226006,,-118.739998,,,,49.486,-6.806,,3.649,,,,,3.157,42.68,-13.997,28.683001,0.0,,,28.683,0.0,28.683001,0.0,,28.683001,28.683001,,946.687988,0.03,0.03,,946.687988,0.03,0.03,0.03,
01/31/1991,252.222,,-81.008003,,171.213997,,-120.497002,,,,50.716999,-0.604,,3.175,,,,,-2.571,50.112999,-15.936,34.176998,0.0,,,34.176999,0.0,34.176998,0.0,,34.176998,34.176998,,951.039978,0.035625,0.035625,,951.039978,0.035625,0.035625,0.035625,
04/30/1991,281.347992,,-86.839996,,194.507996,,-134.078995,,,,60.429001,-1.438,,3.892,,,,,-2.454,58.991001,-18.759001,40.231998,0.0,,,40.232,0.0,40.231998,0.0,,40.231998,40.231998,,952.271968,0.0425,0.0425,0.0425,952.271968,0.0425,0.0425,0.0425,
07/31/1991,264.68399,,-82.347,,182.33699,,-127.488998,,,,54.848,-0.504,,2.659,,,,,-2.155,54.344,-18.205,36.139,0.0,,,36.139,0.0,36.139,0.0,,36.139,36.139,,952.607971,0.038125,0.038125,,952.607971,0.038125,0.038125,0.038125,
10/31/1991,279.026001,,-93.309998,,185.716003,,-127.317001,,,,58.398998,-0.458,,3.186,,,,,-2.728,57.940998,-19.41,38.530998,0.0,,,38.530998,0.0,38.530998,0.0,,38.530998,38.530998,,953.263977,0.040625,0.040625,,953.263977,0.040625,0.040625,0.040625,
01/31/1992,299.457001,,-101.627998,,197.829002,,-137.766998,,,,60.062,-0.771,,3.323,,,,,-2.552,59.291,-19.863001,39.428001,0.0,,,39.427999,0.0,39.428001,0.0,,39.428001,39.428001,,955.616028,0.04125,0.04125,,955.616028,0.04125,0.04125,0.04125,
04/30/1992,333.744995,,-104.494003,,229.250992,,-156.516006,,,,72.735001,-1.393,,4.269,,,,,-2.876,71.342001,-23.899,47.443001,0.0,,,47.443001,0.0,47.443001,0.0,,47.443001,47.443001,,953.135984,0.05,0.05,0.05,953.135984,0.05,0.05,0.05,
07/31/1992,329.914001,,-104.663002,,225.250999,,-155.345993,,,,69.904999,-1.26,,3.617,,,0.0,,-2.357,68.644999,-22.996,45.648998,14.355999,,,31.292999,0.0,31.292999,0.0,,31.292999,31.292999,,951.840027,0.033125,0.048125,,951.840027,0.033125,0.048125,0.048125,
10/31/1992,331.803986,,-105.139,,226.664986,,-157.481995,,,,69.182999,19.463,,2.175,,,0.0,,-21.638,88.645999,-28.471001,60.174999,0.0,,,60.174998,0.0,60.174999,0.0,,60.174999,60.174999,,953.151984,0.063125,0.063125,0.063125,953.151984,0.063125,0.063125,0.063125,
01/29/1993,308.205994,,-97.485001,,210.720993,,-139.651993,,,,71.069,-0.196,,2.531,,,0.0,,-2.335,70.873,-23.033001,47.84,0.0,,,47.839999,0.0,47.84,0.0,,47.84,47.84,,955.440002,0.05,0.05,,955.440002,0.05,0.05,0.05,
04/30/1993,358.283997,,-112.845001,,245.438996,,-160.481003,,,,84.958,0.336,,2.125,,,0.0,,-2.461,85.294,-27.374001,57.919998,0.0,,,57.919999,0.0,57.919998,0.0,,57.919998,57.919998,,944.911984,0.06125,0.06125,0.06125,944.911984,0.06125,0.06125,0.06125,
07/31/1993,331.306,,-101.257004,,230.048996,,-165.259995,,,,64.789001,13.569,,2.069,,,0.0,,-15.638,78.358001,-25.858,52.5,0.0,,,52.500001,0.0,52.5,0.0,,52.5,52.5,,923.40802,0.056875,0.056875,,923.40802,0.056875,0.056875,0.056875,
10/31/1993,332.057007,,-104.572998,,227.484009,,-143.621994,,,,83.862,0.021,,2.164,,,0.0,,-2.185,83.883,-27.681999,56.201,0.0,,,56.201001,0.0,56.201,0.0,,56.201,56.201,,915.552,0.06125,0.06125,0.06125,915.552,0.06125,0.06125,0.06125,
01/28/1994,334.601013,,-103.237,,231.364014,,-146.932999,,,,84.431,0.515,,1.956,,,0.0,,-2.471,84.946,-28.034,56.911999,0.0,,,56.911999,0.0,56.911999,0.0,,56.911999,56.911999,,915.504028,0.061875,0.061875,,915.504028,0.061875,0.061875,0.061875,
04/30/1994,392.958008,,-122.600998,,270.35701,,-170.764999,,,,99.592003,0.022,,2.019,,,0.0,,-2.041,99.614003,-32.869999,66.744003,0.0,,,66.744004,0.0,66.744003,0.0,,66.744003,66.744003,,918.271968,0.0725,0.0725,0.0725,918.271968,0.0725,0.0725,0.0725,
