Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/1989,6734.076172,100.027,100.027,0.0,976.674011,,,1463.876953,,,,,98.102997,,,,,,2638.680908,1824.577026,,,0.0,2270.818115,,,,,2270.818115,4095.395142,,616.572021,616.572021,,,,657.041016,,,,,1083.033936,,,1083.033936,2356.646973,1512.656006,,,,684.565979,,,,684.565979,2197.221985,4553.868958,182.447006,177.761993,,,0.0,,1819.998047,2180.207047,,2180.207047,6734.076004,
12/30/1989,7229.493164,134.395996,134.395996,0.0,1011.372009,,,1469.005981,,,,,105.056,,,,,,2719.830078,2012.545044,,,0.0,2497.11792,,,,,2497.11792,4509.662964,,698.958984,698.958984,,,,695.755981,,,,,1213.310913,,,1213.310913,2608.025879,1587.095947,,,,699.23999,,,,699.23999,2286.335938,4894.361816,184.529999,308.34201,,,0.0,,1842.259033,2335.131042,,2335.131042,7229.492859,
03/31/1990,7436.605957,121.328003,121.328003,0.0,931.169983,,,1577.93396,,,,,129.817993,,,,,,2760.25,2103.111084,,,0.0,2573.245117,,,,,2573.245117,4676.356201,,662.422974,662.422974,,,,787.354004,,,,,1252.162964,,,1252.162964,2701.939941,1580.652954,,,,756.015015,,,,756.015015,2336.667969,5038.60791,184.529999,314.522003,,,0.0,,1898.946045,2397.998047,,2397.998047,7436.605957,
06/30/1990,7636.36084,169.354996,169.354996,0.0,922.177979,,,1653.744019,,,,,123.010002,,,,,,2868.287109,2204.143066,3611.38208,-1407.239014,0.0,2563.930908,,,,,2563.930908,4768.073974,,884.252991,884.252991,,,,342.296997,,,,,1256.197082,,,1256.197082,2482.74707,1523.883057,,,,742.859985,,,,742.859985,2266.743042,4749.490112,337.855011,325.677002,,,0.0,,1965.979004,2629.511017,257.359985,2886.871002,7636.361114,
09/29/1990,7847.158203,108.181999,108.181999,0.0,1107.208984,,,1679.31604,,,,,113.402,,,,,,3008.108887,2248.156006,,,0.0,2590.893066,,,,,2590.893066,4839.049072,,671.28302,671.28302,,,,565.145996,,,,,1323.462097,,,1323.462097,2559.891113,1553.947021,,,,745.973999,,,,745.973999,2299.92102,4859.812133,337.621002,328.740997,,,0.0,,2059.952881,2726.31488,261.031006,2987.345886,7847.158019,
12/29/1990,7780.227051,144.162994,144.162994,0.0,1074.444946,,,1481.61499,,,,,131.343994,,,,,,2831.566895,2305.801025,,,0.0,2642.858887,,,,,2642.858887,4948.659912,,621.857971,621.857971,,,,252.457993,,,,,1414.106155,,,1414.106155,2288.422119,1608.937988,,,,752.177979,,,,752.177979,2361.115967,4649.538086,341.15799,336.563995,,,0.0,,2200.0,2877.721985,252.966995,3130.68898,7780.227066,
03/30/1991,7866.036133,135.964996,135.964996,0.0,933.028015,,,1577.297974,,,,,152.619003,,,,,,2798.909912,2298.022949,,,0.0,2769.103027,,,,,2769.103027,5067.125976,,647.728027,647.728027,,,,448.937012,,,,,1320.445068,,,1320.445068,2417.110107,1460.175049,,,,865.987,,,,865.987,2326.162049,4743.272156,341.15799,363.916992,,,0.0,,2158.416992,2863.491974,259.272003,3122.763977,7866.036133,
06/29/1991,8122.005859,124.875999,124.875999,0.0,946.039978,,,1706.871948,,,,,142.143005,,,,,,2919.930908,2389.083008,3948.306885,-1559.223999,0.0,2812.991943,,,,,2812.991943,5202.074951,,863.651001,863.651001,,,,372.85199,,,,,1289.928894,,,1289.928894,2526.431885,1399.131958,,,,954.971008,,,,954.971008,2354.102966,4880.534851,344.417999,378.365997,,,0.0,,2171.965088,2894.749084,346.721985,3241.471069,8122.00592,
09/28/1991,8817.825195,407.018005,407.018005,0.0,1138.260986,,,1800.092041,,,,,147.720001,,,,,,3493.091064,2402.209961,,,0.0,2922.523926,,,,,2922.523926,5324.733887,,725.544983,725.544983,,,,287.25,,,,,1598.302917,,,1598.302917,2611.0979,1475.301025,,,,1191.302979,,,,1191.302979,2666.604004,5277.701904,343.473999,391.902008,,,0.0,,2448.11792,3183.493927,356.628998,3540.122925,8817.824829,
12/28/1991,9754.266602,282.691986,282.691986,0.0,1241.494019,,,1854.260986,,,,,144.436005,,,,,,3522.883057,2559.855957,,,0.0,3671.528076,,,,,3671.528076,6231.384033,,833.338989,833.338989,,,,502.078003,,,,,1779.894043,,,1779.894043,3115.311035,1428.577026,,,,1323.155029,,,,1323.155029,2751.732055,5867.04309,347.381012,596.59198,,,0.0,,2577.184082,3521.157074,366.066986,3887.22406,9754.26715,
