Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Cash & Equivalents,Book Value,Source: Bloomberg
12/31/1989,,,0.0,,,,,0.41,0.41,,,,,,,,,
03/31/1990,32.951,,32.964001,,25.903894,1.996875,1.161206,0.47,0.47,,,,,0.25,1.783097,1.731632,25.070012,
06/30/1990,32.943001,,32.959,,31.390637,2.454534,1.627264,0.78,0.78,,,,,0.25,0.884796,1.478281,25.648664,
09/30/1990,32.933998,,32.950001,,30.241091,2.355387,1.522883,0.75,0.75,,,,,0.25,0.626404,1.540414,26.191901,
12/31/1990,32.798,32.866001,32.866001,,33.63479,1.727895,1.026958,0.48,0.48,0.48,0.48,0.48,0.48,0.25,4.403973,2.298951,26.45021,
03/31/1991,33.287998,,33.087002,,26.385196,2.164627,1.449784,0.65,0.65,,,,,0.25,-3.056487,1.919491,26.499731,
06/30/1991,33.280998,,33.301998,,29.605581,2.064711,1.335776,0.86,0.86,,,,,0.25,2.758693,3.256843,27.163758,
09/30/1991,33.289001,,33.389999,,29.761995,1.982719,1.234292,0.66,0.66,,,,,0.25,0.675022,2.649764,18.555829,
12/31/1991,33.264999,33.277,33.277,,33.380623,1.455961,0.814166,0.71,0.71,0.71,0.71,0.71,0.71,0.25,3.614058,7.369608,28.610012,
03/31/1992,33.497002,,33.506001,,28.297349,2.315585,1.699636,-4.99,0.88,,,,,0.25,2.730765,5.477266,29.012,
06/30/1992,33.499001,,33.665001,,25.287627,1.971662,1.350691,0.77,0.86,,,,,0.25,4.441141,5.679961,29.629661,
09/30/1992,33.508202,,33.75,,22.678962,1.842904,1.2144,0.58,0.67,,,,,0.25,2.912059,7.189136,29.991582,
12/31/1992,33.519001,31.169086,31.169086,,29.748097,2.108435,1.486922,0.11,0.11,0.11,0.11,0.11,0.11,0.25,5.631028,8.922611,23.654941,
03/31/1993,33.754002,,33.754478,,25.613698,2.209218,1.637501,0.81,1.01,,,,,0.25,1.147166,7.427919,24.306629,
06/30/1993,33.848,,33.847519,,21.83844,1.796232,1.223044,0.79,0.79,,,,,0.3,-0.614432,4.690528,24.868885,
09/30/1993,34.651001,,35.220001,,22.32947,1.62879,1.149063,0.85,0.85,,,,,0.3,3.583333,7.095177,25.71288,
12/31/1993,34.049,,34.273998,,24.343147,1.742429,1.210247,-0.74,-0.74,,,,,0.3,5.196972,10.694117,24.554406,
03/31/1994,34.0,,34.308998,,18.59553,1.833484,1.353377,-0.27,-0.27,,,,,0.3,-1.15955,9.257588,24.010941,
