Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/01/1990,2009.300049,59.799999,59.799999,0.0,374.200012,,,469.399994,,,,,75.099998,,,,978.5,879.799988,1895.900024,-1016.099976,0.0,151.0,,,,,,,151.0,1030.799988,,247.399994,247.399994,,,,75.900002,,,,,,402.900017,,,402.900017,726.200012,407.600006,,,,,184.600006,,,184.600006,592.200012,1318.400024,219.600006,366.700012,,,-104.699997,,143.399998,625.000019,65.900002,690.900021,2009.300045,
07/01/1990,2036.199951,63.700001,63.700001,0.0,369.399994,,,479.399994,,,,,82.400002,,,,994.900024,893.700012,1946.900024,-1053.199951,0.0,147.600006,,,,,,,147.600006,1041.300018,,234.600006,234.600006,,,,125.400002,,,,,,378.999992,,,378.999992,739.0,407.700012,,,,,183.899994,,,183.899994,591.600006,1330.600006,219.600006,366.799988,,,-104.699997,,156.699997,638.399994,67.199997,705.599991,2036.199997,
09/30/1990,2077.199951,54.299999,54.299999,0.0,392.399994,,,495.399994,,,,,81.400002,,,,1023.5,923.900024,2009.800049,-1085.900024,0.0,129.800003,,,,,,,129.800003,1053.700027,,240.899994,240.899994,,,,57.700001,,,,,,384.699993,,,384.699993,683.299988,341.899994,,,,,185.699997,,,185.699997,527.599991,1210.899979,114.900002,612.099976,,,-67.300003,,141.400002,801.099976,65.199997,866.299973,2077.199951,
12/31/1990,2086.300049,80.0,80.0,0.0,376.600006,,,446.0,,,,,88.400002,,,,991.0,921.200012,2027.300049,-1106.099976,0.0,174.100006,,,,,,,174.100006,1095.300018,,223.100006,223.100006,,,,46.0,,,,,,458.49997,,,458.49997,727.599976,338.600006,,,,,286.100006,,,286.100006,624.700012,1352.299988,114.900002,612.400024,,,-67.300003,,9.300003,669.300026,64.699997,734.000023,2086.300011,
03/31/1991,2027.900024,48.5,48.5,0.0,345.299988,,,456.0,,,,,86.0,,,,935.799988,913.299988,2006.599976,-1093.300049,0.0,178.800003,,,,,,,178.800003,1092.099991,,206.0,206.0,,,,38.700001,,,,,,433.599987,,,433.599987,678.299988,349.5,,,,,279.5,,,279.5,629.0,1307.299988,114.900002,614.400024,,,-67.300003,,-7.199997,654.800026,65.800003,720.600029,2027.900017,
06/30/1991,2028.300049,59.700001,59.700001,0.0,360.600006,,,426.799988,,,,,96.599998,,,,943.700012,887.200012,1995.0,-1107.800049,0.0,197.399994,,,,,,,197.399994,1084.600006,,217.199997,217.199997,,,,62.700001,,,,,,431.500027,,,431.500027,711.400024,354.299988,,,,,281.399994,,,281.399994,635.699982,1347.100006,114.900002,616.200012,,,-67.300003,,-49.399994,614.400017,66.800003,681.20002,2028.300026,
09/29/1991,2011.199951,54.700001,54.700001,0.0,366.600006,,,428.299988,,,,,88.900002,,,,938.5,888.5,2020.400024,-1131.900024,0.0,184.199997,,,,,,,184.199997,1072.699997,,226.699997,226.699997,,,,44.700001,,,,,,423.300014,,,423.300014,694.700012,351.100006,,,,,282.899994,,,282.899994,634.0,1328.700012,114.900002,617.400024,,,-67.300003,,-48.699997,616.300026,66.199997,682.500023,2011.200035,
12/31/1991,2041.199951,51.5,51.5,0.0,373.5,,,438.299988,,,,,44.5,,,,907.799988,953.0,2110.0,-1157.0,0.0,180.399994,,,,,,,180.399994,1133.399994,,243.0,243.0,,,,39.299999,,,,,,406.299977,,,406.299977,688.599976,371.399994,,,,,287.600006,,,287.600006,659.0,1347.599976,114.900002,616.900024,,,-67.300003,,-40.699997,623.800026,69.800003,693.600029,2041.200005,
03/30/1992,2022.300049,63.700001,63.700001,0.0,405.899994,,,444.799988,,,,,37.299999,,,,951.700012,927.099976,2099.199951,-1172.099976,0.0,143.5,,,,,,,143.5,1070.599976,,245.199997,245.199997,,,,26.0,,,,,,401.800003,,,401.800003,673.0,413.200012,,,,,250.399994,,,250.399994,663.600006,1336.600006,114.900002,614.599976,,,-67.300003,,-46.5,615.699974,70.0,685.699974,2022.29998,
06/29/1992,2163.600098,157.300003,157.300003,0.0,420.399994,,,447.799988,,,,,33.400002,,,,1058.900024,950.200012,2150.0,-1199.800049,0.0,154.5,,,,,,,154.5,1104.700012,,256.399994,256.399994,,,,56.200001,,,,,,425.999981,,,425.999981,738.599976,395.399994,,,,,245.0,,,245.0,640.399994,1378.999969,114.900002,743.200012,,,-67.300003,,-11.599998,779.200012,5.4,784.600012,2163.599982,
09/28/1992,2136.100098,143.899994,143.899994,0.0,412.600006,,,445.899994,,,,,35.599998,,,,1038.0,945.099976,2153.5,-1208.400024,0.0,153.0,,,,,,,153.0,1098.099976,,243.899994,243.899994,,,,97.199997,,,,,,409.699997,,,409.699997,750.799988,368.200012,,,,,238.100006,,,238.100006,606.300018,1357.100006,114.900002,744.799988,,,-67.300003,,-18.399994,773.999992,5.0,778.999992,2136.099998,
12/31/1992,2230.5,54.200001,54.200001,0.0,372.700012,,,440.399994,,,,,128.300003,,,,995.599976,928.700012,2122.300049,-1193.599976,0.0,306.200012,,,,,,,306.200012,1234.900024,,255.300003,255.300003,,,,75.599998,,,,,,393.300011,,,393.300011,724.200012,341.700012,,,,,657.799988,,,657.799988,999.5,1723.700012,114.900002,745.700012,,,-67.300003,,-292.199997,501.100014,5.7,506.800014,2230.500026,
04/04/1993,2298.300049,69.0,69.0,0.0,440.700012,,,463.899994,,,,,127.5,,,,1101.099976,925.0,2141.899902,-1216.900024,0.0,272.200012,,,,,,,272.200012,1197.200012,,272.799988,272.799988,,,,100.300003,,,,,,427.999985,,,427.999985,801.099976,324.700012,,,,,634.099976,,,634.099976,958.799988,1759.899963,114.900002,741.099976,,,-67.300003,,-255.999985,532.699989,5.7,538.399989,2298.299953,
