Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
11/30/1989,400.135986,-258.484009,141.651978,-103.660004,37.992001,-1.217,1.105,37.880001,-13.709,24.171,0.0,0,24.171,0,,24.171,,,24.171001,,1.96,1.96,12.31375,1.96,1.96,1.96,12.31375,
02/28/1990,395.665009,-258.240997,137.424011,-103.012001,34.411999,-0.977,1.435,34.869999,-12.432,22.438,0.0,0,22.438,0,,22.438,,,22.437999,,1.84,1.84,12.31375,1.84,1.84,1.84,12.31375,
05/31/1990,420.313995,-266.791992,153.522003,-113.013,40.508999,-0.982,0.399,39.925999,-14.336,25.59,0.0,0,25.59,0,,25.59,,,25.589998,,2.08,2.08,12.36825,2.08,2.08,2.08,12.36825,
08/30/1990,431.699005,-269.02301,162.675995,-119.390999,43.285,-0.688,0.442,43.039,-15.523,27.516001,0.0,0,27.516001,0,,27.516001,,,27.516,2.24,2.24,2.24,12.385625,2.24,2.24,2.24,12.385625,
11/30/1990,404.240997,-256.471985,147.769012,-110.359001,37.41,-0.704,1.536,38.242,-13.681,24.561001,0.0,0,24.561001,0,,24.561001,,,24.561,,2.0,2.0,12.38525,2.0,2.0,2.0,12.38525,
02/28/1991,386.69101,-250.522995,136.168015,-113.167999,23.0,-0.784,0.805,23.021,-8.196,14.825,0.0,0,14.825,0,,14.825,,,14.825,,1.2,1.2,12.38525,1.2,1.2,1.2,12.38525,
05/31/1991,404.118988,-259.222992,144.895996,-117.613998,27.282,-1.537,-63.291,-37.546001,14.447,-23.099001,0.0,0,-23.099001,0,,-23.099001,,,-23.099001,,-1.88,-1.88,12.38525,-1.88,-1.88,-1.88,12.38525,
08/30/1991,406.664001,-265.513,141.151001,-115.762001,25.389,-0.809,0.339,24.919,-8.97,15.949,0.0,0,15.949,0,,15.949,,,15.949,1.28,1.28,1.28,12.38475,1.28,1.28,1.28,12.38475,
11/30/1991,401.587006,-257.265015,144.321991,-114.793999,29.528,-0.712,-1.197,27.619,-9.977,17.642,0.0,0,17.642,0,,17.642,,,17.642,,1.44,1.44,12.38475,1.44,1.44,1.44,12.38475,
02/29/1992,390.5,-249.145004,141.354996,-114.054001,27.301001,-0.64,-1.961,24.700001,-8.937,15.763,0.0,0,15.763,0,,15.763,,,15.763,,1.28,1.28,12.38475,1.28,1.28,1.28,12.38475,
05/31/1992,415.569,-268.108002,147.460999,-115.165001,32.296001,-0.632,-0.565,31.099001,-11.334,19.764999,0.0,0,19.764999,0,,19.764999,,,19.765002,,1.6,1.6,12.38475,1.6,1.6,1.6,12.38475,
08/31/1992,426.154999,-272.507996,153.647003,-118.639999,35.007,-0.706,-0.811,33.49,-12.552,20.938,0.0,0,20.938,0,,20.938,,,20.938,,1.68,1.68,12.384625,1.68,1.68,1.68,12.384625,
11/30/1992,434.341003,-265.394989,168.946014,-135.936996,33.008999,-1.171,-2.48,29.357999,-10.772,18.586,0.0,0,18.586,0,,18.586,,,18.585999,,1.52,1.52,12.38675,1.52,1.52,1.52,12.38675,
02/28/1993,426.993011,-265.096008,161.897003,-134.386002,27.511,-1.137,-3.193,23.181,-8.547,14.634,0.0,0,14.634,0,,14.634,,,14.634,,1.2,1.2,12.3895,1.2,1.2,1.2,12.3895,
05/31/1993,459.963989,-282.015015,177.948975,-142.223999,35.724998,-1.684,-1.339,32.701998,-12.191,20.511,0.0,0,20.511,0,,20.511,,,20.510998,,1.64,1.64,12.38975,1.64,1.64,1.64,12.38975,
08/31/1993,483.523987,-301.30899,182.214996,-144.464005,37.750999,-0.969,-2.507,34.274999,-12.89,21.385,0.0,0,21.385,0,,21.385,,,21.384999,,1.72,1.72,12.38925,1.72,1.72,1.72,12.38925,
11/30/1993,459.899994,-284.31601,175.583984,-141.582993,34.000999,-1.146,-2.052,30.802999,-11.631,19.172001,0.0,0,19.172001,0,,19.172001,,,19.172,,1.56,1.56,12.3905,1.56,1.56,1.56,12.3905,
02/28/1994,439.337006,-273.255005,166.082001,-137.841995,28.24,-1.024,-1.067,26.149,-9.876,16.273001,0.0,0,16.273001,0,,16.273001,,,16.272999,,1.32,1.32,12.393,1.32,1.32,1.32,12.393,
05/31/1994,481.001007,-293.970001,187.031006,-146.835007,40.195999,-0.867,-2.48,36.848999,-13.921,22.927999,0.0,0,22.927999,0,,22.927999,,,22.928,,1.84,1.84,12.3945,1.84,1.84,1.84,12.3945,
08/31/1994,501.626007,-310.03299,191.593017,-151.031006,40.562,-0.631,-1.534,38.397,-14.072,24.325001,0.0,0,24.325001,0,,24.325001,,,24.325,1.96,1.96,1.96,12.3735,1.96,1.96,1.96,12.3735,
11/30/1994,480.984009,-295.03299,185.951019,-149.695007,36.256001,-0.83,-1.691,33.735001,-12.621,21.114,0.0,0,21.114,0,,21.114,,,21.114,,1.72,1.72,12.311,1.72,1.72,1.72,12.311,
02/28/1995,465.809998,-291.016998,174.792999,-144.220993,30.572001,-0.96,-1.581,28.031001,-10.453,17.577999,0.0,0,17.577999,0,,17.577999,,,17.578,,1.44,1.44,12.21475,1.44,1.44,1.44,12.21475,
05/31/1995,505.798004,-308.894989,196.903015,-153.085007,43.818001,-1.002,-1.752,41.064001,-15.437,25.627001,0.0,0,25.627001,0,,25.627001,,,25.627001,,2.12,2.12,12.0955,2.12,2.12,2.12,12.0955,
08/31/1995,518.034973,-313.610992,204.423981,-154.753006,49.671001,-1.028,-0.976,47.667001,-17.889,29.778,0.0,0,29.778,0,,29.778,,,29.778001,2.48,2.48,2.48,12.077,2.48,2.48,2.48,12.077,
11/30/1995,492.549988,-301.803009,190.746979,-152.382996,38.363998,-1.079,-0.19,37.094998,-13.826,23.268999,0.0,0,23.268999,0,,23.268999,,,23.268998,1.92,1.92,1.92,12.08575,1.92,1.92,1.92,12.08575,
02/29/1996,482.205994,-301.947998,180.257996,-150.660004,29.598,-1.019,2.141,30.72,-11.47,19.25,0.0,0,19.25,0,,19.25,,,19.249999,1.6,1.6,1.6,12.091,1.6,1.6,1.6,12.091,
05/31/1996,516.869995,-314.492004,202.377991,-157.395004,44.983002,-1.082,0.435,44.336002,-16.659,27.677,0.0,0,27.677,0,,27.677,,,27.677001,2.32,2.32,2.32,12.01475,2.32,2.32,2.32,12.01475,
08/31/1996,521.935974,-319.542999,202.392975,-156.074997,46.318001,-1.1,4.479,49.697001,-18.745001,30.952,0.0,0,30.952,0,,30.952,,,30.952,2.64,2.64,2.64,11.7845,2.64,2.64,2.64,11.7845,
11/30/1996,511.893005,-312.182007,199.710999,-158.382004,41.328999,-1.341,-0.648,39.339999,-14.506,24.834,0.0,0,24.834,0,,24.834,0.0,0.0,24.833999,2.16,2.16,2.16,11.341,2.16,2.16,2.16,11.41,
02/28/1997,499.235992,-310.51001,188.725983,-155.147995,33.577999,-1.6,0.209,32.186999,-11.842,20.344999,0.0,0,20.344999,0,,20.344999,0.0,0.0,20.344999,1.8,1.799988,1.8,11.2485,1.8,1.8,1.8,11.324,
05/31/1997,515.278992,-304.415009,210.863983,-160.960999,49.903,-1.705,-1.39,46.808,-17.374001,29.434,0.0,0,29.434,0,,29.434,0.0,0.0,29.433999,2.6,2.6,2.6,11.249,2.6,2.6,2.6,11.336914,
08/31/1997,509.770996,-301.710999,208.059997,-159.248993,48.811001,-1.478,13.41,60.743001,-28.077999,32.665001,0.0,0,32.665001,0,,32.665001,-0.904,0.0,31.761002,2.84,2.92,2.92,11.182999,2.8,2.88,2.88,11.30575,
11/30/1997,487.584015,-294.239014,193.345001,-152.628006,40.716999,-1.822,3.46,42.354999,-15.687,26.667999,0.0,0,26.667999,0,,26.667999,0.0,0.0,26.667999,2.44,2.44,2.44,10.913,2.4,2.4,2.4,11.026,
02/28/1998,479.411011,-293.362,186.049011,-150.850998,35.198002,-1.68,3.794,37.312002,-13.824,23.488001,0.0,0,23.488001,0,,23.488001,0.0,0.0,23.488001,2.2,2.2,2.2,10.69125,2.16,2.16,2.16,10.8295,
05/31/1998,521.607971,-314.289001,207.31897,-161.617996,45.701,-1.427,0.515,44.789,-16.65,28.139,0.0,0,28.139,0,,28.139,0.0,0.0,28.139001,2.68,2.68,2.68,10.50025,2.64,2.64,2.64,10.66475,
08/31/1998,542.70697,-325.795013,216.911957,-168.964005,47.948002,-2.335,3.052,48.665002,-18.24,30.424999,0.0,0,30.424999,0,,30.424999,0.0,0.0,30.425002,2.92,2.92,2.92,10.36325,2.88,2.88,2.88,10.49825,
11/30/1998,518.926025,-310.733002,208.193024,-164.912003,43.280998,-2.742,0.391,40.929998,-15.226,25.704,0.0,0,25.704,0,,25.704,0.0,0.0,25.703998,2.48,2.48,2.48,10.35175,2.48,2.48,2.48,10.4035,
02/28/1999,510.359009,-314.14801,196.210999,-160.597,35.613998,-3.325,7.138,39.426998,-14.665,24.761999,0.0,0,24.761999,0,,24.761999,-2.639,0.0,22.122998,2.16,2.4,2.4,10.2615,2.16,2.4,2.4,10.30675,
05/31/1999,569.838013,-346.089996,223.748016,-173.604996,50.143002,-3.873,2.365,48.635002,-18.094,30.541,0.0,0,30.541,0,,30.541,-1.797,0.0,28.744002,2.84,3.0,3.0,10.1635,2.84,3.0,3.0,10.21275,
08/31/1999,620.106018,-355.878998,264.22702,-199.082001,65.144997,-6.955,11.14,69.329997,-25.993999,43.335999,0.0,0,43.335999,0,,43.335999,-8.296,0.0,35.039998,3.48,4.28,4.28,10.114,3.48,4.28,4.28,10.16625,
11/30/1999,133.319,-87.976997,45.342003,-38.925808,6.416192,-0.3945,13.923,19.944692,-15.462,4.482692,19.907,0,24.389692,0,0.0,24.389692,0.0,0.0,4.482693,0.44,0.44,2.4,10.146,0.44,0.44,2.4,10.1715,
02/29/2000,132.455002,-87.179001,45.276001,-38.606743,6.669256,-0.395,10.978,17.252256,-12.854,4.398256,15.878,0,20.276257,0,0.0,20.276257,0.0,0.0,4.398256,0.44,0.44,2.0,10.17775,0.44,0.44,2.0,10.18425,
05/31/2000,140.356003,-92.021004,48.334999,-40.999725,7.335276,-0.395,10.575,17.515276,-13.174,4.341276,16.434999,0,20.776276,0,0.0,20.776276,0.0,0.0,4.341276,0.44,0.44,2.04,10.188,0.44,0.44,2.04,10.189,
08/31/2000,140.582001,-94.049004,46.532997,-41.0,5.533,-0.394,-31.955,-26.816,30.666,3.851,30.577,0,34.428001,0,0.0,34.428001,0.0,0.0,3.85,0.36,0.36,3.36,10.201,0.36,0.36,3.36,10.20125,
11/30/2000,140.686996,-92.469002,48.217995,-42.118,6.1,-0.439,-1.924,3.737,-1.383,2.354,14.183,0,16.537001,0,0.0,16.537001,0.0,0.0,2.354,0.232,0.232,1.62,10.235,0.232,0.232,1.62,10.239,
02/28/2001,135.141998,-90.223,44.918999,-43.294998,1.624,-0.439,2.132,3.317,-1.227,2.09,13.735,0,15.825,0,0.0,15.825,,,2.09,0.2,0.2,1.54,10.269,0.2,0.2,1.53,10.37425,
05/31/2001,144.328003,-92.999001,51.329002,-43.764999,7.564,-0.439,0.656,7.781,-2.879,4.902,7.669,0,12.571,0,0.0,12.571,,,4.902,0.48,0.48,1.22,10.28,0.47,0.472,1.21,10.383,
08/31/2001,143.123993,-100.329002,42.794991,-46.967999,-4.173,-0.442,-57.394001,-62.009001,37.370998,-24.636999,6.717,0,-17.92,0,0.0,-17.92,38.400002,-13.44,0.321999,0.04,-2.4,-1.76,10.28925,0.04,-2.4,-1.76,10.28925,
11/30/2001,134.389008,-89.779999,44.609009,-45.238998,-0.63,-0.111,-5.339,-6.08,2.432,-3.648,-25.137,0,-28.785,0,0.0,-28.785,5.82,-2.328,-0.156,-0.02,-0.352,-2.792,10.305,-0.02,-0.35,-2.792,10.305,
02/28/2002,132.037994,-88.410004,43.627991,-44.465,-0.837,-0.168,0.936,-0.069,0.028,-0.041,0.0,0,-0.041,0,0.0,-0.041,,,-0.041,0.0,0.0,0.0,10.317,0.0,0.0,0.0,10.317,
05/31/2002,136.078995,-89.117996,46.960999,-44.515999,2.445,-0.09,8.778,11.133,-4.342,6.791,0.0,0,6.791,0,0.0,6.791,-7.966,3.151,1.976,0.2,0.66,0.66,10.33,0.19,0.65,0.65,10.467,
08/31/2002,129.923996,-88.511002,41.412994,-41.500999,-0.088,-0.016,-15.889,-15.993,5.956,-10.037,0.0,0,-10.037,0,0.0,-10.037,16.580999,-6.175,0.368999,0.03,-0.97,-0.97,10.343,0.03,-0.97,-0.97,10.343,
11/30/2002,120.063004,-81.411003,38.652,-44.589001,-5.937,-0.001,2.843,-3.095,1.171,-1.924,0.0,0,-1.924,0,0.0,-1.924,-4.7,1.8,-4.824,-0.47,-0.19,-0.19,10.357,-0.47,-0.19,-0.19,10.357,
