Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Other Share Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
10/01/1989,84.508003,45.459999,45.459999,0.0,11.63,,,6.229,,,,,5.677,,,,68.996002,15.512,29.066999,-13.555,0.0,,0.0,,,,0.0,15.512,,2.485,2.485,,,,2.078,,,,,12.812,,,,12.812,17.375,8.718,,,,0.538,,,,,0.538,9.256,26.631,0.0,42.515999,,,,,,15.361,57.876999,0.0,57.876999,84.507999,
12/31/1989,85.403999,45.280998,45.280998,0.0,12.344,,,6.331,,,,,5.916,,,,69.872002,15.532,30.181999,-14.65,0.0,,0.0,,,,0.0,15.532,,2.349,2.349,,,,1.921,,,,,10.515,,,,10.515,14.785,9.172,,,,0.538,,,,,0.538,9.71,24.495,0.0,43.047001,,,,,,17.862,60.909,0.0,60.909,85.404,
04/01/1990,89.341003,48.802,30.655001,18.146999,13.97,,,5.599,,,,,5.505,,,,73.875999,15.465,31.052,-15.587,0.0,,0.0,,,,0.0,15.465,,1.709,1.709,,,,1.991,,,,,12.144,,,,12.144,15.844,8.625,,,,0.538,,,,,0.538,9.163,25.007,0.0,43.463001,,,,,,20.871,64.334002,0.0,64.334002,89.341001,
07/01/1990,96.353996,53.438,25.059,28.379,14.619,,,5.882,,,,,6.485,,,,80.424004,15.93,32.464001,-16.534,0.0,,0.0,,,,0.0,15.93,,2.255,2.255,,,,1.997,,,,,14.348,,,,14.348,18.6,8.17,,,,0.815,,,,,0.815,8.985,27.585,0.0,46.339001,,,,,,22.43,68.769001,0.0,68.769001,96.354001,
09/30/1990,99.330002,56.497999,23.629,32.868999,13.662,,,6.623,,,,,6.612,,,,83.394997,15.935,33.401001,-17.466,0.0,,0.0,,,,0.0,15.935,,2.481,2.481,,,,2.03,,,,,13.812,,,,13.812,18.323,7.718,,,,0.815,,,,,0.815,8.533,26.856,0.0,46.611,,,,,,25.863001,72.474001,0.0,72.474001,99.330001,
12/30/1990,103.779999,59.161001,16.191,42.970001,15.61,,,6.838,,,,,6.709,,,,88.318001,15.462,33.886002,-18.424,0.0,,0.0,,,,0.0,15.462,,2.491,2.491,,,,1.982,,,,,14.680999,,,,14.680999,19.153999,7.282,,,,0.815,,,,,0.815,8.097,27.250999,0.0,47.147999,,,,,,29.381001,76.528999,0.0,76.528999,103.779999,
03/31/1991,109.460999,63.888,19.084,44.804001,14.62,,,7.067,,,,,7.308,,,,92.883003,16.577999,35.986,-19.408001,0.0,,0.0,,,,0.0,16.577999,,2.564,2.564,,,,1.751,,,,,15.359,,,,15.359,19.674,6.862,,,,0.815,,,,,0.815,7.677,27.351,0.0,48.178001,,,,,,33.931999,82.110001,0.0,82.110001,109.461,
06/30/1991,120.741997,69.224998,17.479,51.745998,14.094,,,7.543,,,,,9.628,,,,100.489998,20.252001,40.612999,-20.361,0.0,,0.0,,,,0.0,20.252001,,4.199,4.199,,,,1.731,,,,,17.788,,,,17.788,23.718,6.439,,,,0.903,,,,,0.903,7.342,31.06,0.0,50.682999,,,,,,38.999001,89.682,0.0,89.682,120.742,
09/29/1991,128.865997,72.962998,13.065,59.897999,13.713,,,8.291,,,,,9.673,,,,104.639999,24.226,45.630001,-21.403999,0.0,,0.0,,,,0.0,24.226,,4.821,4.821,,,,1.648,,,,,19.073,,,,19.073,25.542,6.07,,,,0.903,,,,,0.903,6.973,32.515,0.0,51.932999,,,,,,44.417999,96.350998,0.0,96.350998,128.865998,
12/29/1991,133.509003,77.434,16.254,61.18,14.043,,,7.797,,,,,9.926,,,,109.199997,24.309,46.825001,-22.516001,0.0,,0.0,,,,0.0,24.309,,3.06,3.06,,,,4.844,,,,,19.999,,,,19.999,27.903,2.438,,,,0.903,,,,,0.903,3.341,31.244,0.0,54.285,,,,,,47.98,102.264999,0.0,102.264999,133.508999,
