Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
08/31/1986,29.150999,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.933,,,2.933,2.933,,106.654541,0.0275,0.0275,0.0275,106.654541,0.0275,0.0275,0.0275,
11/30/1986,38.311001,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.948,,,3.948,3.948,,105.279999,0.0375,0.0375,0.0375,105.279999,0.0375,0.0375,0.0375,
02/28/1987,42.412998,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.607,,,4.607,4.607,,102.377777,0.045,0.045,0.045,102.377777,0.045,0.045,0.045,
05/31/1987,45.980999,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.723,,,4.723,4.723,,111.12941,0.0425,0.0425,0.0425,111.12941,0.0425,0.0425,0.0425,
08/31/1987,50.903,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.501,,,5.501,5.501,,110.019997,0.05,0.05,0.05,110.019997,0.05,0.05,0.05,
11/30/1987,58.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.118,,,3.118,3.118,,113.379997,0.0275,0.0275,0.0275,113.379997,0.0275,0.0275,0.0275,
02/29/1988,66.219002,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.598,,,6.598,6.598,,114.748001,0.0575,0.0575,0.0575,114.748001,0.0575,0.0575,0.0575,
05/31/1988,76.674004,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.33,,,7.33,7.33,,117.279999,0.0625,0.0625,0.0625,117.279999,0.0625,0.0625,0.0625,
08/31/1988,82.046997,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.131,,,7.131,7.131,,114.096001,0.0625,0.0625,0.0625,114.096001,0.0625,0.0625,0.0625,
11/30/1988,84.954002,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.253,,,8.253,8.253,,113.832001,0.0725,0.0725,0.0725,113.832001,0.0725,0.0725,0.0725,
02/28/1989,107.125999,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.692,,,10.692,10.692,,118.800003,0.09,0.09,0.09,118.800003,0.09,0.09,0.09,
05/31/1989,111.730003,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.234,,,8.234,8.234,,117.627998,0.07,0.07,0.07,117.627998,0.07,0.07,0.07,
08/31/1989,89.112999,,-47.372002,,41.740997,,-39.386002,,,,,,,2.355,-0.39,,,,0.0,0.39,1.965,-0.737,1.228,0.0,,,1.228,0.0,1.228,0.0,,1.228,1.228,,116.047997,0.01,0.01,,116.047997,0.01,0.01,0.01,
