Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1993,25.044001,14.624,14.624,0.0,3.792,,,3.155,,,,,1.126,,,,,,,,22.697001,2.074,,,0.0,,0.273,,,,0.273,2.347,,1.595,1.595,,,,0.106,,,,,,3.487,,,,3.487,5.188,0.088,,,,,0.453,,,0.453,0.541,5.729,0.0,12.416,,,0.0,,6.899,19.315001,0.0,19.315001,25.044001,
03/31/1994,25.827,14.267,10.007,4.26,4.248,,,3.547,,,,,1.273,,,,,,,,23.334999,2.224,,,0.0,,0.268,,,,0.268,2.492,,1.502,1.502,,,,0.104,,,,,,3.547,,,,3.547,5.153,0.059,,,,,0.452,,,0.452,0.511,5.664,0.0,12.727,,,0.0,,7.436,20.163,0.0,20.163,25.827,
06/30/1994,26.214001,14.215,3.048,11.167,4.314,,,3.359,,,,,1.377,,,,,,,,23.264999,2.26,6.437,-4.177,0.0,,0.689,,,,0.689,2.949,,1.228,1.228,,,,0.132,,,,,,2.962,,,,2.962,4.322,0.0,,,,,0.561,,,0.561,0.561,4.883,0.0,13.101,,,0.0,,8.23,21.331,0.0,21.331,26.214,
09/30/1994,27.176001,14.743,3.512,11.231,4.815,,,3.471,,,,,1.144,,,,,,,,24.173,2.301,,,0.0,,0.702,,,,0.702,3.003,,1.601,1.601,,,,0.067,,,,,,2.762,,,,2.762,4.43,0.0,,,,,0.561,,,0.561,0.561,4.991,0.0,13.259,,,0.0,,8.926,22.184999,0.0,22.184999,27.175999,
12/31/1994,29.566999,15.604001,4.096,11.508,5.772,,,3.187,,,,,1.426,,,,,,,,25.989,2.83,,,0.0,,0.748,,,,0.748,3.578,,2.407,2.407,,,,0.067,,,,,,3.079,,,,3.079,5.553,0.0,,,,,0.561,,,0.561,0.561,6.114,0.0,13.669,,,0.0,,9.784,23.453,0.0,23.453,29.567,
03/31/1995,32.331001,15.74,4.448,11.292,6.937,,,4.119,,,,,1.818,,,,,,,,28.614,2.98,,,0.0,,0.737,,,,0.737,3.717,,2.27,2.27,,,,0.034,,,,,,3.546,,,,3.546,5.85,0.0,,,,,0.561,,,0.561,0.561,6.411,0.0,14.881,,,0.0,,11.039,25.919999,0.0,25.919999,32.330999,
06/30/1995,31.91,7.559,2.88,4.679,8.793,,,5.478,,,,,2.367,,,,,,,,24.197001,3.452,8.387,-4.935,0.0,,4.261,,,,4.261,7.713,,2.249,2.249,,,,0.0,,,,,,4.632,,,,4.632,6.881,0.0,,,,,0.221,,,0.221,0.221,7.102,0.0,15.761,,,0.0,,9.047,24.808,0.0,24.808,31.91,
09/30/1995,34.015999,8.226,3.566,4.66,8.6,,,6.902,,,,,2.264,,,,,,,,25.992001,3.712,,,0.0,,4.312,,,,4.312,8.024,,2.991,2.991,,,,0.017,,,,,,4.117,,,,4.117,7.125,0.0,,,,,0.221,,,0.221,0.221,7.346,0.0,16.416,,,0.0,,10.254,26.67,0.0,26.67,34.016,
12/31/1995,90.669998,48.315001,35.651001,12.664,10.521,,,8.021,,,,,2.174,,,,,,,,69.030998,4.896,,,12.455,,4.288,,,,4.288,21.639,,3.717,3.717,,,,0.0,,,,,,4.995,,,,4.995,8.712,0.0,,,,,0.188,,,0.188,0.188,8.9,0.0,69.634003,,,0.0,,12.136,81.770002,0.0,81.770002,90.670002,
03/31/1996,96.699997,36.868,18.580999,18.287001,12.824,,,8.81,,,,,2.215,,,,,,,,60.716999,17.018999,,,14.9,,4.064,,,,4.064,35.982999,,3.308,3.308,,,,0.0,,,,,,6.376,,,,6.376,9.684,0.0,,,,,0.171,,,0.171,0.171,9.855,0.0,72.202003,,,0.0,,14.643,86.845003,0.0,86.845003,96.700003,
