Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
03/31/2020,159,165,43,50,11,16,23,-99,-116,-49,66,,-92,-39,0,-39,-39,0,-5,0,-5,0,-48,-256,-21,6336,36,6300,0,0,0,-6571,-50,-239,
06/30/2020,664,224,49,77,16,-37,98,314,57,-22,279,0.0,-50,-36,0,-36,-36,0,-11,0,-11,0,-3,76,-109,-35,-35,0,0,0,0,220,17,707,
