Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
01/15/1994,14.912,4.305,4.305,0.0,0.959,,,1.745,,,,,1.024,,,,,,8.033,6.284,,,0.0,0.595,,,,,0.595,6.879,,2.246,2.246,,,,0.378,,,,,0.718,,,,0.718,3.342,1.803,,,,0.366,,,,,0.366,2.169,5.511,0.0,12.655,,,0.0,,-3.254,9.401,0.0,9.401,14.912,
04/09/1994,14.529,3.071,3.071,0.0,1.057,,,1.734,,,,,0.439,,,,,,6.301,7.396,,,0.0,0.832,,,,,0.832,8.228,,1.671,1.671,,,,0.67,,,,,0.701,,,,0.701,3.042,2.955,,,,0.341,,,,,0.341,3.296,6.338,0.0,12.66,,,0.0,,-4.469,8.191,0.0,8.191,14.529,
07/02/1994,13.975,1.661,1.661,0.0,1.106,,,2.094,,,,,0.387,,,,,,5.248,7.692,,,0.0,1.035,,,,,1.035,8.727,,1.837,1.837,,,,0.573,,,,,0.847,,,,0.847,3.257,2.814,,,,0.316,,,,,0.316,3.13,6.387,0.0,12.664,,,0.0,,-5.076,7.587999,0.0,7.587999,13.974999,
09/24/1994,13.918,0.553,0.553,0.0,1.493,,,2.407,,,,,0.39,,,,,,4.843,7.926,11.698,-3.772,0.0,1.149,,,,,1.149,9.075,,1.993,1.993,,,,0.571,,,,,0.665,,,,0.665,3.229,2.706,,,,0.316,,,,,0.316,3.022,6.251,0.0,12.688,,,0.0,,-5.021,7.667,0.0,7.667,13.918,
01/14/1995,14.797,0.271,0.271,0.0,2.241,,,2.747,,,,,0.486,,,,,,5.745,7.959,,,0.0,1.093,,,,,1.093,9.052,,2.254,2.254,,,,1.676,,,,,0.522,,,,0.522,4.452,2.503,,,,0.0,,,,,0.0,2.503,6.955,0.0,12.688,,,0.0,,-4.846,7.842,0.0,7.842,14.797,
04/08/1995,14.458,0.389,0.389,0.0,1.782,,,2.645,,,,,0.454,,,,,,5.27,7.987,,,0.0,1.201,,,,,1.201,9.188,,1.951,1.951,,,,2.05,,,,,0.492,,,,0.492,4.493,2.617,,,,0.0,,,,,0.0,2.617,7.11,0.0,12.688,,,0.0,,-5.34,7.348,0.0,7.348,14.458,
06/30/1995,14.93,0.361,0.361,0.0,2.213,,,2.604,,,,,0.723,,,,,,5.901,7.816,,,0.0,1.213,,,,,1.213,9.029,,2.444,2.444,,,,2.324,,,,,0.462,,,,0.462,5.23,2.483,,,,0.0,,,,,0.0,2.483,7.713,0.0,12.688,,,0.0,,-5.471,7.217,0.0,7.217,14.93,
09/30/1995,15.565,0.31,0.31,0.0,2.66,,,2.766,,,,,0.492,,,,,,6.228,8.127,13.473,-5.346,0.0,1.21,,,,,1.21,9.337,,2.751,2.751,,,,2.406,,,,,0.326,,,,0.326,5.483,2.56,,,,0.0,,,,,0.0,2.56,8.043,0.0,12.761,,,0.0,,-5.239,7.522,0.0,7.522,15.565,
01/20/1996,15.149,0.504,0.504,0.0,2.236,,,2.668,,,,,0.53,,,,,,5.938,8.135,,,0.0,1.076,,,,,1.076,9.211,,1.869,1.869,,,,2.218,,,,,0.478,,,,0.478,4.565,2.383,,,,0.0,,,,,0.0,2.383,6.948,0.0,12.761,,,0.0,,-4.56,8.201,0.0,8.201,15.149,
04/13/1996,15.125,0.516,0.516,0.0,2.286,,,2.466,,,,,0.469,,,,,,5.737,8.187,,,0.0,1.201,,,,,1.201,9.388,,1.867,1.867,,,,1.431,,,,,0.447,,,,0.447,3.745,3.081,,,,0.0,,,,,0.0,3.081,6.826,0.0,12.761,,,0.0,,-4.462,8.299,0.0,8.299,15.125,
