Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,Net Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Source: Bloomberg
03/31/1990,83.97068,84.785082,84.785082,,9.104927,4.589605,4.368847,0.201816,0.059259,0.059259,,0.059259,0.059259,0.059259,0.038519,-8.702427,,3.556873,7.791982,
06/30/1990,84.299529,85.197224,85.197224,,9.248107,5.120049,4.120768,0.272931,0.103704,0.103704,,0.103704,0.103704,0.103704,0.038519,14.258962,,2.884749,7.846343,
09/30/1990,84.346785,84.544726,84.544726,,8.523903,4.677181,3.611532,0.108865,0.044444,0.044444,,0.044444,0.044444,0.044444,0.038519,-4.28462,,2.75247,7.863797,
12/31/1990,83.176845,83.629122,83.629122,,8.346124,4.34326,3.52675,-0.036746,-1.173333,-1.173333,,-1.173333,-1.173333,-1.173333,0.038519,21.274468,,5.958317,6.698451,
03/31/1991,89.442798,84.866462,84.866462,,8.652758,5.159541,3.747735,0.572947,0.305185,0.305185,,0.305185,0.305185,0.305185,0.038519,-3.238735,,3.149432,6.519698,
06/30/1991,89.938039,90.25646,90.25646,,8.780391,5.380379,3.679349,0.558575,0.311111,0.311111,,0.311111,0.311111,0.311111,0.038519,-15.476343,,2.825656,6.799381,
09/30/1991,90.15291,90.620541,90.620541,,8.948379,5.40426,3.837618,0.606308,0.36,0.358519,,0.36,0.358519,0.358519,0.038519,12.347146,,3.433389,7.154433,
12/31/1991,95.085657,96.446254,96.446254,,8.586876,5.582633,3.294851,0.749267,0.426667,0.426667,,0.426667,0.426667,0.426667,0.044444,-7.955063,,3.740238,7.48502,
03/31/1992,97.100335,101.253304,101.253304,,8.634987,6.017008,3.342488,1.137385,0.68,0.68,,0.68,0.68,0.68,0.044444,-12.608211,,3.005664,8.026388,
06/30/1992,97.034984,99.948961,99.948961,,8.172531,5.418896,3.059432,0.738377,0.413333,0.413333,,0.413333,0.413333,0.413333,0.053333,-3.450671,,2.398743,8.50248,
09/30/1992,96.915619,100.598828,100.598828,,8.315574,5.672979,3.002262,0.828459,0.471111,0.471111,,0.471111,0.471111,0.471111,0.053333,-12.869007,,2.147786,8.967574,
