Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
03/31/2007,102,43,16,9,,10,-1,34,4,,30,,-19,-7,0,,,-7,,,0,0,0,,,,,-12,0,0,0,,,,0,0,0,0,,0,
06/30/2007,93,49,17,22,,19,3,5,-3,4.0,4,,-32,-8,0,,,-8,,,0,0,0,,,,,-24,-61,0,0,,,,0,0,0,-61,,0,
09/30/2007,94,29,18,43,,42,1,4,-12,-4.0,20,,-22,-49,0,,,-49,,,0,0,0,,,,,27,41,0,0,,,,0,0,0,41,,196,
12/31/2007,98,79,17,60,,9,51,-58,-117,-12.0,71,,-31,-36,0,,,-36,,,0,0,0,,,,,5,7,0,0,,,,1,1,0,6,,74,
03/31/2008,143,42,17,-18,,6,-24,102,102,3.0,-3,,-42,-4,0,,,-4,,,0,0,0,,,,,-38,-32,0,0,,,,-37,1,-38,5,,69,
06/30/2008,85,69,16,12,,10,2,-12,-26,6.0,8,,-75,-7,0,,,-7,,,0,0,0,,,,,-68,-32,0,0,,,,-34,0,-34,2,,-22,
09/30/2008,94,60,14,23,,13,10,-3,65,0.0,-68,,-15,-47,0,,,-47,,,0,0,0,,,,,32,-68,0,0,,,,-65,0,-65,-3,,11,
12/31/2008,118,79,13,27,,9,18,-1,-68,-2.0,69,,-4,-13,0,,,-13,,,0,0,0,,,,,9,-40,0,0,,,,-39,0,-39,-1,,74,
03/31/2009,165,45,14,7,5.0,8,-6,99,88,-7.0,18,0.0,-41,-20,0,0.0,0.0,-20,-9.0,-11.0,0,0,0,4.0,0.0,4.0,0.0,-25,-17,0,0,0.0,0.0,0.0,-20,0,-20,3,-3.0,104,
06/30/2009,103,62,13,13,5.0,8,0,15,17,7.0,-9,0.0,47,-20,0,0.0,0.0,-20,-4.0,-16.0,0,0,0,2.0,0.0,2.0,0.0,65,-24,0,0,0.0,0.0,0.0,-29,1,-30,5,6.0,132,
09/30/2009,96,63,19,17,5.0,7,5,-3,16,-1.0,-18,0.0,-21,-21,0,,,-21,-5.0,-16.0,0,0,0,0.0,0.0,0.0,0.0,0,-14,0,0,0.0,0.0,0.0,-20,1,-21,6,5.0,66,
12/31/2009,91,84,17,32,3.0,18,11,-42,-61,-1.0,20,0.0,-42,-27,0,,0.0,-27,-11.0,-16.0,0,0,0,-15.0,0.0,-15.0,0.0,0,-89,0,0,0.0,0.0,0.0,-100,3,-103,11,-3.0,-43,
03/31/2010,138,67,14,10,4.0,9,-3,47,52,-10.0,5,0.0,-21,-21,0,0.0,0.0,-21,-6.0,-15.0,0,0,0,0.0,0.0,0.0,0.0,0,-65,0,0,0.0,0.0,0.0,-70,1,-71,5,-1.0,51,
06/30/2010,62,74,14,8,5.0,2,1,-34,-47,9.0,4,0.0,-55,-23,0,,,-23,-11.0,-12.0,0,0,0,-32.0,0.0,-32.0,0.0,0,8,0,0,0.0,,0.0,1,1,0,7,-3.0,12,
09/30/2010,65,75,15,26,6.0,5,15,-51,-29,-17.0,-5,0.0,-47,-18,0,0.0,0.0,-18,-8.0,-10.0,0,0,0,-29.0,0.0,-29.0,0.0,0,-7,0,0,,0.0,0.0,-16,1,-17,9,6.0,17,
12/31/2010,148,85,17,22,1.0,25,-4,24,9,0.0,15,0.0,-22,-21,0,,0.0,-21,-9.0,-12.0,0,0,0,-1.0,0.0,-1.0,0.0,0,17,0,0,0.0,0.0,0.0,7,7,0,10,-1.0,142,
03/31/2011,106,65,21,0,6.0,6,-12,20,-43,-1.0,64,0.0,-526,-27,0,0.0,0.0,-27,-8.0,-19.0,0,0,0,-499.0,0.0,-499.0,0.0,0,311,0,300,,300.0,,3,3,0,8,4.0,-105,
06/30/2011,179,103,28,-15,2.0,5,-22,63,56,6.0,1,0.0,-253,-33,0,0.0,0.0,-33,-14.0,-19.0,0,0,0,-220.0,0.0,-220.0,0.0,0,-24,0,0,,300.0,-300.0,-32,6,-38,8,2.0,-96,
