Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/1998,117.693001,,-49.237999,,68.455002,,-36.460999,,,,31.993999,-9.433999,,17.983999,-9.587,0.0,1.037,22.56,-7.331,15.229,0.0,,,15.229001,0.0,15.229,0.0,0.0,15.229,15.229,,184.808334,0.08,0.08,0.08,192.545334,0.08,0.08,0.08,
12/31/1998,205.149994,,-88.054001,,117.095993,,-41.372002,,,,75.372002,-2.964999,,17.219999,-15.726,0.0,1.471,72.407002,-16.735001,56.023998,0.0,,,55.672002,0.0,56.023998,-4.375,0.0,51.648998,51.648998,,271.771851,0.19,0.19,0.19,271.771851,0.19,0.19,0.19,
03/31/1999,176.319,,-69.387001,,106.931999,,-65.864998,,,,41.067001,-12.122999,,23.778999,-14.392,0.0,2.736,28.944002,-16.142,12.802,14.71,,,-1.907998,0.0,-1.908,-13.044,0.0,-14.952,-14.952,,410.797058,-0.04,0.0,0.0,410.797058,-0.04,0.0,0.0,
06/30/1999,188.459,,-80.904999,,107.554001,,-67.790001,,,,39.764,-15.889999,,22.674999,-17.274,0.0,10.489,23.874001,-13.896,9.978,0.0,,,9.978001,0.0,9.978,-14.197,0.0,-4.219,-4.219,,413.204254,-0.01,-0.01,-0.01,413.204254,-0.01,-0.01,-0.01,
09/30/1999,234.582001,,-129.014008,,105.567993,,-92.342003,,,,13.226,202.643997,,35.084,-13.996,0.0,-223.731997,215.869997,-80.015999,135.854004,14.865,,,120.988998,0.0,120.988998,-14.071,0.0,106.917998,106.917998,,412.672241,0.26,0.3,0.3,447.517639,0.24,0.27,0.27,
12/31/1999,1065.463989,,-571.177002,,494.286987,,-595.804993,,,,-101.517998,-49.828001,,57.539001,-21.745001,0.0,14.034001,-151.345999,-16.485001,-167.830994,30.816,,,-198.647,-1.338,-199.985001,-25.33,0.0,-225.315001,-225.315001,,457.53653,-0.29,-0.25,-0.25,457.53653,-0.29,-0.25,-0.25,
03/31/2000,907.0,,-430.0,,477.0,,-641.0,,,,-164.0,-79.0,,84.0,-15.0,0.0,10.0,-243.0,7.0,-236.0,51.0,,,-287.0,-16.0,-303.0,-45.0,0.0,-348.0,-348.0,,778.780334,-0.45,-0.38,-0.38,778.780334,-0.45,-0.38,-0.38,
06/30/2000,898.0,,-413.0,,485.0,,-774.0,,,,-289.0,-83.0,,94.0,-33.0,0.0,22.0,-372.0,65.0,-307.0,61.0,,,-368.0,3.0,-365.0,-151.0,0.0,-516.0,-516.0,,830.903137,-0.62,-0.55,-0.55,830.903137,-0.62,-0.55,-0.55,
09/30/2000,778.0,,-443.0,,335.0,,-733.0,,,,-398.0,-112.0,,105.0,-23.0,0.0,30.0,-510.0,22.0,-488.0,63.0,,,-551.0,7.0,-544.0,-58.0,0.0,-602.0,-602.0,,878.3974,-0.69,-0.62,-0.62,878.3974,-0.69,-0.62,-0.62,
12/31/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
