Date,Cash From Operating Activities,Net Income,D&A and Provision for Loan Losses,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Cash from Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1995,648.099976,168.300003,244.5,35.700001,199.600006,,,,,
06/30/1995,385.100006,162.399994,237.800003,24.6,-39.700001,,,,,
09/30/1995,635.700012,197.600006,250.199997,28.299999,159.600006,,,,,
12/31/1995,438.600006,194.800003,295.299988,68.599998,-120.099998,,,438.600006,,
03/31/1996,684.5,192.300003,305.899994,17.299999,169.0,,,,,
06/30/1996,364.899994,200.199997,322.600006,-23.799999,-134.100006,,,,,
09/30/1996,664.099976,230.199997,326.0,14.1,93.800003,,,,,
12/31/1996,833.900024,234.300003,356.899994,82.800003,159.899994,,,833.900024,,
03/31/1997,703.799988,237.800003,414.299988,-1.9,53.599998,,,,,
06/30/1997,617.599976,245.0,453.0,6.0,-86.400002,,,,,
09/30/1997,659.900024,270.899994,409.5,9.0,-29.5,,,,,
12/31/1997,690.900024,278.0,423.899994,22.799999,-33.799999,,,690.900024,,
03/31/1998,577.799988,281.0,460.399994,-10.2,-153.399994,,,,,
06/30/1998,538.599976,292.899994,425.100006,11.5,-190.899994,,,,,
09/30/1998,851.599976,317.600006,337.899994,13.4,182.699997,,,,,
12/31/1998,984.400024,332.0,400.100006,12.4,239.899994,,,,,
03/31/1999,610.400024,336.799988,477.799988,0.0,-204.199997,,,,,
06/30/1999,715.299988,358.100006,497.200012,0.0,-140.0,,,,,
09/30/1999,849.099976,386.799988,493.0,0.0,-30.700001,,,,,
12/31/1999,276.700012,408.700012,550.400024,149.800003,-832.200012,,,,,
03/31/2000,1072.400024,299.700012,596.099976,0.0,176.600006,,,,,
06/30/2000,-148.199997,409.200012,642.400024,0.0,-1199.800049,,,,,
09/30/2000,2059.0,442.399994,702.400024,0.0,914.200012,,,,,
