Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1999,2.698,,,-4.469,,,-1.771,,-26.354,,,,,,,-28.125,2.279,,,,0.0,-2.279,-25.846,0.0,,-25.846001,3.39,,,-29.236,0.0,-29.236,-0.596,0.0,-29.832,-29.832,,,,,,,,,,
03/31/2000,7.222,,,-5.03,,,2.192,,-41.172001,,,,,,,-38.98,3.625,,,,0.0,-3.625,-35.355,-0.042,,-35.396999,0.0,,,-35.397,0.0,-35.396999,0.0,0.0,-35.396999,-35.396999,,75.028999,-0.47,-0.47,-0.32,75.028999,-0.47,-0.47,-0.32,
06/30/2000,18.143999,,,-8.631,,,9.513,,-255.110001,,,,,,,-245.597,2.431,,,,0.0,-2.431,-243.166,-0.07,,-243.235992,0.0,,,-243.236,0.0,-243.235992,0.0,0.0,-243.235992,-243.235992,,87.373001,-2.78,-2.78,-0.49,87.374001,-2.78,-2.78,-0.49,
09/30/2000,27.156,,,-12.056,,,15.1,,-74.426003,,,,,,,-59.326,-244.729004,,,,0.0,244.729004,-304.055004,-0.02,,-304.075012,0.0,,,-304.075004,0.0,-304.075012,0.0,0.0,-304.075012,-304.075012,,93.098999,-3.27,-3.27,-0.6,93.098999,-3.27,-3.27,-0.6,
12/31/2000,37.243999,,,-16.263,,,20.980999,,-576.659973,,,,,,,-555.679016,252.699005,,,,0.0,-252.699005,-302.980011,-0.097,,-303.076996,0.0,,,-303.077011,0.0,-303.076996,0.0,0.0,-303.076996,-303.076996,,95.970001,-3.16,-3.16,-0.61,95.970001,-3.16,-3.16,-0.61,
03/31/2001,40.209,,,-16.16,,,24.049,,-320.812012,,,,,,,-296.763,-1925.853027,,,,0.0,1925.853027,-2222.616027,-0.164,,-2222.780029,0.0,,,-2222.780027,0.0,-2222.780029,0.0,0.0,-2222.780029,-2222.780029,,98.779999,-22.5,-22.5,-0.53,98.779999,-22.5,-22.5,-0.53,
06/30/2001,43.140999,,,-13.622,,,29.518999,,-92.799004,,,,,,,-63.279999,-28.983999,,,,0.0,28.983999,-92.263998,-0.344,,-92.608002,0.0,,,-92.607998,0.0,-92.608002,0.0,0.0,-92.608002,-92.608002,,101.628998,-0.91,-0.91,-0.46,101.628998,-0.91,-0.91,-0.46,
09/30/2001,42.754002,,,-13.402,,,29.352002,,-83.013,,,,,,,-53.660999,-1.421,,,,0.0,1.421,-55.081999,-0.277,,-55.359001,0.0,,,-55.358999,0.0,-55.359001,0.0,0.0,-55.359001,-55.359001,,104.166,-0.53,-0.53,-0.37,104.166,-0.53,-0.53,-0.37,
12/31/2001,37.110004,,,-65.150999,,,-28.040995,,-18.816963,,,,,,,-46.858014,0.0,,,,0.0,17.629917,-64.487931,-0.277,,-64.764931,0.0,,,-64.764931,0.0,-64.764931,0.0,0.0,-64.764931,-64.764931,,108.357011,-0.597699,-0.597699,-0.597699,108.357011,-0.597699,-0.597699,-0.597699,
03/31/2002,37.926998,,,-11.242,,,26.684998,,-65.308998,,,,,,,-38.624001,-20.311001,,,,0.0,20.311001,-58.935002,-0.123,,-59.057999,0.0,,,-59.058002,0.0,-59.057999,0.0,0.0,-59.057999,-59.057999,,109.693001,-0.54,-0.54,-0.27,109.693001,-0.54,-0.54,-0.27,
06/30/2002,36.321999,,,-10.946,,,25.375999,,-62.401001,,,,,,,-37.025002,-5.094,,,,0.0,5.094,-42.119002,-0.123,,-42.242001,0.0,,,-42.242002,0.0,-42.242001,0.0,0.0,-42.242001,-42.242001,,112.252998,-0.38,-0.38,-0.29,112.252998,-0.38,-0.38,-0.29,
09/30/2002,35.375,,,-21.608999,,,13.766001,,-49.777,,,,,,,-36.011002,-11.399,,,,0.0,11.399,-47.410002,-0.123,,-47.533001,0.0,,,-47.533002,0.0,-47.533001,0.0,0.0,-47.533001,-47.533001,,114.250999,-0.42,-0.42,-0.28,114.250999,-0.42,-0.42,-0.28,
12/31/2002,35.352001,,,-41.507,,,-6.154999,,-18.896999,,,,,,,-25.052,-30.429001,,,,0.0,30.429001,-55.481001,-0.123,,-53.804,0.0,,,-55.604001,0.0,-53.804,0.0,0.0,-53.804,-53.804,,114.865997,-0.48,-0.48,-0.24,114.865997,-0.48,-0.48,-0.24,
03/31/2003,36.563999,,,-17.885,,,18.678999,,-23.01,,,,,,,-4.331,-4.243,,,,0.0,4.243,-8.574,-0.073,,-8.647,0.0,,,-8.647,0.0,-8.647,0.0,0.0,-8.647,-8.647,,116.398003,-0.07,-0.07,-0.11,116.398003,-0.07,-0.07,-0.11,
