Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/30/1989,956.310974,9.889,9.889,,265.244995,,,297.492004,,,,,97.866997,,,,,,670.492981,251.154007,519.388977,-268.234985,,,,,34.664001,,,,,,34.664001,285.818008,,62.446999,62.446999,,,61.118999,,,,,,292.078991,,,292.078991,415.644989,86.844002,,,,,34.884998,,,,34.884998,121.729,537.373989,0.0,116.559998,,,0.0,,302.377014,418.937012,,418.937012,956.311001,
03/31/1990,963.929993,0.0,0.0,,269.063995,,,302.773987,,,,,98.424004,,,,,,670.262024,254.772995,532.189026,-277.415985,,,,,38.895,,,,,,38.895,293.667995,,64.093002,64.093002,,,66.505997,,,,,,291.432007,,,291.432007,422.031006,80.767998,,,,,34.884998,,,,34.884998,115.652996,537.684002,0.0,117.361,,,0.0,,308.88501,426.24601,,426.24601,963.930012,
06/30/1990,941.304016,9.622,9.622,,262.112,,,241.158997,,,,,181.770996,,,,,,694.664001,208.998001,451.01001,-242.011993,,,,,37.641998,,,,,,37.641998,246.639999,,57.652,57.652,,,63.599998,,,,,,310.893997,,,310.893997,432.145996,80.365997,,,,,37.307999,,,,37.307999,117.673996,549.819992,0.0,117.93,,,0.0,,273.553986,391.483986,,391.483986,941.303978,
09/28/1990,923.573975,26.184999,26.184999,,256.60199,,,222.320999,,,,,162.688995,,,,,,667.796997,214.326996,460.411987,-246.085007,,,,,41.450001,,,,,,41.450001,255.776997,,71.142998,71.142998,,,10.037,,,,,,326.66601,,,326.66601,407.846008,76.821999,,,,,38.695,,,,38.695,115.516999,523.363007,0.0,113.292999,,,0.0,,286.917999,400.210998,,400.210998,923.574005,
12/28/1990,902.356995,18.114,18.114,,244.279007,,,225.014008,,,,,158.337006,,,,,,645.744019,214.774994,467.022003,-252.246994,,,,,41.838001,,,,,,41.838001,256.612995,,59.105999,59.105999,,,15.61,,,,,,309.397008,,,309.397008,384.113007,76.75,,,,,38.695,,,,38.695,115.445,499.558006,0.0,104.684998,,,0.0,,298.114014,402.799011,,402.799011,902.357018,
03/29/1991,891.973022,37.410999,37.410999,,253.574005,,,210.882004,,,,,118.334999,,,,,,620.202026,223.367996,475.975006,-252.606995,,,,,48.403,,,,,,48.403,271.770996,,52.743999,52.743999,,,15.502,,,,,,299.863986,,,299.863986,368.109985,70.614998,,,,,38.695,,,,38.695,109.309998,477.419983,0.0,101.972,,,0.0,,312.580994,414.552994,,414.552994,891.972977,
06/28/1991,907.890015,40.41,40.41,,267.799011,,,198.289001,,,,,119.674004,,,,,,626.171997,230.009003,490.977997,-260.968994,,,,,51.709,,,,,,51.709,281.718002,,67.138,67.138,,,9.061,,,,,,303.267003,,,303.267003,379.466003,70.539001,,,,,38.695,,,,38.695,109.234001,488.700005,0.0,92.114998,,,0.0,,327.075012,419.19001,,419.19001,907.890015,
09/27/1991,884.203979,54.365002,54.365002,,266.94101,,,182.587006,,,,,90.914001,,,,,,594.807007,238.261002,507.502991,-269.242004,,,,,51.136002,,,,,,51.136002,289.397004,,59.752998,59.752998,,,9.331,,,,,,280.585008,,,280.585008,349.669006,67.966003,,,,,32.304001,,,,32.304001,100.270004,449.93901,0.0,95.649002,,,0.0,,338.615997,434.264999,,434.264999,884.204009,
01/03/1992,874.499023,49.321999,49.321999,,254.520996,,,186.744003,,,,,95.864998,,,,,,586.452026,237.535995,516.062012,-278.526001,,,,,50.511002,,,,,,50.511002,288.046997,,48.888,48.888,,,19.912001,,,,,,276.14699,,,276.14699,344.946991,67.824997,,,,,32.304001,,,,32.304001,100.128998,445.075989,0.0,84.669998,,,0.0,,344.752991,429.422989,,429.422989,874.498978,
04/03/1992,876.840027,50.449001,50.449001,,252.408997,,,191.151993,,,,,94.382004,,,,,,588.392029,239.459,521.491028,-282.032013,,,,,48.988998,,,,,,48.988998,288.447998,,41.324001,41.324001,,,16.912001,,,,,,298.993002,,,298.993002,357.229004,54.931,,,,,32.305,,,,32.305,87.236,444.465004,0.0,81.538002,,,0.0,,350.837006,432.375008,,432.375008,876.840012,
07/03/1992,887.557983,46.977001,46.977001,,265.446014,,,197.785995,,,,,92.761002,,,,,,602.969971,235.994003,526.034973,-290.040985,,,,,48.594002,,,,,,48.594002,284.588005,,42.088001,42.088001,,,37.855999,,,,,,298.721985,,,298.721985,378.665985,54.924,,,,,32.304001,,,,32.304001,87.228001,465.893986,0.0,62.34,,,0.0,,359.324005,421.664005,,421.664005,887.557991,
10/02/1992,893.03302,66.742996,66.742996,,280.483002,,,172.324005,,,,,84.782997,,,,,,604.333008,238.158997,533.258972,-295.100006,,,,,50.541,,,,,,50.541,288.699997,,57.380001,57.380001,,,10.309,,,,,,316.301996,,,316.301996,383.990997,49.708,,,,,31.291,,,,31.291,80.999,464.989997,0.0,57.263,,,0.0,,370.779999,428.042999,,428.042999,893.032996,
