Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2004,2493.199951,,-2095.699951,,397.5,,-493.700012,,,,,-96.199997,419.200001,,23.299999,-5.7,0.0,,-436.8,323.000004,-147.100006,175.899994,814.0,,,-638.100002,-0.7,-638.799988,0.0,0.0,-638.799988,-638.799988,,1384.0,-0.46,0.12,0.16,1389.900024,-0.46,0.12,0.16,
06/30/2004,2642.800049,,-1507.599976,,1135.200073,,-1163.5,,,,,-28.299999,-12.4,,20.6,-4.7,0.0,,-3.5,-40.699999,20.1,-20.6,-4.3,,,-16.299999,3.0,-13.3,0.0,0.0,-13.3,-13.3,,1384.599976,-0.01,-0.01,-0.01,1384.599976,-0.01,-0.01,-0.01,
09/30/2004,2861.899902,,-1432.5,,1429.399902,,-1512.800049,,,,,-83.400002,-1469.700049,,26.4,-22.6,0.0,,1465.900049,-1553.100051,624.299988,-928.799988,83.0,,,-1011.800063,3.2,-1008.599976,0.0,0.0,-1008.599976,-1008.599976,,1385.099976,-0.73,-0.67,-0.02,1385.099976,-0.73,-0.67,-0.02,
12/31/2004,3362.1,,-1631.3,,1730.8,,-1949.1,,,,,-218.3,-271.0,,61.6,-17.6,0.0,,227.0,-489.3,193.3,-296.0,0.1,,,-296.1,7.6,-288.5,0.0,0.0,-288.5,-288.5,,1373.81,-0.21,-0.21,0.04,1373.81,-0.21,-0.21,0.04,
03/31/2005,3147.9,,-1639.2,,1508.7,,-1542.0,,,,,-33.3,-55.8,33.2,55.3,-22.1,0.0,,22.6,-89.1,43.7,-45.4,0.0,,,-45.4,4.0,-41.4,0.0,0.0,-41.4,-41.4,13.585,1386.0,-0.03,-0.03,-0.02,1386.0,-0.03,-0.03,-0.02,
06/30/2005,3187.9,,-1533.0,,1654.9,,-1367.2,,,,,287.7,-77.2,29.2,60.2,-31.0,0.0,,48.0,210.5,-75.6,134.9,-31.3,,,166.2,-4.7,161.5,0.0,0.0,161.5,161.5,-15.53,1387.6,0.12,0.1,0.09,1393.5,0.12,0.1,0.09,
09/30/2005,3233.2,,-1623.1,,1610.1,,-1483.8,,,,,126.3,12.8,19.6,64.4,-44.8,0.0,,-32.4,139.1,-41.7,97.4,0.0,,,97.4,-2.8,94.6,0.0,0.0,94.6,94.6,-19.56,1389.1,0.07,0.07,0.05,1395.5,0.07,0.07,0.05,
12/31/2005,3595.5,,-606.1,,2989.4,,-2782.6,,,,,206.8,13.0,,57.7,-52.4,0.0,,-18.3,219.8,-99.6,120.2,0.0,,,120.2,1.0,121.2,0.0,0.0,121.2,121.2,,1388.4,0.08,0.08,0.08,1394.8,0.08,0.08,0.08,
03/31/2006,3385.6,,-1718.3,,1667.3,,-1332.2,,,,,335.1,67.1,11.5,58.7,-47.2,0.0,,-78.6,402.2,-160.7,241.5,0.0,,,241.5,-6.3,235.2,0.0,0.0,235.2,235.2,-57.0,1347.0,0.17,0.17,0.14,1352.8,0.17,0.17,0.14,
06/30/2006,3520.0,,-1725.0,,1795.0,,-1053.6,,,,,741.4,-26.1,24.3,56.6,-32.3,0.0,,1.8,715.3,-256.6,458.7,0.0,,,458.7,0.0,458.7,0.0,0.0,458.7,458.7,,1256.9,0.36,0.36,0.36,1263.8,0.36,0.36,0.36,
09/30/2006,3666.8,,-1887.0,,1779.8,,-1212.3,,,,,567.5,38.3,34.8,63.2,-28.4,0.0,,-73.1,605.8,-228.5,377.3,0.0,,,377.3,-7.1,370.2,0.0,0.0,370.2,370.2,-57.65,1220.9,0.3,0.3,0.22,1227.9,0.3,0.3,0.22,
12/31/2006,4183.1,,-2267.5,,1915.6,,-1320.5,,,,,595.1,-19.8,29.4,67.2,-37.8,0.0,,-9.6,575.3,-219.7,355.6,0.0,,,355.6,0.4,356.0,0.0,0.0,356.0,356.0,,1223.2,0.29,0.29,0.29,1231.9,0.29,0.29,0.29,
03/31/2007,3907.5,,-2001.8,,1905.7,,-1342.4,,,,,563.3,-11.6,21.4,58.1,-36.7,0.0,,-9.8,551.7,-215.0,336.7,0.0,,,336.7,-0.3,336.4,0.0,0.0,336.4,336.4,,1227.8,0.27,0.27,0.27,1235.1,0.27,0.27,0.27,
