Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,12536,100,100,0.0,519,,,266,,,,,307,,,,1192,9298,13506,-4208,268,,1778,,,,,,1778,11344,,286,286,,,,213,,,,,,1306,,,1306,1805,3879,,,,,2885,,,,2885,6764,8569,0.0,1527.0,,,-1601.0,,4041.0,3967,0.0,3967,12536,
06/30/1990,12609,110,110,0.0,503,,,247,,,,,315,,,,1175,9451,13744,-4293,264,,1719,,,,,,1719,11434,,288,288,,,,199,,,,,,1277,,,1277,1764,3900,,,,,2913,,,,2913,6813,8577,0.0,1531.0,,,-1635.0,,4136.0,4032,0.0,4032,12609,
09/30/1990,12716,124,124,0.0,561,,,241,,,,,281,,,,1207,9529,13951,-4422,251,,1729,,,,,,1729,11509,,288,288,,,,204,,,,,,1275,,,1275,1767,3866,,,,,2943,,,,2943,6809,8576,0.0,1552.0,,,-1651.0,,4239.0,4140,0.0,4140,12716,
12/31/1990,13078,169,169,0.0,545,,,243,,,,,298,,,,1255,9751,14356,-4605,146,,1926,,,,,,1926,11823,,343,343,,,,201,,,,,,1270,,,1270,1814,3883,,,,,3104,,,,3104,6987,8801,0.0,1550.0,,,-1626.0,,4353.0,4277,0.0,4277,13078,
03/31/1991,13056,65,65,0.0,556,,,241,,,,,288,,,,1150,9849,14635,-4786,148,,1909,,,,,,1909,11906,,308,308,,,,160,,,,,,1263,,,1263,1731,3948,,,,,3024,,,,3024,6972,8703,0.0,1558.0,,,-1628.0,,4423.0,4353,0.0,4353,13056,
06/30/1991,13155,140,140,0.0,501,,,224,,,,,280,,,,1145,9919,14834,-4915,167,,1924,,,,,,1924,12010,,308,308,,,,158,,,,,,1264,,,1264,1730,3921,,,,,3027,,,,3027,6948,8678,0.0,1573.0,,,-1609.0,,4513.0,4477,0.0,4477,13155,
09/30/1991,13150,128,128,0.0,491,,,237,,,,,270,,,,1126,9904,15110,-5206,178,,1942,,,,,,1942,12024,,310,310,,,,126,,,,,,1392,,,1392,1828,3988,,,,,3308,,,,3308,7296,9124,0.0,1852.0,,,-1612.0,,3786.0,4026,0.0,4026,13150,
12/31/1991,13326,144,144,0.0,516,,,222,,,,,286,,,,1168,10051,15333,-5282,187,,1920,,,,,,1920,12158,,394,394,,,,137,,,,,,1337,,,1337,1868,3913,,,,,3382,,,,3382,7295,9163,0.0,1859.0,,,-1595.0,,3899.0,4163,0.0,4163,13326,
03/31/1992,13444,94,94,0.0,510,,,237,,,,,310,,,,1151,10197,15641,-5444,195,,1901,,,,,,1901,12293,,328,328,,,,139,,,,,,1388,,,1388,1855,4032,,,,,3314,,,,3314,7346,9201,0.0,1865.0,,,-1597.0,,3975.0,4243,0.0,4243,13444,
06/30/1992,13689,114,114,0.0,581,,,233,,,,,315,,,,1243,10325,15887,-5562,198,,1923,,,,,,1923,12446,,358,358,,,,151,,,,,,1411,,,1411,1920,4078,,,,,3305,,,,3305,7383,9303,0.0,1872.0,,,-1598.0,,4112.0,4386,0.0,4386,13689,
09/30/1992,13805,102,102,0.0,580,,,238,,,,,300,,,,1220,10482,16184,-5702,194,,1909,,,,,,1909,12585,,381,381,,,,155,,,,,,1450,,,1450,1986,3943,,,,,3375,,,,3375,7318,9304,0.0,1879.0,,,-1599.0,,4221.0,4501,0.0,4501,13805,
12/31/1992,14098,245,245,0.0,575,,,244,,,,,317,,,,1381,10600,16385,-5785,187,,1930,,,,,,1930,12717,,523,523,,,,110,,,,,,1451,,,1451,2084,3989,,,,,3386,,,,3386,7375,9459,0.0,1913.0,,,-1612.0,,4338.0,4639,0.0,4639,14098,
