Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2001,215.697998,,-164.166,,51.531998,,-25.042,,,,26.49,-0.495,,0.179,,0.0,,0.316,25.995,-10.138,15.857,0.0,,,15.857,-0.618,15.239,0.0,0.0,15.239,15.239,,68.003998,0.22,0.22,0.22,68.737,0.22,0.22,0.22,
06/30/2001,227.681,,-166.744003,,60.936996,,-25.087,,,,35.849998,-0.446,,0.256,,0.0,,0.19,35.403998,-13.808,21.596001,0.0,,,21.595999,-0.327,21.268999,0.0,0.0,21.268999,21.268999,,68.267998,0.31,0.31,0.31,69.000999,0.31,0.31,0.31,
09/30/2001,217.983002,,-150.651001,,67.332001,,-24.611,,,,42.721001,-3.281,,3.664,,0.0,,-0.383,39.440001,-15.381,24.059,0.0,,,24.059001,0.0,24.059,0.0,0.0,24.059,24.059,,68.617996,0.35,0.35,0.38,69.367996,0.35,0.35,0.37,
03/31/2002,234.841995,,-179.108002,,55.733994,,-27.952999,,,,27.781,-1.794,,1.978,,0.0,,-0.184,25.987,-9.94,16.047001,0.0,,,16.047001,0.0,16.047001,0.0,,16.047001,16.047001,,68.867996,0.23,0.23,0.23,69.962997,0.23,0.23,0.23,
06/30/2002,255.369003,,-188.936005,,66.432999,,-28.115,,,,38.318001,-1.161,,1.748,,0.0,,-0.587,37.157001,-14.213,22.944,0.0,,,22.944,0.0,22.944,0.0,0.0,22.944,22.944,,69.052002,0.33,0.33,0.33,70.403999,0.33,0.33,0.33,
09/30/2002,254.505997,,-179.132004,,75.373993,,-28.718,,,,46.655998,-10.833,,1.619,,0.0,,9.214,35.822999,-13.84,21.983,0.0,,,21.982998,0.0,21.983,0.0,0.0,21.983,21.983,,68.849998,0.32,0.32,0.4,69.450996,0.32,0.32,0.4,
12/31/2002,263.251,,-184.594,,78.657,,-27.233,27.233,,0.0,51.424,-4.443,1.775,1.775,,0.0,,2.668,46.981,-17.971,29.01,0.0,,,29.01,0.0,29.01,0.0,0.0,29.01,29.01,1.769,66.3,0.44,0.44,0.47,66.592,0.44,0.44,0.47,
03/31/2003,240.169006,,-176.057007,,64.112,,-30.516001,,,,33.596001,-14.166,,1.681,,0.0,,12.485,19.430001,-7.238,12.192,0.0,,,12.192001,0.0,12.192,0.0,,12.192,12.192,,65.839996,0.19,0.19,0.31,66.202003,0.18,0.18,0.3,
06/30/2003,247.391998,,-180.977005,,66.414993,,-29.450001,,,,36.965,-0.363,,1.628,,0.0,,-1.265,36.602,-13.634,22.968,0.0,,,22.968,0.0,22.968,0.0,,22.968,22.968,,65.536003,0.35,0.35,0.35,66.077003,0.35,0.35,0.35,
09/30/2003,231.951996,,-162.244003,,69.707993,,-27.922001,,,,41.785999,-1.571,,2.045,,0.0,,-0.474,40.214999,-14.98,25.235001,-1.09,,,26.325,0.0,26.325001,0.0,,26.325001,26.325001,,65.018997,0.4,0.39,0.39,65.82,0.4,0.38,0.38,
12/31/2003,272.112,,-193.472,,78.639999,,-26.121,,,,52.519001,-1.714,,2.596,,0.0,,-0.882,50.805001,-18.552999,32.251999,1.335,,,30.917002,0.0,30.917,0.0,,30.917,30.917,,64.000999,0.48,0.5,0.5,65.013,0.48,0.5,0.5,
03/31/2004,239.339996,,-177.240005,,62.099991,,-32.130001,,,,29.969999,-2.756,2.976,2.976,,0.0,,-0.22,27.213999,-10.363,16.851,-1.272,,,18.122999,0.0,18.122999,0.0,0.0,18.122999,18.122999,,63.676998,0.28,0.26,0.26,64.642998,0.28,0.26,0.26,
06/30/2004,255.664001,,-184.537003,,71.126999,,-33.683998,,,,37.443001,-3.068,,3.153,,0.0,,-0.085,34.375001,-13.092,21.283001,-1.536,,,22.819001,0.0,22.819,0.0,0.0,22.819,22.819,,63.083,0.36,0.34,0.34,64.272003,0.36,0.33,0.33,
09/30/2004,262.660004,,-186.516006,,76.143997,,-31.504999,,,,44.639,-2.965,3.259,3.259,,0.0,,-0.294,41.674,-15.733,25.941,-1.325,,,27.266,0.0,27.266001,0.0,0.0,27.266001,27.266001,,62.588001,0.44,0.41,0.41,63.848999,0.43,0.41,0.41,
12/31/2004,281.842,,-193.038,,88.804,,-32.36,,,,56.444,-2.918,,3.526,,0.0,,-0.608,53.526,-19.923,33.603,-1.801,,,35.404,0.0,35.404,0.0,0.0,35.404,35.404,,61.935,0.6,0.57,0.57,62.966,0.59,0.56,0.56,
03/31/2005,651.58,,-430.075,,221.505,,-134.492,,,,87.013,-12.718,10.659,13.421,-2.762,0.0,,2.059,74.295,-28.054,46.241,0.0,,,46.241,-1.645,44.596,0.0,0.0,44.596,44.596,,127.92,0.35,0.35,0.35,127.92,0.35,0.35,0.35,
06/30/2005,708.713013,,-453.503998,,255.209015,,-137.621002,,,,117.587997,-35.023,36.113998,36.388,-0.274,0.0,,-1.091,82.564997,-31.379999,51.185001,0.0,,,51.184998,-2.609,48.576,0.0,0.0,48.576,48.576,,127.919998,0.38,0.38,0.38,127.919998,0.38,0.38,0.38,
