Date,Net Revenue,Net Interest Income,Total Interest Income,Interest Income,Investment Income,Total Interest Expense,Total Non-Interest Income,Trading Securities G/L,Trading Account Profits/Losses,Investments & Loans Income (Loss),Other Income (Loss),Commissions & Fees Earned,Other Operating Income (Losses),Provision for Loan Losses,Net Revenue after Provisions,Total Non-Interest Expense,Commissions & Fees Paid,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Other Non-Operating (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,Extraordinary & Accounting Items,Income (Loss) incl. Minority Interest,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/30/1990,1583.445923,325.731934,1406.720947,0.0,1406.720947,-1080.989014,1257.713989,349.040985,,,,783.078003,125.595001,0.0,1583.445923,-1515.732971,55.960999,1459.771973,67.712997,0.0,0.0,67.712997,-26.407,41.306,0.0,,,41.305998,0,41.306,-4.936,,36.37,36.37,,852.736023,0.0425,0.0425,,852.736023,0.0425,0.0425,0.0425,
06/29/1990,1678.345062,289.868042,1480.050049,0.0,1480.050049,-1190.182007,1388.47702,350.914001,,,,891.489014,146.074005,0.0,1678.345062,-1556.802025,56.849998,1499.952026,121.542999,0.0,0.0,121.542999,-47.403,74.139999,0.0,,,74.139999,0,74.139999,-6.295,,67.844999,67.844999,,854.096008,0.08,0.08,,854.096008,0.08,0.08,0.08,
09/28/1990,1635.505966,283.386963,1516.719971,0.0,1516.719971,-1233.333008,1352.119003,396.686005,,,,833.440002,121.992996,0.0,1635.505966,-1559.967014,60.577,1499.390015,75.539001,0.0,0.0,75.539001,-29.459999,46.078999,0.0,,,46.079002,0,46.078999,-6.065,,40.013999,40.013999,,845.632019,0.0475,0.0475,,845.632019,0.0475,0.0475,0.0475,
12/28/1990,1568.328949,275.466919,1518.698975,0.0,1518.698975,-1243.232056,1292.86203,344.790009,,,,758.887024,189.184998,0.0,1568.328949,-1550.79599,63.306,1487.48999,17.533001,0.0,0.0,17.533001,12.798,30.330999,0.0,,,30.331001,0,30.330999,-6.624,,23.706999,23.706999,,824.400024,0.02875,0.02875,,844.208008,0.19875,0.19875,0.19875,
03/29/1991,1966.688004,311.51001,1490.97998,0.0,1490.97998,-1179.469971,1655.177994,549.567993,,,,951.893005,153.716995,0.0,1966.688004,-1702.174004,60.668999,1641.505005,264.514008,0.0,0.0,264.514008,-83.543999,180.970001,0.0,,,180.970009,0,180.970001,-5.691,,175.279001,175.279001,,864.952026,0.2025,0.2025,,864.952026,0.2025,0.2025,0.2025,
06/28/1991,1807.755951,157.098022,1413.203003,0.0,1413.203003,-1256.10498,1650.657928,463.398987,,,,1035.012939,152.246002,0.0,1807.755951,-1538.399986,64.139,1474.260986,269.355988,0.0,0.0,269.355988,-85.052002,184.304001,0.0,,,184.303986,0,184.304001,-4.41,,179.894001,179.894001,,909.687988,0.1975,0.1975,,909.687988,0.1975,0.1975,0.1975,
09/27/1991,1782.756027,154.578003,1409.329956,0.0,1409.329956,-1254.751953,1628.178024,484.269012,,,,1003.794006,140.115005,0.0,1782.756027,-1548.672043,63.528,1485.144043,234.084,0.0,0.0,234.084,-73.924004,160.160004,0.0,,,160.159996,0,160.160004,-4.068,,156.092004,156.092004,,912.151978,0.17125,0.17125,,912.151978,0.17125,0.17125,0.17125,
12/27/1991,1699.300995,31.531006,1447.547974,0.0,1447.547974,-1416.016968,1667.769989,396.489014,,,,1096.896973,174.384003,0.0,1699.300995,-1449.836979,61.507999,1388.328979,249.464005,0.0,0.0,249.464005,-78.780998,170.682999,0.0,,,170.683006,0,170.682999,-3.911,,166.771999,166.771999,,918.799988,0.1825,0.1825,,918.799988,0.1825,0.1825,0.1825,
03/27/1992,2222.385101,198.752075,1390.64502,0.0,1390.64502,-1191.892944,2023.633026,573.992004,,,,1266.478027,183.162994,0.0,2222.385101,-1746.443985,67.380997,1679.062988,475.94101,0.0,0.0,475.94101,-199.895996,276.045013,58.580002,,,217.465012,0,217.464996,-1.874,,215.590996,215.590996,,924.343994,0.2325,0.2975,,924.343994,0.2325,0.2975,0.2975,
06/26/1992,2129.977982,233.740967,1460.088013,0.0,1460.088013,-1226.347046,1896.237015,551.767029,,,,1184.942993,159.526993,0.0,2129.977982,-1739.926956,71.847,1668.079956,390.050995,0.0,0.0,390.050995,-163.820999,226.229996,0.0,,,226.229996,0,226.229996,-1.658,,224.571996,224.571996,,911.711975,0.2475,0.2475,,911.711975,0.2475,0.2475,0.2475,
