Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,1008.745972,294.835999,294.835999,0.0,176.503998,,,254.410995,,,,,35.366001,,,,761.117004,238.412003,452.981995,-214.570007,0.0,9.217,,,,,9.217,247.629003,,34.771,34.771,,,,26.268999,,,,,,95.961008,,,,95.961008,157.001007,0.0,,,,,65.997002,,,65.997002,65.997002,222.998009,0.0,157.376999,,,,,628.370972,785.747971,0.0,785.747971,1008.745979,
06/30/1990,1051.744019,305.088989,305.088989,0.0,191.787994,,,260.79599,,,,,40.528,,,,798.200989,244.117004,468.766998,-224.649994,0.0,9.426,,,,,9.426,253.543004,,36.999001,36.999001,,,,20.830999,,,,,,99.365999,,,,99.365999,157.195999,0.0,,,,,68.796997,,,68.796997,68.796997,225.992996,0.0,158.347,,,,,667.403992,825.750992,0.0,825.750992,1051.743988,
09/30/1990,1101.337036,327.773987,327.773987,0.0,186.600006,,,275.044006,,,,,47.381001,,,,836.799011,254.938995,493.894989,-238.955994,0.0,9.599,,,,,9.599,264.537995,,32.078999,32.078999,,,,14.096,,,,,,104.666005,,,,104.666005,150.841003,0.0,,,,,76.272003,,,76.272003,76.272003,227.113007,0.0,159.225998,,,,,714.997986,874.223984,0.0,874.223984,1101.33699,
12/31/1990,1129.39502,376.229995,128.468002,247.761993,157.177002,,,278.492004,,,,,40.994999,,,,852.893982,266.859985,516.624023,-249.764008,0.0,9.641,,,,,9.641,276.500985,,32.196999,32.196999,,,,12.233,,,,,,113.514001,,,,113.514001,157.944,0.0,,,,,73.258003,,,73.258003,73.258003,231.202003,0.0,160.028,,,-0.046,,738.210978,898.192978,0.0,898.192978,1129.394981,
03/31/1991,1112.185059,351.416,128.964005,222.451996,183.199997,,,266.985992,,,,,46.477001,,,,848.078979,254.811996,497.239014,-242.427002,0.0,9.294,,,,,9.294,264.105996,,38.131001,38.131001,,,,15.773,,,,,,116.631995,,,,116.631995,170.535995,0.0,,,,,68.593002,,,68.593002,68.593002,239.128998,0.0,161.735992,,,-0.262,,711.582007,873.056,0.0,873.056,1112.184998,
06/30/1991,1114.245972,356.850998,123.069,233.781998,189.378998,,,260.453003,,,,,42.449001,,,,849.132019,255.117996,496.86499,-241.746994,0.0,9.996,,,,,9.996,265.113997,,32.529999,32.529999,,,,18.349001,,,,,,118.272993,,,,118.272993,169.151993,0.0,,,,,67.887001,,,67.887001,67.887001,237.038994,0.0,162.992996,,,-0.262,,714.475989,877.206985,0.0,877.206985,1114.245979,
09/30/1991,1172.088013,378.623993,132.973999,245.649994,194.391006,,,274.727997,,,,,44.171001,,,,891.914001,270.14801,525.789978,-255.641998,0.0,10.026,,,,,10.026,280.17401,,34.604,34.604,,,,15.477,,,,,,128.357995,,,,128.357995,178.438995,0.0,,,,,71.938004,,,71.938004,71.938004,250.376999,0.0,163.554993,,,-0.232,,758.388006,921.710999,0.0,921.710999,1172.087997,
12/31/1991,1217.371948,410.001007,133.975006,276.026001,165.149002,,,290.264008,,,,,52.319,,,,917.732971,289.561005,563.09198,-273.531006,0.0,10.078,,,,,10.078,299.639005,,36.709,36.709,,,,15.307,,,,,,128.784003,,,,128.784003,180.800003,0.0,,,,,76.510002,,,76.510002,76.510002,257.310005,0.0,164.304993,,,-9.443,,805.200019,960.062012,0.0,960.062012,1217.372017,
04/01/1992,1224.852051,393.583008,112.944,280.639008,199.238998,,,283.005005,,,,,50.883999,,,,926.710999,281.447998,552.400024,-270.951996,0.0,16.693001,,,,,16.693001,298.140999,,41.346001,41.346001,,,,14.821,,,,,,136.066001,,,,136.066001,192.233002,0.0,,,,,76.370003,,,76.370003,76.370003,268.603004,0.0,165.322998,,,-0.713,,791.639025,956.249023,0.0,956.249023,1224.852028,
07/01/1992,1306.639038,409.839005,154.449997,255.389008,225.302994,,,296.733002,,,,,63.349998,,,,995.224976,295.115997,583.231018,-288.11499,0.0,16.298,,,,,16.298,311.413998,,44.063,44.063,,,,17.851,,,,,,144.459002,,,,144.459002,206.373001,0.0,,,,,80.317001,,,80.317001,80.317001,286.690002,0.0,165.895004,,,-0.767,,854.821016,1019.94902,0.0,1019.94902,1306.639023,
