Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
08/31/1989,28.528999,,,-9.872,,18.657,,-14.662,,,,3.995,0.286,,0.048,,,0.0,,-0.334,4.281,-1.584,2.697,0.0,,,2.697,0.0,2.697,0.0,,2.697,2.697,,333.919027,0.008194,0.008194,,333.919027,0.008194,0.008194,0.008194,
11/30/1989,29.455,,,-10.717,,18.738,,-14.717,,,,4.021,0.276,,0.046,,,0.0,,-0.322,4.297,-1.573,2.724,0.0,,,2.724,0.0,2.724,0.0,,2.724,2.724,,334.149682,0.008194,0.008194,,334.149682,0.008194,0.008194,0.008194,
02/28/1990,31.003,,,-12.659,,18.344,,-16.634001,,,,1.71,0.281,,0.041,,,0.0,,-0.322,1.991,-0.648,1.343,0.0,,,1.343,0.0,1.343,0.0,,1.343,1.343,,334.226576,0.003902,0.003902,,334.226576,0.003902,0.003902,0.003902,
05/31/1990,31.212999,,,-11.783,,19.429999,,-17.028999,,,,2.401,0.238,,0.046,,,0.0,,-0.284,2.639,-0.837,1.802,0.0,,,1.802,0.0,1.802,0.0,,1.802,1.802,,334.341891,0.005463,0.005463,,334.341891,0.005463,0.005463,0.005463,
08/30/1990,33.067001,,,-11.796,,21.271002,,-17.138,,,,4.133,0.217,,0.053,,,0.0,,-0.27,4.35,-1.479,2.871,0.0,,,2.871,0.0,2.871,0.0,,2.871,2.871,,334.431592,0.008584,0.008584,,334.431592,0.008584,0.008584,0.008584,
11/30/1990,33.480999,,,-11.827,,21.653999,,-17.6,,,,4.054,0.197,,0.059,,,0.0,,-0.256,4.251,-1.402,2.849,0.0,,,2.849,0.0,2.849,0.0,,2.849,2.849,,334.534125,0.008584,0.008584,,334.534125,0.008584,0.008584,0.008584,
02/28/1991,35.255001,,,-13.734,,21.521001,,-19.002001,,,,2.519,0.188,,0.047,,,0.0,,-0.235,2.707,-0.85,1.857,0.0,,,1.857,0.0,1.857,0.0,,1.857,1.857,,334.662248,0.005463,0.005463,,334.662248,0.005463,0.005463,0.005463,
05/31/1991,35.278,,,-12.625,,22.653,,-20.076,,,,2.577,0.163,,0.059,,,0.0,,-0.222,2.74,-0.694,2.046,0.0,,,2.046,0.0,2.046,0.0,,2.046,2.046,,334.816035,0.006243,0.006243,,334.816035,0.006243,0.006243,0.006243,
08/31/1991,38.021,,,-12.507,,25.514,,-20.778999,,,,4.735,0.145,,0.044,,,0.0,,-0.189,4.88,-1.488,3.392,0.0,,,3.392,0.0,3.392,0.0,,3.392,3.392,,334.995436,0.010145,0.010145,,334.995436,0.010145,0.010145,0.010145,
11/30/1991,39.183998,,,-12.573,,26.610998,,-21.341,,,,5.27,0.191,,0.031,,,0.0,,-0.222,5.461,-1.666,3.795,0.0,,,3.795,0.0,3.795,0.0,,3.795,3.795,,335.636149,0.011315,0.011315,,335.636149,0.011315,0.011315,0.011315,
02/29/1992,41.683998,,,-14.609,,27.074998,,-22.989,,,,4.086,0.174,,0.031,,,0.0,,-0.205,4.26,-1.226,3.034,0.0,,,3.034,0.0,3.034,0.0,,3.034,3.034,,336.738198,0.008974,0.008974,,336.738198,0.008974,0.008974,0.008974,
05/31/1992,42.382999,,,-13.554,,28.829,,-24.103001,,,,4.726,0.22,,0.031,,,0.0,,-0.251,4.946,-1.465,3.481,0.0,,,3.481,0.0,3.481,0.0,,3.481,3.481,,337.566867,0.010535,0.010535,,337.566867,0.010535,0.010535,0.010535,
08/31/1992,45.277,,,-13.966,,31.311001,,-24.334,,,,6.977,0.256,,0.026,,,0.0,,-0.282,7.233,-2.134,5.099,0.0,,,5.099,0.0,5.099,0.0,,5.099,5.099,,337.874408,0.015217,0.015217,,337.874408,0.015217,0.015217,0.015217,
11/30/1992,45.747002,,,-14.454,,31.293001,,-24.278,,,,7.015,0.301,,0.034,,,0.0,,-0.335,7.316,-2.158,5.158,0.0,,,5.158,0.0,5.158,0.0,,5.158,5.158,,338.421151,0.015217,0.015217,,338.421151,0.015217,0.015217,0.015217,
02/28/1993,48.633999,,,-16.568001,,32.065998,,-26.172001,,,,5.894,0.308,,0.023,,,0.0,,-0.331,6.202,-1.789,4.413,0.0,,,4.413,0.0,4.413,0.0,,4.413,4.413,,338.950817,0.012876,0.012876,,338.950817,0.012876,0.012876,0.012876,
05/31/1993,50.374001,,,-15.725,,34.649,,-27.878,,,,6.771,0.505,,0.033,,,0.0,,-0.538,7.276,-1.991,5.285,0.0,,,5.285,0.0,5.285,0.0,,5.285,5.285,,339.360882,0.015802,0.015802,,339.360882,0.015802,0.015802,0.015802,
08/31/1993,53.330002,,,-16.226999,,37.103003,,-28.044001,,,,9.059,0.433,,0.036,,,0.0,,-0.469,9.492,-2.573,6.919,0.0,,,6.919,0.0,6.919,0.0,,6.919,6.919,,339.531756,0.020192,0.020192,,339.531756,0.020192,0.020192,0.020192,
11/30/1993,54.310001,,,-16.448,,37.862001,,-28.224001,,,,9.638,0.51,,0.021,,,0.0,,-0.531,10.148,-3.045,7.103,0.0,,,7.102999,0.0,7.103,0.0,,7.103,7.103,,339.953195,0.02107,0.02107,,339.953195,0.02107,0.02107,0.02107,
02/28/1994,57.571999,,,-17.958,,39.613998,,-30.98,,,,8.634,0.699,,0.034,,,0.0,,-0.733,9.333,-2.684,6.649,0.0,,,6.649,0.0,6.649,0.0,,6.649,6.649,,340.374656,0.019314,0.019314,,340.374656,0.019314,0.019314,0.019314,
05/31/1994,58.84,,,-17.448999,,41.391001,,-31.938999,,,,9.452,0.561,,0.016,,,0.0,,-0.577,10.013,-2.614,7.399,0.0,,,7.399,0.0,7.399,0.0,,7.399,7.399,,340.613858,0.021948,0.021948,,340.613858,0.021948,0.021948,0.021948,
08/31/1994,62.923,,,-17.65,,45.273001,,-32.370998,,,,12.902,0.665,,0.041,,,0.0,,-0.706,13.567,-4.016,9.551,0.0,,,9.551001,0.0,9.551,0.0,,9.551,9.551,,340.704976,0.028093,0.028093,,340.704976,0.028093,0.028093,0.028093,
11/30/1994,63.765999,,,-18.399,,45.366999,,-32.443001,,,,12.924,0.766,,0.022,,,0.0,,-0.788,13.69,-4.052,9.638,0.0,,,9.638,0.0,9.638,0.0,,9.638,9.638,,340.830291,0.028093,0.028093,,340.830291,0.028093,0.028093,0.028093,
02/28/1995,68.638,,,-21.309,,47.329,,-35.349998,,,,11.979,0.901,,0.105,,,0.0,,-1.006,12.88,-3.532,9.348,0.0,,,9.348,0.0,9.348,0.0,,9.348,9.348,,341.263115,0.027215,0.027215,,341.263115,0.027215,0.027215,0.027215,
05/31/1995,71.848999,,,-21.253,,50.595999,,-37.389999,,,,13.206,1.03,,0.004,,,0.0,,-1.034,14.236,-3.733,10.503,0.0,,,10.503,0.0,10.503,0.0,,10.503,10.503,,341.794675,0.030288,0.030288,,341.794675,0.030288,0.030288,0.030288,
08/31/1995,123.487,,,-69.002998,,54.484002,,-38.201,,,,16.283001,1.386,,0.0,,,0.0,,-1.386,17.669001,-4.888,12.781,0.0,,,12.781001,0.0,12.781,0.0,,12.781,12.781,,361.249867,0.015802,0.015802,0.015802,361.249867,0.015802,0.015802,0.015802,
11/30/1995,129.910995,,,-74.632004,,55.278991,,-38.199001,,,,17.08,1.465,,0.0,,,0.0,,-1.465,18.545,-5.07,13.475,0.0,,,13.475,0.0,13.475,0.0,,13.475,13.475,,540.712984,0.025021,0.025021,0.025021,540.712984,0.025021,0.025021,0.025021,
02/29/1996,153.475006,,,-66.309998,,87.165008,,-70.056999,,,,17.108,1.447,,0.0,,,0.0,,-1.447,18.555,-4.766,13.789,0.0,,,13.789,0.0,13.789,0.0,,13.789,13.789,,346.578742,0.017119,0.017119,0.017119,346.578742,0.017119,0.017119,0.017119,
05/31/1996,159.570007,,,-124.425003,,35.145004,,-15.694,,,,19.451,1.169,,0.0,,,0.0,,-1.169,20.62,-5.63,14.99,0.0,,,14.99,0.0,14.99,0.0,,14.99,14.99,,347.28749,0.027654,0.027654,0.027654,347.28749,0.027654,0.027654,0.027654,
08/31/1996,166.042007,,,-101.333,,64.709007,,-42.612,,,,22.097,1.485,,0.0,,,0.0,,-1.485,23.582,-6.509,17.073,0.0,,,17.073,0.0,17.073,0.0,,17.073,17.073,,362.743313,0.047407,0.047407,0.047407,375.78939,0.045432,0.045432,0.045432,
11/30/1996,169.498993,,,-102.292,,67.206993,,-43.858002,,,,23.349001,1.745,,0.0,,,0.0,,-1.745,25.094001,-7.026,18.068001,0.0,,,18.068001,0.0,18.068001,0.0,,18.068001,18.068001,,363.629265,0.049383,0.049383,0.049383,365.877015,0.049383,0.049383,0.049383,
02/28/1997,195.561996,,,-89.208,,106.353996,,-81.332001,,,,25.021999,1.764,,0.0,,,0.0,,-1.764,26.785999,-7.5,19.285999,0.0,,,19.285999,0.0,19.285999,0.0,,19.285999,19.285999,,365.66439,0.053333,0.053333,0.053333,369.521985,0.053333,0.053333,0.053333,
05/31/1997,203.595993,,,-157.167007,,46.428986,,-20.271999,,,,26.157,2.037,,0.0,,,0.0,,-2.037,28.194,-7.471,20.723,0.0,,,20.723,0.0,20.723,0.0,,20.723,20.723,,366.143625,0.056296,0.056296,0.056296,366.143625,0.056296,0.056296,0.056296,
08/31/1997,112.946999,,,-30.306,,82.640999,,-52.284,,,,30.357,2.188,,0.0,,,0.0,,-2.188,32.545,-9.471,23.073999,0.0,,,23.074,0.0,23.073999,0.0,,23.073999,23.073999,,366.400139,0.062222,0.062222,0.062222,369.994493,0.062222,0.062222,0.062222,
11/30/1997,117.172997,,,-31.891001,,85.281996,,-52.709999,,,,32.571999,2.291,,0.0,,,0.0,,-2.291,34.862999,-10.145,24.718,0.0,,,24.717999,0.0,24.718,0.0,,24.718,24.718,,366.656625,0.068148,0.068148,0.068148,370.129497,0.068148,0.068148,0.068148,
02/28/1998,131.873001,,,-35.347,,96.526001,,-61.674,,,,34.852001,2.349,,0.0,,,0.0,,-2.349,37.201001,-10.825,26.375999,0.0,,,26.376001,0.0,26.375999,0.0,,26.375999,26.375999,,366.926632,0.071111,0.071111,0.071111,371.22976,0.071111,0.071111,0.071111,
05/31/1998,268.286,,,-34.187,,234.099,,-60.605,,,,36.918,2.646,,0.0,,,0.0,,-2.646,39.564,-11.513,28.051,0.0,,,28.051,0.0,28.051,0.0,,28.051,28.051,,367.114507,0.075556,0.075556,0.075556,371.983509,0.075556,0.075556,0.075556,
08/31/1998,139.289001,,,-35.884998,,103.404003,,-61.761002,,,,41.643002,2.961,,0.0,,,0.0,,-2.961,44.604002,-13.203,31.400999,0.0,,,31.401002,0.0,31.400999,0.0,,31.400999,31.400999,,367.373234,0.084444,0.084444,0.084444,372.431236,0.084444,0.084444,0.084444,
11/30/1998,142.947998,,,-36.862999,,106.084999,,-61.089001,,,,44.995998,3.006,,0.0,,,0.0,,-3.006,48.001998,-14.394,33.608002,0.0,,,33.607998,0.0,33.608002,0.0,,33.608002,33.608002,,367.942498,0.093333,0.093333,0.093333,373.196261,0.093333,0.093333,0.093333,
02/28/1999,158.423004,,,-40.988998,,117.434006,,-109.93,,,,48.493,3.073,,0.0,,,0.0,,-3.073,51.566,-15.366,36.200001,0.0,,,36.2,0.0,36.200001,0.0,,36.200001,36.200001,,368.538746,0.097778,0.097778,0.097778,373.400986,0.097778,0.097778,0.097778,
05/31/1999,156.636002,,,-38.219002,,118.417,,-24.997999,,,,52.43,3.541,,0.0,,,0.0,,-3.541,55.971,-18.080999,37.889999,0.0,,,37.890001,0.0,37.889999,0.0,,37.889999,37.889999,,369.2295,0.1,0.1,0.1,373.654495,0.1,0.1,0.1,
08/31/1999,166.391998,,,-39.366001,,127.025997,,-68.342003,,,,58.683998,3.688,,0.0,,,0.0,,-3.688,62.371998,-19.334999,43.036999,0.0,,,43.036999,0.0,43.036999,0.0,,43.036999,43.036999,,369.626999,0.113333,0.113333,0.113333,373.494003,0.113333,0.113333,0.113333,
11/30/1999,172.358002,,,-41.355999,,131.002003,,-68.494003,,,,62.507999,3.854,,0.0,,,0.0,,-3.854,66.361999,-20.572001,45.790001,0.0,,,45.789998,0.0,45.790001,0.0,,45.790001,45.790001,,370.258507,0.126667,0.126667,0.126667,374.716507,0.12,0.12,0.12,
02/29/2000,192.182999,,,-45.964001,,146.218998,,-78.316002,,,,67.903,4.012,,0.0,,,0.0,,-4.012,71.915,-22.294001,49.620998,0.0,,,49.620999,0.0,49.620998,0.0,,49.620998,49.620998,,370.972503,0.133333,0.133333,0.133333,377.722503,0.133333,0.133333,0.133333,
05/31/2000,197.186005,,,-46.794998,,150.391007,,-80.593002,,,,69.797997,4.925,,0.0,0.0,,0.0,,-4.925,74.722997,-23.164,51.558998,0.0,,,51.558997,0.0,51.558998,0.0,0.0,51.558998,51.558998,,371.575989,0.14,0.14,0.14,376.407013,0.14,0.14,0.14,
08/31/2000,203.882996,,,-45.926998,,157.955998,,-79.129997,,,,78.825996,5.534,,0.0,,,0.0,,-5.534,84.359996,-25.73,58.630001,0.0,,,58.629996,0.0,58.630001,0.0,0.0,58.630001,58.630001,,372.015015,0.16,0.16,0.16,377.165009,0.16,0.16,0.16,
