Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Interest,Source: Bloomberg
03/31/1990,70.800003,150.399994,28.700001,1.0,,1.0,-109.300003,,,,-109.300003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,31.799999,144.100006,30.799999,-22.0,,-22.0,-121.099998,,,,-121.099998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,378.600006,140.0,29.1,45.099998,,45.099998,164.399994,,,,164.399994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,123.199997,130.600006,33.299999,-6.9,,-6.9,-33.799999,,,,-33.799999,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.199997,,
03/31/1991,142.800003,173.199997,31.200001,-1.1,,-1.1,-60.5,,,,-60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,101.599998,167.399994,31.4,6.8,,6.8,-104.0,,,,-104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,479.0,156.0,33.0,-3.8,,-3.8,293.799988,,,,293.799988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,171.600006,149.0,37.299999,24.5,,24.5,-39.200001,,,,-39.200001,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.600006,,
03/31/1992,164.300003,193.300003,45.299999,-1.8,,-1.8,-72.5,,,,-72.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,108.599998,184.899994,34.200001,20.799999,,20.799999,-131.300003,,,,-131.300003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,355.600006,174.5,35.099998,-89.300003,,-89.300003,235.300003,,,,235.300003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,78.5,167.699997,20.4,125.599998,,125.599998,-235.199997,,,,-235.199997,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.5,,
03/31/1993,100.400002,129.300003,33.099998,-25.700001,,-25.700001,-36.299999,,,,-36.299999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,121.099998,213.199997,36.700001,12.0,,12.0,-140.800003,,,,-140.800003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,390.100006,199.399994,36.099998,29.799999,,29.799999,124.800003,,,,124.800003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,350.5,188.899994,36.5,-24.9,,-24.9,150.0,,,,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.5,,
03/31/1994,142.199997,253.199997,38.299999,-1.7,,-1.7,-147.600006,,,,-147.600006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,274.0,240.699997,32.900002,-0.3,,-0.3,0.7,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,421.700012,224.300003,36.0,-0.1,,-0.1,161.5,,,,161.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,426.399994,203.800003,37.400002,107.0,,107.0,78.199997,,,,78.199997,,,,,,,,,,,,,,,,,,,,,,,,,,,,426.399994,,
03/31/1995,106.699997,278.600006,39.400002,-20.4,,-20.4,-190.899994,,,,-190.899994,,,-47.900002,,,,-47.900002,,,,,,,,,,47.900002,,,,,,,,,,,,,
06/30/1995,286.299988,116.0,36.099998,133.0,,133.0,1.2,,,,1.2,,,-54.599998,,,,-54.599998,,,,,,,,,,54.599998,,,,,,,,,,,,,
09/30/1995,609.700012,252.600006,41.299999,-3.9,,-3.9,319.700012,,,,319.700012,,,-63.900002,,,,-63.900002,,,,,,,,,,63.900002,,,,,,,,,,,,,
12/31/1995,467.200012,239.399994,37.0,148.399994,,148.399994,42.400002,,,,42.400002,,-126.199997,-126.199997,,,,-126.199997,,,,,,,,,,0.0,,,,,,,,,,,341.000015,,
03/31/1996,282.899994,326.600006,42.299999,2.3,,2.3,-88.300003,,,,-88.300003,,,-48.900002,,,,-48.900002,,,,,,,,,,48.900002,,,,,,,,,,,,,
06/30/1996,393.200012,317.100006,41.900002,-19.4,,-19.4,53.599998,,,,53.599998,,,-77.0,,,,-77.0,,,,,,,,,,77.0,,,,,,,,,,,,,
09/30/1996,353.899994,291.700012,42.900002,11.8,,11.8,7.5,,,,7.5,,,-82.099998,,,,-82.099998,,,,,,,,,,82.099998,,,,,,,,,,,,,
12/31/1996,428.5,277.399994,46.099998,5.3,,5.3,99.699997,,,,99.699997,,-116.5,-116.5,,,,-116.5,,,,,,,,,,0.0,,,,,,,,,,,312.0,,
03/31/1997,189.0,375.299988,46.599998,0.0,,0.0,-232.899994,,,,-232.899994,,-65.900002,-60.099998,0.0,,,-60.099998,,,0.0,0.0,0.0,,,,,-5.800003,98.900002,-120.5,205.800003,,,-2.7,0.0,-2.7,16.299999,,222.0,,
06/30/1997,530.599976,373.100006,48.799999,0.0,,0.0,108.699997,,,,108.699997,,-432.799988,-66.599998,0.0,,,-66.599998,,,0.0,0.0,0.0,,,,,-366.199989,-155.699999,-139.199997,-41.900002,,,0.1,0.0,0.1,25.299999,,-57.900002,,
09/30/1997,642.400024,353.0,61.599998,0.0,,0.0,227.800003,,,,227.800003,,-154.300003,-94.300003,0.0,,,-94.300003,,,0.0,0.0,0.0,,,,,-60.0,-455.199996,-140.300003,-266.899994,,,-53.299999,0.0,-53.299999,5.3,,32.900002,,
12/31/1997,483.0,343.0,43.0,0.0,,0.0,97.0,,,,97.0,,-155.0,-152.0,0.0,,,-152.0,,,0.0,0.0,0.0,,,,,-3.0,-346.0,-142.0,-190.0,,,-76.099998,0.0,-76.099998,62.099998,,-18.0,,
03/31/1998,322.0,450.0,56.0,0.0,,0.0,-184.0,,,,-184.0,,-71.0,-41.0,0.0,,,-41.0,,,0.0,0.0,0.0,,,,,-30.0,-343.0,-140.0,-128.0,,,-34.0,0.0,-34.0,-41.0,,-92.0,,
06/30/1998,519.0,455.0,58.0,0.0,,0.0,6.0,,,,6.0,,-127.0,-86.0,0.0,,,-86.0,,,0.0,0.0,0.0,,,,,-41.0,-307.0,-162.0,-128.0,,,-51.0,0.0,-51.0,34.0,,85.0,,
