Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
05/05/2007,814.4,,,,,,,,,,,,,,,,,,,,,,,,32.5,,,32.5,32.5,,851.75,0.038,0.038,,856.8,0.038,,,
07/30/2007,787.4,,,,,,,,,,,,,,,,,,,,,,,,36.7,,,36.7,36.7,,851.2,0.044,0.044,,855.05,0.042,,,
11/03/2007,678.7,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,1.6,1.6,,851.8,0.002,0.002,,853.5,0.002,,,
05/03/2008,822.5,822.5,-770.7,770.7,51.8,0.0,-8.0,37.4,,-29.4,43.8,-5.2,5.2,7.5,-2.3,0.0,38.6,-13.9,24.7,0.0,0.0,0.0,24.7,0.0,24.7,0.0,0.0,24.7,24.7,0.0,85.195,0.28,0.28,0.28,85.22,0.28,0.28,0.28,
08/02/2008,768.9,768.9,-519.8,519.8,249.1,0.0,-211.6,240.4,,-28.8,37.5,-6.9,6.9,7.7,-0.8,0.0,30.6,-10.9,19.7,0.0,0.0,0.0,19.7,0.0,19.7,0.0,0.0,19.7,26.525,6.825,85.2,0.24,0.24,0.311326,85.24,0.24,0.24,0.311326,
11/01/2008,629.3,629.3,-454.5,454.5,174.8,0.0,-189.0,217.3,,-28.3,-14.2,-9.4,9.4,10.0,-0.6,0.0,-23.6,8.5,-15.1,0.0,0.0,0.0,-15.1,0.0,-15.1,0.0,0.0,-15.1,-34.9,-19.8,85.2,-0.18,-0.18,-0.409624,85.5,-0.18,-0.18,-0.411579,
01/31/2009,1123.6,1123.6,-745.1,745.1,378.5,0.0,-745.0,260.3,,484.7,-366.5,-7.1,7.1,7.6,-0.5,0.0,-373.6,-50.4,-424.0,0.0,0.0,0.0,-424.0,0.0,-424.0,0.0,0.0,-424.0,50.44,474.44,85.2,-4.97,-4.97,0.592019,85.2,-4.97,-4.97,0.592019,
05/02/2009,762.6,762.6,-507.1,507.1,255.5,0.0,-203.1,232.8,,-29.7,52.4,-11.0,11.0,11.6,-0.6,0.0,41.4,-15.1,26.3,0.0,0.0,0.0,26.3,0.0,26.3,0.0,0.0,26.3,26.56,0.26,85.2,0.31,0.31,0.311737,85.4,0.31,0.31,0.311737,
08/01/2009,710.8,710.8,-489.3,489.3,221.5,0.0,-174.9,203.8,,-28.9,46.6,-8.1,8.1,8.2,-0.1,0.0,38.5,-10.9,27.6,0.0,0.0,0.0,27.6,0.0,27.6,0.0,0.0,27.6,27.6,0.0,85.2,0.32,0.32,0.32,85.5,0.32,0.32,0.32,
10/31/2009,611.4,611.4,-448.4,448.4,163.0,0.0,-168.9,197.3,,-28.4,-5.9,-7.4,,7.4,,0.0,-13.3,4.6,-8.7,0.0,0.0,0.0,-8.7,0.0,-8.7,0.0,0.0,-8.7,-8.7,0.0,85.4,-0.1,-0.1,-0.1,85.4,-0.1,-0.1,-0.1,
01/30/2010,1196.8,1196.8,-765.4,765.4,431.4,0.0,-254.2,282.6,,-28.4,177.2,-7.5,7.5,7.6,-0.1,0.0,169.7,-54.2,115.5,0.0,0.0,0.0,115.5,0.0,115.5,0.0,0.0,115.5,113.875,-1.625,85.5,1.35,1.35,1.331871,86.0,1.34,1.34,1.321105,
05/01/2010,805.4,805.4,-511.8,511.8,293.6,0.0,-210.8,238.5,,-27.7,82.8,-8.7,8.7,8.8,-0.1,0.0,74.1,-23.8,50.3,0.0,0.0,0.0,50.3,0.0,50.3,0.0,0.0,50.3,50.3,0.0,85.5,0.59,0.59,0.59,86.2,0.58,0.58,0.58,
07/31/2010,719.7,719.7,-482.5,482.5,237.2,0.0,-176.5,203.7,,-27.2,60.7,-6.0,6.0,,,0.0,54.7,-16.0,38.7,0.0,0.0,0.0,38.7,0.0,38.7,0.0,0.0,38.7,38.115,-0.585,85.6,0.45,0.45,0.445269,86.2,0.45,0.45,0.443213,
10/30/2010,641.8,641.8,-448.2,448.2,193.6,0.0,-175.1,201.5,,-26.4,18.5,-6.5,6.5,,,0.0,12.0,-6.0,6.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,6.0,6.0,0.0,85.7,0.07,0.07,0.07,86.3,0.07,0.07,0.07,
01/29/2011,1270.5,1270.5,-752.0,752.0,518.5,0.0,-308.0,336.7,,-28.7,210.5,-50.9,50.9,,,0.0,159.6,-54.2,105.4,0.0,0.0,0.0,105.4,0.0,105.4,0.0,0.0,105.4,107.22,1.82,85.8,1.23,1.23,1.24965,86.8,1.21,1.21,1.230968,
04/30/2011,887.3,887.3,-537.6,537.6,349.7,0.0,-231.0,263.8,,-32.8,118.7,-0.9,0.9,1.5,-0.6,0.0,117.8,-42.4,75.4,0.0,0.0,0.0,75.4,0.0,75.4,0.0,0.0,75.4,75.4,0.0,86.1,0.87,0.87,0.87,86.9,0.87,0.87,0.87,
07/30/2011,797.6,797.6,-502.8,502.8,294.8,0.0,-192.5,224.5,,-32.0,102.3,-2.5,2.5,,,0.0,99.8,-33.5,66.3,0.0,0.0,0.0,66.3,0.0,66.3,0.0,0.0,66.3,66.3,0.0,86.3,0.77,0.77,0.77,87.1,0.76,0.76,0.76,
10/29/2011,710.5,710.5,-480.6,480.6,229.9,0.0,-187.4,219.6,,-32.2,42.5,-0.4,0.4,,,0.0,42.1,-16.0,26.1,0.0,0.0,0.0,26.1,0.0,26.1,0.0,0.0,26.1,26.1,0.0,86.3,0.3,0.3,0.3,87.1,0.3,0.3,0.3,
01/28/2012,1353.8,1353.8,-790.6,790.6,563.2,0.0,-319.3,348.8,,-29.5,243.9,-1.5,1.5,,,0.0,242.4,-85.8,156.6,0.0,0.0,0.0,156.6,0.0,156.6,0.0,0.0,156.6,157.51,0.91,86.4,1.81,1.81,1.823032,87.3,1.79,1.79,1.800424,
04/28/2012,900.0,900.0,-546.3,546.3,353.7,0.0,-224.3,264.5,,-40.2,129.4,-0.9,0.9,,,0.0,128.5,-46.0,82.5,0.0,0.0,0.0,82.5,0.0,82.5,0.0,0.0,82.5,82.5,0.0,85.5,0.96,0.96,0.96,86.3,0.96,0.96,0.96,
07/28/2012,853.9,853.9,-542.7,542.7,311.2,0.0,-200.3,240.3,,-40.0,110.9,-0.7,0.7,,,0.0,110.2,-39.5,70.7,0.0,0.0,0.0,70.7,0.0,70.7,0.0,0.0,70.7,70.7,0.0,82.6,0.86,0.86,0.86,83.0,0.85,0.85,0.85,
