Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/26/1989,12675,663,663,0.0,,,,6582.0,,,,,465.0,,,,,7710,3876,,,0.0,1089,,,,1089,4965,,2565,2565,,,,364,,,,,1119,,,,1119,4048,2930,,,,689,,,689,3619,7667,0,797,,,-131.0,,4342,5008,0,5008,12675,
07/26/1989,12541,440,440,0.0,,,,6642.0,,,,,520.0,,,,,7602,3914,,,0.0,1025,,,,1025,4939,,2255,2255,,,,505,,,,,1106,,,,1106,3866,2923,,,,708,,,708,3631,7497,0,799,,,-131.0,,4376,5044,0,5044,12541,
10/25/1989,13924,517,517,0.0,,,,7814.0,,,,,611.0,,,,,8942,3929,,,0.0,1053,,,,1053,4982,,2870,2870,,,,1089,,,,,1150,,,,1150,5109,3014,,,,726,,,726,3740,8849,0,805,,,-142.0,,4412,5075,0,5075,13924,
01/31/1990,13145,353,353,0.0,,,,6933.0,,,,,698.0,,,,,7984,3850,7507.0,-3657.0,0.0,1311,,,,1311,5161,,2319,2319,,,,612,,,,,1368,,,,1368,4299,3029,,,,845,,,845,3874,8173,0,807,,,-146.0,,4311,4972,0,4972,13145,
05/02/1990,13736,405,405,0.0,,,,7557.0,,,,,559.0,,,,,8521,3905,,,0.0,1310,,,,1310,5215,,2443,2443,,,,1103,,,,,1296,,,,1296,4842,3062,,,,859,,,859,3921,8763,0,794,,,-131.0,,4310,4973,0,4973,13736,
08/01/1990,13539,359,359,0.0,,,,7182.0,,,,,643.0,,,,,8184,4014,,,0.0,1341,,,,1341,5355,,2196,2196,,,,1079,,,,,1282,,,,1282,4557,3052,,,,872,,,872,3924,8481,0,796,,,-131.0,,4393,5058,0,5058,13539,
10/31/1990,15116,443,443,0.0,,,,8250.0,,,,,811.0,,,,,9504,4195,,,0.0,1417,,,,1417,5612,,3064,3064,,,,1592,,,,,1414,,,,1414,6070,3059,,,,892,,,892,3951,10021,0,796,,,-131.0,,4430,5095,0,5095,15116,
01/31/1991,13899,278,278,0.0,,,,6891.0,,,,,727.0,,,,,7896,4361,8339.0,-3978.0,0.0,1642,,,,1642,6003,,2307,2307,,,,709,,,,,1361,,,,1361,4377,3299,,,,839,,,839,4138,8515,0,798,,,-131.0,,4717,5384,0,5384,13899,
05/01/1991,14810,315,315,0.0,,,,7769.0,,,,,671.0,,,,,8755,4477,,,0.0,1578,,,,1578,6055,,2620,2620,,,,1219,,,,,1515,,,,1515,5354,3302,,,,742,,,742,4044,9398,0,805,,,-131.0,,4738,5412,0,5412,14810,
07/31/1991,14764,459,459,0.0,,,,7429.0,,,,,658.0,,,,,8546,4645,,,0.0,1573,,,,1573,6218,,2217,2217,,,,1303,,,,,1521,,,,1521,5041,3465,,,,745,,,745,4210,9251,0,835,,,-131.0,,4809,5513,0,5513,14764,
