Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,2458.0,,,,,,,-1163.0,,,,,595,0.0,,,,,,,0.0,595.0,-186.0,,,,409.0,0.0,,,409.0,0.0,409.0,-0.026,,408.974,408.974,,2104.0,0.195,0.195,0.195,2104.0,0.195,0.195,0.195,
06/30/1990,2484.0,,,-696.0,,1788.0,,-1182.0,,,,,606,0.0,,,,,,,0.0,606.0,-189.0,,,,417.0,0.0,,,417.0,0.0,417.0,-0.026,,416.974,416.974,,2111.260742,0.1975,0.1975,,2111.260742,0.1975,0.1975,0.1975,
09/30/1990,2622.0,,,-720.0,,1902.0,,-1186.0,,,,,716,0.0,,,,,,,0.0,716.0,-220.0,,,,496.0,0.0,,,496.0,0.0,496.0,-0.026,,495.974,495.974,,2110.528076,0.235,0.235,0.235,2110.528076,0.235,0.235,0.235,
12/31/1990,2736.0,,,-758.0,,1978.0,,-1506.0,,,,,472,135.0,,,,,,,-135.0,607.0,-181.0,,,,426.0,0.0,,,426.0,0.0,426.0,-0.026,,425.974,425.974,,2098.960448,0.205,0.205,0.205,2098.960448,0.205,0.205,0.205,
03/31/1991,2735.0,,,-743.0,,1992.0,,-1288.0,,,,,704,0.0,,,,,,,0.0,704.0,-211.0,,,,493.0,0.0,,,493.0,0.0,493.0,-0.017,,492.983,492.983,,2088.0,0.235,0.235,0.235,2088.0,0.235,0.235,0.235,
06/30/1991,2730.0,,,-710.0,,2020.0,,-1325.0,,,,,695,0.0,,,,,,,0.0,695.0,-205.0,,,,490.0,0.0,,,490.0,0.0,490.0,-0.017,,489.983,489.983,,2085.033936,0.235,0.235,,2085.033936,0.235,0.235,0.235,
09/30/1991,2757.0,,,-713.0,,2044.0,,-1260.0,,,,,784,0.0,,,,,,,0.0,784.0,-221.0,,,,563.0,0.0,,,563.0,0.0,563.0,-0.017,,562.983,562.983,,2085.122314,0.27,0.27,,2085.122314,0.27,0.27,0.27,
12/31/1991,2349.0,,,-551.0,,1798.0,,-1319.0,,,,,479,221.0,,,,,,,-221.0,700.0,-156.0,,,,445.0,-65.0,,,609.0,,510.0,-0.01775,,509.98225,509.98225,,2081.655272,0.245,0.2375,0.2375,2081.655272,0.245,0.2375,0.2375,
04/01/1992,2641.0,,,-658.0,,1983.0,,-1254.0,,,,,729,,,,,,,,,,-195.0,,,,534.0,232.0,,,,,302.0,,,302.0,302.0,,2076.0,0.1475,0.2575,,2076.0,0.1475,0.2575,0.2575,
06/30/1992,2743.0,,,-699.0,,2044.0,,-1395.0,,,,,649,0.0,,,,,,,0.0,649.0,-174.0,,,,475.0,-13.0,,,488.0,0.0,488.0,,,488.0,488.0,,2076.595947,0.235,0.23,,2076.595947,0.235,0.23,0.23,
09/30/1992,2948.0,,,-768.0,,2180.0,,-1399.0,,,,,781,0.0,,,,,,,0.0,781.0,-209.0,,,,572.0,-17.0,,,589.0,0.0,589.0,,,589.0,589.0,,2066.666748,0.285,0.275,,2066.666748,0.285,0.275,0.275,
12/31/1992,2824.0,,,-732.0,,2092.0,,-2291.0,,,,,-199,27.0,,,,,63.0,,-90.0,-172.0,129.0,,,,-43.0,-626.0,,,583.0,0.0,583.0,-0.058,,582.942,582.942,,2071.04004,0.2825,-0.02,-0.02,2071.04004,0.2825,-0.02,-0.02,
03/31/1993,2755.0,,,-741.0,,2014.0,,-1236.0,,,,,778,0.0,,,,,,,0.0,778.0,-203.0,,,,575.0,0.0,,,575.0,0.0,575.0,,,575.0,575.0,,2072.0,0.2775,0.2775,,2072.0,0.2775,0.2775,0.2775,
06/30/1993,2802.0,,,-717.0,,2085.0,,-1381.0,,,,,704,0.0,,,,,,,0.0,704.0,-183.0,,,,521.0,0.0,,,521.0,0.0,521.0,,,521.0,521.0,,2065.600098,0.2525,0.2525,,2065.600098,0.2525,0.2525,0.2525,
09/30/1993,2862.0,,,-763.0,,2099.0,,-1276.0,,,,,823,0.0,,,,,,,0.0,823.0,-215.0,,,,608.0,0.0,,,608.0,0.0,608.0,,,608.0,608.0,,2065.6521,0.295,0.295,,2065.6521,0.295,0.295,0.295,
12/31/1993,2994.0,,,-808.0,,2186.0,,-1588.0,,,,,598,-332.0,,,,,-21.0,,353.0,266.0,-11.0,,,,255.0,0.0,,,255.0,0.0,255.0,0.0,,255.0,255.0,,2048.684084,0.125,0.125,0.125,2048.684084,0.125,0.125,0.125,
03/31/1994,2834.0,,,-745.0,,2089.0,,-1261.0,,,,,828,0.0,,,,,,,0.0,828.0,-247.0,,,,581.0,0.0,,,581.0,0.0,581.0,0.0,,581.0,581.0,,2043.73999,0.285,0.285,,2043.73999,0.285,0.285,0.285,
06/30/1994,2970.0,,,-742.0,,2228.0,,-1456.0,,,,,772,0.0,,,,,,,0.0,772.0,-230.0,,,,542.0,0.0,,,542.0,0.0,542.0,0.0,,542.0,542.0,,2026.196045,0.2675,0.2675,,2026.196045,0.2675,0.2675,0.2675,
09/30/1994,2932.0,,,-760.0,,2172.0,,-1298.0,,,,,874,0.0,,,,,,,0.0,874.0,-253.0,,,,621.0,0.0,,,621.0,0.0,621.0,0.0,,621.0,621.0,,2035.160034,0.305,0.305,0.305,2035.160034,0.305,0.305,0.305,
12/31/1994,3248.0,,,-875.0,,2373.0,,-1626.0,,,,,747,-598.0,,,,,44.0,,554.0,149.0,17.0,,,,98.0,0.0,,,166.0,0.0,98.0,0.0,,98.0,98.0,,2034.463988,0.0475,0.0475,0.0475,2034.463988,0.0475,0.0475,0.0475,
03/31/1995,3301.0,,,-877.0,,2424.0,,-1492.0,,,,,932,0.0,,,,,,,0.0,932.0,-275.0,,,,657.0,0.0,,,657.0,0.0,657.0,0.0,,657.0,657.0,,2028.0,0.3225,0.3225,0.3225,2028.0,0.3225,0.3225,0.3225,
06/30/1995,3445.0,,,-909.0,,2536.0,,-1674.0,,,,,862,0.0,,,,,,,0.0,862.0,-254.0,,,,608.0,0.0,,,608.0,0.0,608.0,0.0,,608.0,608.0,,2028.0,0.3,0.3,0.3,2028.0,0.3,0.3,0.3,
09/30/1995,3413.0,,,-930.0,,2483.0,,-1525.0,,,,,958,0.0,,,,,,,0.0,958.0,-269.0,,,,689.0,0.0,,,689.0,0.0,689.0,0.0,,689.0,689.0,,2024.0,0.34,0.34,0.34,2024.0,0.34,0.34,0.34,
12/31/1995,3608.0,,,-921.0,,2687.0,,-1824.0,,,,,863,-1116.0,,,,,,,1116.0,-253.0,208.0,,,,-142.0,0.0,,,-45.0,0.0,-142.0,0.0,,-142.0,-142.0,,2020.0,-0.07,-0.07,0.32,2020.0,-0.07,-0.07,0.32,
03/31/1996,3669.0,,,-935.0,,2734.0,,-1712.0,,,,,1022,0.0,,,,,,,0.0,1022.0,-296.0,,,,726.0,0.0,,,726.0,0.0,726.0,0.0,,726.0,726.0,,2016.0,0.36,0.36,0.36,2044.0,0.355,0.355,0.355,
06/30/1996,3696.0,,,-962.0,,2734.0,,-1811.0,,,,,923,0.0,,,,,,,0.0,923.0,-268.0,,,,655.0,0.0,,,655.0,0.0,655.0,0.0,,655.0,655.0,,2004.0,0.32675,0.32675,0.32675,2040.0,0.32,0.32,0.32,
09/30/1996,3745.0,,,-1003.0,,2742.0,,-1682.0,,,,,1060,0.0,,,,,,,0.0,1060.0,-307.0,,,,753.0,0.0,,,753.0,0.0,753.0,0.0,,753.0,753.0,,2004.0,0.375,0.375,0.375,2040.0,0.37,0.37,0.37,
12/31/1996,3955.0,,,-1065.0,,2890.0,,-1942.0,,,,,948,60.0,,,,,,,-60.0,1008.0,-292.0,,,,716.0,0.0,,,716.0,0.0,716.0,0.0,,716.0,716.0,,2004.0,0.35725,0.35725,0.35725,2040.0,0.35,0.35,0.35,
03/31/1997,4045.0,,,-1078.0,,2967.0,,-1834.0,,,,,1133,0.0,,,,,,,0.0,1133.0,-323.0,,,,810.0,0.0,,,810.0,0.0,810.0,0.0,,810.0,810.0,,1998.0,0.405,0.405,0.405,2040.0,0.395,0.395,0.395,
06/30/1997,4064.0,,,-1097.0,,2967.0,,-1935.0,,,,,1032,0.0,,,,,,,0.0,1032.0,-294.0,,,,738.0,0.0,,,738.0,0.0,738.0,0.0,,738.0,738.0,,1992.0,0.37,0.37,0.37,2038.0,0.365,0.365,0.365,
09/30/1997,4151.0,,,-1110.0,,3041.0,,-1845.0,,,,,1196,0.0,,,,,,,0.0,1196.0,-341.0,,,,855.0,0.0,,,855.0,0.0,855.0,0.0,,855.0,855.0,,1990.0,0.43,0.43,0.43,2042.0,0.42,0.42,0.42,
12/31/1997,4441.0,,,-1179.0,,3262.0,,-2185.0,,,,,1077,44.0,,,,,,,-44.0,1121.0,-319.0,,,,802.0,0.0,,,802.0,0.0,802.0,0.0,,802.0,802.0,,1986.0,0.405,0.405,0.405,2044.0,0.39,0.39,0.39,
03/31/1998,4446.0,,,-1152.0,,3294.0,,-2002.0,,,,,1292,0.0,,,,,,,0.0,1292.0,-365.0,,,,927.0,0.0,,,927.0,0.0,927.0,0.0,,927.0,927.0,,1987.0,0.467,0.467,0.467,2035.0,0.4555,0.4555,0.4555,
