Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
12/31/1989,865.799927,,,,,,,,,,,,,59.499996,,59.499996,,,0.462,0.462,0.0,,,,,
03/31/1990,851.299988,-669.5,181.799988,-102.699997,79.099998,-14.5,0.0,66.400002,131.0,-45.700001,85.300003,0.0,0.0,85.300003,-3.125,82.175003,82.174999,,0.662,0.662,128.500004,,,,,
06/30/1990,828.299988,-554.400024,273.899963,-101.699997,172.199997,-14.6,0.0,59.799999,217.399996,-79.400002,138.0,0.0,0.0,138.0,-3.125,134.875,134.874994,,1.072,1.072,128.500004,,,,,
09/30/1990,661.900024,-553.0,108.900024,-99.5,9.4,-14.5,0.0,65.900002,60.800001,-17.299999,43.5,0.0,0.0,43.5,-3.125,40.375,40.375002,,0.338,0.338,128.500004,,,,,
12/31/1990,919.700012,-1148.699951,-228.999939,-105.400002,-334.399994,-14.3,0.0,41.900002,-306.799992,131.5,-175.300003,19.3,0.0,-156.0,-3.325,-159.325,-178.624992,-1.364,-1.364,-1.24,128.500005,-1.364,-1.364,-1.24,128.500005,
03/31/1991,762.0,-705.900024,56.099976,-115.400002,-59.299999,-11.9,0.0,82.400002,11.200003,-0.8,10.4,12.900001,0.0,23.299999,-3.125,20.174999,7.275003,,0.108,0.242,96.000004,,,,,
06/30/1991,710.0,-557.099976,152.900024,-90.599998,62.299999,-11.9,0.0,28.1,78.5,-27.9,50.599998,0.0,0.0,50.599998,-3.125,47.474998,47.475,,0.662,0.662,75.999999,,,,,
09/30/1991,625.599976,-521.299988,104.299988,-56.799999,47.5,-11.8,0.0,-316.600006,-280.900006,111.800003,-169.100006,0.0,0.0,-169.100006,-3.125,-172.225006,-172.225003,,-2.222,-2.222,75.999999,,,,,
12/31/1991,937.400024,-1153.699951,-216.299927,-121.800003,-338.100006,-11.8,0.0,362.5,12.599994,-3.2,9.4,0.0,0.0,9.4,-3.325,6.075,6.074994,0.08,0.08,0.08,76.0,0.08,0.08,0.08,76.0,
03/31/1992,1082.599976,-956.799988,125.799988,-108.800003,17.0,-14.2,0.0,22.5,25.3,-7.8,17.5,-81.500004,0.0,-64.0,-3.125,-67.125,14.375,,0.23,-0.836,76.500001,,,,,
06/30/1992,779.900024,-596.200012,183.700012,-101.400002,82.300003,-17.200001,0.0,27.200001,92.300003,-23.299999,69.0,0.0,0.0,69.0,-3.125,65.875,65.875004,,0.892,0.892,76.999998,,,,,
09/30/1992,672.200012,-523.200012,149.0,-112.699997,36.299999,-15.3,0.0,38.900002,59.900001,-17.200001,42.700001,0.0,0.0,42.700001,-3.125,39.575001,39.575,,0.552,0.552,76.999998,,,,,
12/31/1992,968.299988,-830.299988,138.0,-100.0,38.0,-14.0,0.0,25.5,49.5,-16.200001,33.299999,0.0,0.0,33.299999,-3.325,29.974999,29.974999,0.432,0.432,0.428,77.499995,0.432,0.432,0.428,77.499995,
03/31/1993,878.700012,-712.900024,165.799988,-105.099998,60.700001,-13.6,0.0,38.700001,85.800001,-31.6,54.200001,0.0,0.0,54.200001,-3.125,51.075001,51.075001,,0.7,0.7,76.999998,,,,,
06/30/1993,835.700012,-579.900024,255.799988,-115.0,140.800003,-9.2,0.0,44.400002,176.000005,-68.599998,107.400002,0.0,0.0,107.400002,-3.125,104.275002,104.275006,,1.346,1.346,77.5,,,,,
09/30/1993,752.900024,-539.0,213.900024,-112.599998,101.300003,-9.1,0.0,54.5,146.700003,-28.5,118.199997,0.0,0.0,118.199997,-3.2,114.999997,115.000003,,1.478,1.478,77.5,,,,,
12/31/1993,1042.800049,-857.0,185.800049,-128.600006,57.200001,,0.0,13.6,70.800001,-24.4,46.400002,0.0,0.0,46.400002,-3.313,43.087002,43.087001,0.554,0.554,0.554,78.0,0.554,0.554,0.554,78.0,
03/31/1994,1246.900024,-1024.400024,222.5,-121.400002,101.099998,-11.2,0.0,24.5,114.399999,-45.099998,69.300003,0.0,0.0,69.300003,-3.7,65.600003,65.6,,0.846,0.846,77.5,,,,,
