Date,Total Interest Income,Total Interest Expense,Net Interest Income,Trading Account Profit,Commissions & Fees Earned,Other Operating Income,Net Revenue,Provisions for Loan Losses,Net Revenue After Provisions,Non-Interest Expense,Operating Income or Losses,Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1993,1371,-1270,101.0,588,708,190,1587,0,1587,-1421,166,-687,-521,-119,-640,189,0,-451,-12.0,,-463.0,,,-652.0,,-1.5425,-1.095,422.799988,-1.5425,-1.5425,-1.095,422.799988,
06/30/1993,1483,-1360,123.0,560,731,193,1607,0,1607,-1396,211,0,211,-90,121,0,0,121,-12.0,,109.0,,,109.0,,0.26,0.26,422.799988,0.26,0.26,0.26,422.799988,
09/30/1993,1535,-1411,124.0,484,477,88,1173,0,1173,-999,174,0,174,-60,114,0,0,114,-12.0,,102.0,,,102.0,,0.24,0.24,422.799988,0.24,0.24,0.24,422.799988,
12/31/1993,1451,-1327,124.0,423,372,20,939,0,939,-776,163,0,163,-49,114,0,0,114,-12.0,,102.0,,,102.0,,0.2425,0.2425,422.799988,0.2425,0.2425,0.2425,422.799988,
03/31/1994,1527,-1453,74.0,434,316,17,841,0,841,-691,150,-62,88,-33,55,-13,0,42,-12.0,,30.0,,,43.0,,0.1025,0.071,422.799988,0.1025,0.1025,0.071,422.799988,
06/30/1994,1699,-1645,54.0,361,268,13,696,0,696,-646,50,-15,35,-15,20,0,0,20,-8.0,,12.0,,,12.0,,0.0275,0.0275,422.799988,0.0275,0.0275,0.0275,422.799988,
08/31/1994,1901,-1818,83.0,335,285,16,719,0,719,-686,33,0,33,-11,22,0,0,22,-11.0,,11.0,,,11.0,,0.025,0.025,436.399994,0.025,0.025,0.025,436.399994,
11/30/1994,1634,-1536,98.0,215,148,21,482,0,482,-474,8,29,37,-8,29,0,0,29,-3.0,,26.0,,,26.0,0.06,0.06,0.06,442.399992,0.06,0.06,0.06,442.399992,
02/28/1995,2501,-2405,96.0,359,242,10,707,0,707,-637,70,0,70,-25,45,0,0,45,-10.6,,34.4,,,34.4,,0.0775,0.0775,440.799988,0.0775,0.0775,0.0775,440.799988,
05/31/1995,2655,-2567,88.0,355,273,15,731,0,731,-641,90,0,90,-32,58,0,0,58,-10.6,,47.4,,,47.4,,0.1075,0.1075,440.799988,0.1075,0.1075,0.1075,440.799988,
08/31/1995,2830,-2703,127.0,245,367,11,750,0,750,-641,109,0,109,-38,71,0,0,71,-11.0,,60.0,,,60.0,,0.13,0.13,464.799988,0.13,0.13,0.13,464.799988,
11/30/1995,2802,-2730,72.0,434,369,8,883,0,883,-686,197,-97,100,-32,68,0,0,68,-9.8,,58.2,,,58.2,0.1225,0.1225,0.1225,468.399992,0.1225,0.1225,0.1225,468.399992,
02/29/1996,2656,-2565,91.0,413,307,10,821,0,821,-662,159,0,159,-55,104,0,0,104,-11.0,,93.0,0.0,0.0,93.0,0.1975,0.1975,0.1975,467.600006,0.1975,0.1975,0.1975,467.600006,
05/31/1996,2749,-2643,106.0,398,317,12,833,0,833,-664,169,0,169,-61,108,0,0,108,-6.0,,102.0,0.0,0.0,102.0,0.2225,0.2225,0.2225,459.200012,0.2225,0.2225,0.2225,459.200012,
08/31/1996,2964,-2863,101.0,303,314,4,722,0,722,-606,116,0,116,-39,77,0,0,77,-6.0,,71.0,0.0,0.0,71.0,0.15,0.15,0.15,468.799988,0.15,0.15,0.15,468.799988,
11/30/1996,2929,-2745,184.0,465,405,14,1068,0,1068,-791,277,-84,193,-66,127,0,0,127,-13.0,,114.0,84.0,-34.0,164.0,0.3475,0.24,0.24,467.600006,0.3475,0.24,0.24,467.600006,
02/28/1997,3278,-3074,204.0,346,337,38,925,0,925,-706,219,0,219,-75,144,0,0,144,-6.0,,138.0,0.0,0.0,138.0,0.295,0.295,0.295,468.0,0.29,0.29,0.29,476.399992,
05/31/1997,3099,-2952,147.0,326,365,16,854,0,854,-682,172,0,172,-51,121,0,0,121,-7.0,,114.0,0.0,0.0,114.0,0.2425,0.2425,0.2425,472.0,0.2375,0.2375,0.2375,481.600008,
08/31/1997,3554,-3398,156.0,389,507,19,1071,0,1071,-790,281,0,281,-84,197,0,0,197,-37.0,,160.0,0.0,0.0,160.0,0.335,0.335,0.335,474.888,0.325,0.325,0.325,489.451996,
