Date,Returns,Return on Common Equity,Return on Assets,Return on Capital,Margins,Gross Margin,EBITDA Margin,Operating Margin,Incremental Operating Margin,Pretax Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Additional,Effective Tax Rate,Dvd Payout Ratio,Sustainable Growth Rate,Source: Bloomberg
10/28/1989,,,,,,28.293874,7.214528,5.671192,,-0.862216,-0.513079,-2.106963,-2.106963,,,,,
02/03/1990,,,,,,27.200021,9.615917,7.914571,,3.390305,2.034792,2.034793,2.034793,,39.982032,0.0,,
05/05/1990,,,,,,27.39887,6.997805,5.278141,-9.091708,-1.859966,-1.123764,-1.123765,-1.123765,,,,,
08/04/1990,,,,,,25.076966,3.579422,1.347638,-20.864102,-4.522608,-3.12684,-4.089438,-4.089438,,,,,
05/05/1990,,,,,,27.39887,,5.278141,,-1.859966,-1.123764,-1.123765,-1.123765,,,,,
08/04/1990,,,,,,24.132497,,0.403168,,-4.522608,-3.12684,-4.089438,-4.089438,,,,,
11/03/1990,,,-3.514881,,,26.141459,5.90691,4.455127,-24.221617,-2.546493,-1.531074,-2.625961,-2.625961,,,,,
02/02/1991,,,-6.301085,,,24.890866,,-3.879457,,-9.613237,-8.622935,-9.669066,-9.669066,,,,,
05/04/1991,,,,,,25.160421,3.594379,0.856513,-17.108646,-7.530759,-7.530759,-14.505622,-14.505622,,,,,
08/03/1991,,,,,,25.187354,5.330623,3.086808,,-3.708365,-3.708365,-7.11543,-7.11543,,,,,
11/02/1991,,,-9.968372,,,26.131152,4.907369,2.960581,-17.657379,-3.333897,-3.333897,-3.333897,-3.333897,,,,,
02/01/1992,,,-12.677811,,,26.070405,6.784418,5.222101,,-14.764051,-14.764051,-14.76405,-14.76405,,,,,
05/02/1992,,,-9.689588,,,29.894229,3.45978,1.233272,7.449461,-4.465513,-4.465513,-0.337363,-0.337363,,,,,
08/01/1992,,,-8.750708,,,29.351265,4.501265,2.443213,,-2.912548,-2.912548,-2.912548,-2.912548,,,,,
10/31/1992,,,58.799264,,,23.766326,-6.206444,-2.725742,,167.898906,169.233034,228.952553,228.952553,,,0.0,,
01/30/1993,,,65.835608,244.399744,,30.248386,9.930303,8.883785,51.195937,5.8973,3.693545,3.693545,3.693545,,37.368873,0.0,,
05/01/1993,,,69.41847,231.75129,,28.952271,2.884574,1.087106,,-3.721954,-2.233949,-2.233949,-2.233949,,,,,
07/31/1993,,,69.739799,231.346789,,27.174011,2.593977,0.85287,-122.617512,-8.583266,-8.583266,-8.583266,-8.583266,,,,,
10/30/1993,,-12.679095,-2.68189,,,26.310165,0.574928,-1.079448,,-5.134235,-5.134235,-5.134235,-5.134235,,,,,
01/29/1994,,-24.331037,-4.98668,,,25.82899,5.352063,4.120474,-140.900448,-1.527589,-2.476658,-2.476658,-2.476658,,,,,
04/30/1994,,-27.229686,-5.639898,,,25.914396,-1.850017,-4.171876,-70.561707,-4.166309,-4.166309,-4.166309,-4.166309,,,,,
07/30/1994,,-17.347713,-4.070846,,,25.981228,-0.353368,-2.583419,-42.43316,-2.83023,-2.83023,-2.83023,-2.83023,,,,,
10/29/1994,,-16.604175,-3.413081,,,25.194246,-0.93344,-3.174075,-71.674082,-3.876524,-3.876524,-3.876524,-3.876524,,,,,
01/28/1995,,-9.347572,-1.83984,,,32.878229,14.803764,13.31821,89.230218,1.483836,1.465433,1.465434,1.465434,,1.240182,0.0,-9.347572,
04/29/1995,,-16.984217,-3.250745,,,23.391235,-5.690109,-8.670924,-261.973761,-10.213936,-10.213936,-10.213936,-10.213936,,,,,
07/29/1995,,-25.320421,-4.59887,,,23.628483,-3.706156,-6.463847,,-8.129576,-8.129576,-8.129577,-8.129577,,,,,
