Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Cash & Equivalents,Book Value,Source: Bloomberg
12/31/1989,,,163.488983,,0.930338,,,-0.39,-0.39,,,,,,,,,
03/31/1990,178.535004,,171.544006,,1.049084,,-0.118133,4.97,4.05,,,,,0.0,-0.198614,4.663646,10.36637,
06/30/1990,178.542999,,177.996002,,1.361958,,0.063058,-0.34,-0.34,,,,,0.0,-0.607306,1.837725,12.640944,
09/30/1990,178.542999,,178.542999,,1.571212,,0.148317,-0.45,-0.45,,,,,0.0,-0.184409,2.186818,12.188381,
12/31/1990,178.873001,178.755997,178.755997,,1.871473,,0.173085,-0.83,-1.02,-1.02,-0.83,-1.02,-1.02,0.0,0.140107,2.29772,11.431076,
03/31/1991,182.059998,,179.574005,,1.633744,,0.004371,-0.97,-0.97,,,,,0.0,-0.422739,2.316973,10.573657,
06/30/1991,182.089996,,182.003006,,1.88104,,0.215892,-0.77,-0.77,,,,,0.0,0.381334,2.145922,9.841183,
09/30/1991,182.169998,,189.378998,,1.851694,,0.21364,0.39,0.39,,,,,0.0,-0.033715,2.161344,10.256008,
12/31/1991,182.225006,182.210999,182.210999,,2.080917,,0.194796,-0.69,-0.69,-0.69,-0.69,-0.69,-0.69,0.0,0.590255,2.175481,9.574213,
03/31/1992,182.516998,,182.406998,,2.054455,,0.182762,-0.55,-0.55,,,,,0.0,-0.215074,1.847647,8.906913,
06/30/1992,182.550995,,182.526001,,2.336073,,0.377053,-0.37,-0.37,,,,,0.0,0.222379,1.817306,8.428724,
09/30/1992,182.604004,,182.563004,,2.453734,,0.428811,-0.33,-0.33,,,,,0.0,0.210147,1.726457,8.006987,
12/31/1992,186.126007,183.200989,183.200989,,2.697769,,0.431482,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35,0.0,0.665368,1.987428,-2.201417,
03/31/1993,205.985001,,192.098007,,2.498558,,0.411535,-0.08,-0.08,,,,,0.0,2.498558,3.539612,0.447061,
06/30/1993,206.184998,,205.612,,2.628626,,0.558873,-0.11,-0.11,,,,,0.0,-1.799642,2.145762,0.623814,
09/30/1993,206.945007,,206.337997,,2.726672,,0.526398,-0.15,-0.15,,,,,0.0,0.449607,1.952272,0.48608,
12/31/1993,208.552994,,207.539001,,2.947634,1.73989,-0.2048,-1.0,-0.78,,,,,0.0,0.442379,0.942537,-0.181748,
03/31/1994,209.218002,,208.763,,3.021618,,0.382429,-0.04,-0.04,,,,,0.0,0.272917,1.23118,-0.111066,
06/30/1994,211.014008,,209.229004,,3.26286,,0.543945,0.65,0.65,,,,,0.0,0.459377,0.904466,2.702721,
