Date,Basic Weighted Avg Shares,Per Share Data Items,Revenue,Net Income to Common - Basic,Net Income before XO - Basic,Source: Bloomberg
11/30/1992,158.813995,,6.132961,0.4,0.4,
02/28/1993,158.864197,,6.300979,0.55,0.55,
05/31/1993,159.257004,,6.228925,0.46,0.46,
