Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,78,94,112,61.0,,61.0,-189,,,,-189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,165,116,120,,,,-71,,,,-71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,160,91,125,-19.0,,-19.0,-37,,,,-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,469,7,67,88.0,,88.0,307,,,,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469.0,,,
03/31/1991,-158,56,75,-33.0,,-33.0,-256,,,,-256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,173,22,70,-4.0,,-4.0,85,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,288,-107,72,238.0,,238.0,85,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,178,-58,70,101.0,,101.0,65,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1992,-22,42,76,-28.0,,-28.0,-112,,,,-112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,6,36,73,-21.0,,-21.0,-82,,,,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,118,22,70,-3.0,,-3.0,29,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,178,19,74,-82.0,,-82.0,167,,,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.0,,,
03/31/1993,-33,-55,76,129.0,,129.0,-183,,,,-183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,122,41,68,18.0,,18.0,-5,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,181,38,66,11.0,,11.0,66,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,187,44,66,-36.0,,-36.0,113,,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1994,5,63,67,60.0,,60.0,-185,,,,-185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,94,73,67,12.0,,12.0,-58,,,,-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,233,96,69,61.0,,61.0,7,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,229,157,71,-265.0,,-265.0,266,,,,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1995,-8,230,83,-86.0,,-86.0,-235,,,,-235,,,-83.0,,,,-83.0,,,,,,,,,,83.0,,,,,,,,,,,,,,,
06/30/1995,194,228,72,-40.0,,-40.0,-66,,,,-66,,,-128.0,,,,-128.0,,,,,,,,,,128.0,,,,,,,,,,,,,,,
09/30/1995,341,277,72,-76.0,,-76.0,68,,,,68,,,-153.0,,,,-153.0,,,,,,,,,,153.0,,,,,,,,,,,,,,,
12/31/1995,236,190,79,-24.0,,-24.0,-9,,,,-9,,-178.0,-178.0,,,,-178.0,,,,,,,,,,0.0,,,,,,,,,,,,58.0,,,
03/31/1996,213,157,75,60.0,,60.0,-79,,,,-79,,,-186.0,,,,-186.0,,,,,,,,,,186.0,,,,,,,,,,,,,,,
06/30/1996,211,173,79,-14.0,,-14.0,-27,,,,-27,,,-177.0,,,,-177.0,,,,,,,,,,177.0,,,,,,,,,,,,,,,
09/30/1996,240,161,81,9.0,,9.0,-11,,,,-11,,,-168.0,,,,-168.0,,,,,,,,,,168.0,,,,,,,,,,,,,,,
