Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
07/01/1989,11.994825,9.934685,7.999477,1.935208,0.73727,,,0.962401,,,,,0.10693,,,,11.741286,0.253539,0.949767,-0.696228,0.0,,0.0,,,,0.0,0.253539,,0.235083,0.235083,,,,0.0,,,,,,0.800298,,,0.800298,1.035381,0.0,,,,,0.0,,,,,,0.0,0.0,1.035381,0.0,14.783777,,,0.0,,-3.824333,10.959444,0.0,10.959444,11.994825,
09/30/1989,11.456727,9.177031,6.284965,2.892066,0.707321,,,1.051037,,,,,0.235646,,,,11.171035,0.285692,1.018655,-0.732963,0.0,,0.0,,,,0.0,0.285692,,0.251788,0.251788,,,,0.0,,,,,,0.720161,,,0.720161,0.971949,0.0,,,,,0.0,,,,,,0.0,0.0,0.971949,0.0,14.805112,,,0.0,,-4.320334,10.484778,0.0,10.484778,11.456727,
12/30/1989,27.858761,25.698071,8.288903,17.409168,0.59035,,,0.94532,,,,,0.187328,,,,27.421068,0.437691,1.208538,-0.770847,0.0,,0.0,,,,0.0,0.437691,,0.231328,0.231328,,,,0.0,,,,,,0.690392,,,0.690392,0.92172,0.0,,,,,0.0,,,,,,0.0,0.0,0.92172,0.0,31.746159,,,0.0,,-4.809118,26.937041,0.0,26.937041,27.858761,
03/31/1990,27.70047,24.592472,5.417541,19.174931,0.692228,,,1.118245,,,,,0.226607,,,,26.629551,1.07092,1.897395,-0.826475,0.0,,0.0,,,,0.0,1.07092,,0.543527,0.543527,,,,0.0,,,,,,0.742743,,,0.742743,1.28627,0.0,,,,,0.0,,,,,,0.0,0.0,1.28627,0.0,31.737671,,,0.0,,-5.323478,26.414193,0.0,26.414193,27.700463,
06/30/1990,26.640429,23.539663,6.344637,17.195026,0.634971,,,1.123502,,,,,0.187535,,,,25.48567,1.154758,2.029599,-0.874841,0.0,,0.0,,,,0.0,1.154758,,0.256786,0.256786,,,,0.0,,,,,,0.707644,,,0.707644,0.96443,0.0,,,,,0.0,,,,,,0.0,0.0,0.96443,0.0,31.754313,,,0.0,,-6.078313,25.676,0.0,25.676,26.64043,
09/30/1990,30.189667,22.534805,7.748067,14.786738,0.606423,,,1.074037,,,,,0.242806,,,,24.458071,1.136366,2.065746,-0.92938,0.0,,4.595229,,,,4.595229,5.731595,,0.290069,0.290069,,,,0.0,,,,,,0.613567,,,0.613567,0.903636,0.0,,,,,7.514061,,,,,,7.514061,7.514061,8.417697,0.0,31.78466,,,0.0,,-10.012692,21.771968,0.0,21.771968,30.189665,
12/29/1990,29.526915,21.53032,9.227559,12.302761,0.862348,,,1.109478,,,,,0.189522,,,,23.691668,1.093806,2.092264,-0.998458,0.0,,4.741441,,,,4.741441,5.835247,,0.244169,0.244169,,,,0.0,,,,,,0.620374,,,0.620374,0.864543,0.0,,,,,7.692533,,,,,,7.692533,7.692533,8.557076,0.0,31.775539,,,0.0,,-10.8057,20.969839,0.0,20.969839,29.526915,
03/31/1991,29.9135,21.792231,8.081361,13.71087,0.686431,,,1.151253,,,,,0.385504,,,,24.015421,1.051459,2.128397,-1.076938,0.0,,4.846614,,,,4.846614,5.898073,,0.290064,0.290064,,,,0.0,,,,,,0.573751,,,0.573751,0.863815,0.0,,,,,7.847408,,,,,,7.847408,7.847408,8.711223,0.0,33.130539,,,0.0,,-11.92826,21.202279,0.0,21.202279,29.913502,
06/30/1991,28.827669,20.477082,4.526883,15.950199,1.026575,,,1.091849,,,,,0.308733,,,,22.90424,0.991571,2.143472,-1.151901,0.0,,4.931859,,,,4.931859,5.92343,,0.287695,0.287695,,,,0.0,,,,,,0.407204,,,0.407204,0.694899,0.0,,,,,7.965496,,,,,,7.965496,7.965496,8.660395,0.0,33.138405,,,0.0,,-12.97113,20.167274,0.0,20.167274,28.82767,
09/30/1991,27.827421,20.085821,6.197587,13.888234,0.561419,,,0.983678,,,,,0.253514,,,,21.884432,0.926313,2.15387,-1.227557,0.0,,5.016677,,,,5.016677,5.94299,,0.318728,0.318728,,,,0.0,,,,,,0.453533,,,0.453533,0.772261,0.0,,,,,8.105756,,,,,,8.105756,8.105756,8.878017,0.0,33.138103,,,0.0,,-14.188699,18.949405,0.0,18.949405,27.827422,
