Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,3321.899902,-1352.599976,1969.299927,-1375.900024,593.400024,-168.199997,0.0,-7.0,418.200027,-126.800003,291.399994,0.0,0.0,291.399994,0.0,291.399994,,291.400024,0.73,0.73,0.73,398.0,,,,,
06/30/1990,3447.100098,-1404.099976,2043.000122,-1438.300049,604.700012,-175.300003,0.0,6.2,435.600009,-135.0,300.600006,0.0,0.0,300.600006,0.0,300.600006,,300.600009,0.76,0.76,0.76,396.0,,,,,
09/30/1990,3395.100098,-1587.900024,1807.200073,-1226.300049,580.900024,-176.600006,0.0,9.9,414.200018,-117.5,296.700012,0.0,0.0,296.700012,0.0,296.700012,,296.700018,0.75,0.75,0.75,395.799988,,,,,
12/31/1990,3421.199951,-1420.800049,2000.399902,-1764.099976,236.300003,-179.899994,0.0,-6.7,49.700009,11.0,60.700001,0.0,0.0,60.700001,0.0,60.700001,,60.700009,0.15,0.15,0.15,399.118988,0.15,0.15,0.15,399.118988,
03/31/1991,3356.399902,-1375.199951,1981.199951,-1400.400024,580.799988,-180.600006,0.0,-5.2,394.999982,-125.5,269.5,0.0,0.0,269.5,0.0,269.5,,269.499982,0.67,0.67,0.67,401.0,,,,,
06/30/1991,3361.0,-1347.300049,2013.699951,-1410.5,603.200012,-180.100006,0.0,-2.1,421.000006,-130.199997,290.799988,0.0,0.0,290.799988,0.0,290.799988,,290.800009,0.72,0.72,0.72,403.0,,,,,
09/30/1991,3271.600098,-1432.099976,1839.500122,-1239.300049,600.200012,-185.800003,0.0,9.9,424.300009,-132.5,291.799988,0.0,0.0,291.799988,0.0,291.799988,,291.800009,0.7,0.7,0.7,404.799988,,,,,
12/31/1991,3239.800049,-1495.0,1744.800049,-1920.599976,-175.800003,-179.5,,-92.099998,-447.400001,196.100006,-251.300003,0.0,0.0,-251.300003,,-251.300003,,-251.299995,-0.6,-0.6,-0.6,406.558014,-0.6,-0.6,-0.6,406.558014,
03/31/1992,3237.899902,-1352.599976,1885.299927,-1258.099976,627.200012,-168.300003,0.0,33.599998,492.500008,-156.300003,336.200012,0.0,0.0,336.200012,0.0,336.200012,,336.200005,0.825,0.825,0.825,408.200012,,,,,
06/30/1992,3284.100098,-1359.099976,1925.000122,-1267.900024,657.099976,-168.800003,0.0,-1.2,487.099972,-156.0,331.100006,0.0,0.0,331.100006,0.0,331.100006,,331.099972,0.81,0.81,0.81,409.799988,,,,,
09/30/1992,3324.699951,-1336.599976,1988.099976,-1363.0,625.099976,-177.699997,0.0,14.7,462.099978,-142.399994,319.700012,0.0,0.0,319.700012,0.0,319.700012,,319.699985,0.775,0.775,0.775,411.399994,,,,,
