Date,Revenue,Rental Income,Base Rent,Recoveries from Tenants,Percentage Rent,Other Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,Real Estate Tax,Maintenance Expense,Other Property Expense,General & Administrative,Depreciation & Amortization,Provision for Loan Losses,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,D&A of Uncon Real Estate,Impairment of Assets,Disposal of Con Assets,Disposal of Uncon Assets,Income Taxes,Other FFO Adjustments,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Straight-Line Rent,Recurring Capital Expenditure,Tenant Improv & Leasing Com,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
03/31/1994,31.403,30.058001,,,,,,0.704,0.0,0.641,-16.606,9.017,,,,2.121,5.468,,,0.0,14.797,-4.575,4.575,,0.0,10.222,0.0,,0.825,,,9.397,,9.397,,,7.944,7.944,,90.148504,0.088889,0.097778,0.097778,90.148504,0.088889,0.097778,0.097778,,,,,,,,,14.436,,14.436,,,,14.436,0.160136,0.160136,0.111111,69.385568,69.385568,69.402883,
06/30/1994,32.320999,31.124001,,,,,,0.695,0.0,0.502,-17.358,9.117,,,,2.203,6.038,,,0.0,14.963,-4.847,4.847,,0.0,10.116,0.0,,0.0,,,10.116,,10.116,,,8.613,8.613,,91.107001,0.095556,0.095556,0.095556,91.107001,0.095556,0.095556,0.095556,,,,,,,,,14.902,,14.902,,,,14.902,0.163566,0.163566,0.111111,67.930478,67.930478,67.272845,
09/30/1994,32.693001,32.006001,,,,,,0.529,0.0,0.158,-17.164001,8.982,,,,2.197,5.985,,,0.0,15.529,-5.26,5.26,,0.0,10.269,0.0,,0.0,,,10.269,,10.269,,,8.816,8.816,,90.243004,0.097778,0.097778,0.097778,90.243004,0.097778,0.097778,0.097778,,,,,,,,,15.001,,15.001,,,,15.001,0.166229,0.166229,0.111111,66.842212,66.842212,66.842212,
12/31/1994,33.844002,32.084,,,,,,1.043,0.0,0.717,-17.464,9.486,,,,1.991,5.987,,,0.0,16.380001,-5.801,5.801,,0.0,10.579,0.0,,0.0,,,10.579,,10.464,,,9.061,9.061,,90.269998,0.1,0.1,0.1,90.269998,0.1,0.1,0.1,,,,,,,,,15.299,,15.299,,,,15.299,0.16948,0.16948,0.12,70.80463,70.80463,65.566379,
03/31/1995,35.709999,34.448002,,,,,,0.983,0.0,0.279,-17.495,9.244,,,,2.112,6.139,,,0.0,18.215,-6.209,6.209,,0.0,12.006,0.0,,0.0,,,12.006,,12.006,,,10.553,10.553,,97.821004,0.108889,0.108889,0.113333,97.821004,0.108889,0.108889,0.108889,,,,,,,,,16.892,,16.892,,,,16.892,0.172683,0.172683,0.12,69.491598,69.491598,71.507224,
06/30/1995,37.410999,36.453999,,,,,,0.697,0.0,0.26,-18.175,9.61,,,,2.18,6.385,,,0.0,19.236,-6.375,6.375,,0.0,12.861,0.0,,0.0,,,12.861,,12.861,,,11.408,11.408,,100.764001,0.113333,0.113333,0.113333,100.764001,0.113333,0.113333,0.113333,,,,,,,,,17.992001,,17.992001,,,,17.992001,0.178556,0.178556,0.12,67.20587,67.20587,67.235436,
09/30/1995,38.426998,35.958,,,,,,1.068,0.0,1.401,-18.177,9.035,,,,2.244,6.898,,,0.0,20.25,-6.376,6.376,,0.0,13.874,0.0,,0.0,,,13.874,,13.874,,,11.664999,11.664999,,100.912497,0.115556,0.115556,0.115556,100.912497,0.115556,0.115556,0.115556,,,,,,,,,18.393999,,18.393999,,,,18.393999,0.182277,0.182277,0.12,65.833971,65.833971,65.852998,
12/31/1995,38.299999,36.271999,,,,,,0.988,0.0,1.04,-18.279,9.217,,,,2.296,6.766,,,0.0,20.021,-6.625,6.625,,0.0,13.396,0.0,,0.0,,,13.396,,13.18,,,10.664,10.664,,99.975002,0.106667,0.106667,0.106667,99.975002,0.106667,0.106667,0.106667,,,,,,,,,18.85,,18.85,,,,18.85,0.188547,0.188547,0.13,68.948274,68.948274,64.514589,
03/31/1996,43.703999,42.581001,,,,,,0.759,0.0,0.364,-20.912,12.042,,,,2.421,6.449,,,0.0,22.792,-6.865,6.865,,0.0,15.927,0.0,,0.0,,,15.927,,15.927,,,13.411,13.411,,105.600002,0.126667,0.126667,0.126667,105.600002,0.126667,0.126667,0.126667,,,,,,,,,20.111,,20.111,,,,20.111,0.190445,0.190445,0.13,68.261149,68.261149,69.931879,
06/30/1996,45.639999,43.345001,,,,,,0.988,0.0,1.308,-20.487,11.102,,,,2.521,6.864,,,0.0,25.152,-6.714,6.714,,0.0,18.438,0.0,,0.0,,,18.438,,18.438,,,14.038,14.038,,108.183002,0.13,0.13,0.13,108.183002,0.13,0.13,0.13,,,,,,,,,21.153,,21.153,,,,21.153,0.19553,0.19553,0.13,66.48603,66.48603,66.553208,
09/30/1996,44.638,40.837002,,,,,,0.946,0.0,2.854,-18.865,9.372,,,,2.573,6.92,,,0.0,25.774,-5.941,6.743,,-0.802,19.833,0.0,,0.0,,,19.833,,19.833,,,15.224,15.224,,108.446995,0.14,0.14,0.14,108.446995,0.14,0.14,0.14,,,,,,,,,21.642,,21.642,,,,21.642,0.199563,0.199563,0.13,65.142356,65.142356,65.178818,
12/31/1996,46.826,41.381001,,,,,,0.755,0.0,4.69,-20.03,10.377,,,,2.819,6.834,,,0.0,26.796001,-6.697,6.697,,0.0,20.099001,0.0,,0.0,,,20.099001,,19.629,,,15.019,15.019,,108.569996,0.14,0.14,0.14,108.569996,0.14,0.14,0.14,,,,,,,,,22.200001,,22.200001,,,,22.200001,0.204476,0.204476,0.143333,70.097744,70.097744,71.495492,
03/31/1997,47.347,45.195,,,,,0.0,0.788,0.0,1.363,-21.363,11.709,,,,2.755,6.899,0.0,,0.0,25.984,-5.38,6.296,-0.916,0.0,20.604,0.0,,0.0,,,20.604,,20.604,,,15.995,15.995,,108.600002,0.146667,0.146667,0.146667,110.147999,0.146667,0.146667,0.146667,,,,,,,,,23.143999,,23.143999,,,,23.143999,0.210117,0.210117,0.143333,68.215869,68.215869,67.257175,
06/30/1997,47.866001,45.276001,,,,,0.0,1.075,0.0,1.514,-21.181999,11.341,,,,2.78,7.061,0.0,,0.0,26.682,-5.637,6.775,-0.894,-0.244,21.045,0.0,,0.0,,,21.045,,21.045,,,16.436,16.436,,108.899998,0.15,0.15,0.15,108.899998,0.15,0.15,0.15,,,,,,,,,23.552999,,23.552999,,,,23.552999,0.216281,0.216281,0.143333,66.271814,66.271814,66.288797,
09/30/1997,53.311001,50.823002,,,,,0.0,0.891,0.0,1.597,-24.384,13.616,,,,2.991,7.777,0.0,,0.0,28.928,-8.287,9.182,-0.895,0.0,20.641,0.0,,0.0,,,20.641,,20.641001,,,16.032001,16.032001,,109.898997,0.146667,0.146667,0.146667,109.898997,0.146667,0.146667,0.146667,,,,,,,,,24.108999,,24.108999,,,,24.108999,0.219374,0.219374,0.143333,65.337385,65.337385,72.03949,
12/31/1997,59.707001,57.634998,,,,,0.0,0.522,0.0,1.55,-28.188999,16.747999,,,,3.125,8.316,0.0,,0.0,31.517999,-7.508,9.492,-1.984,0.0,24.009999,0.0,,0.0,,,24.009999,,23.546,,,18.934999,18.934999,,121.256996,0.156667,0.156667,0.156667,127.101002,0.153333,0.153333,0.153333,,,,,,,,,27.377001,,27.377001,,,,27.377001,0.215396,0.215396,0.16,74.281913,74.281913,70.86605,
03/31/1998,65.350998,63.112,,,,,0.0,0.802,0.0,1.438,-30.646,18.565001,,,,3.181,8.9,0.0,,0.0,34.705,-9.222,11.039,-0.916,-0.901,25.483,0.0,,0.0,,,25.483,,25.483999,,,20.874999,20.874999,,121.227001,0.173333,0.173333,0.173333,122.753998,0.17,0.17,0.17,,,,,,,,,29.073999,,29.073999,,,,29.073999,0.236848,0.236848,0.16,67.553964,67.553964,66.729722,
06/30/1998,72.028,69.341003,,,,,0.0,0.73,0.0,1.957,-33.038,19.223,,,,3.824,9.991,0.0,,0.0,38.99,-11.46,12.372,-0.912,0.0,27.53,0.0,,0.0,,,27.53,,27.530001,,,22.486001,22.486001,,132.387005,0.17,0.17,0.17,134.147999,0.166667,0.166667,0.166667,,,,,,,,,32.676998,,32.676998,,,,32.676998,0.243589,0.243589,0.16,65.684367,65.684367,81.445671,
