Date,Revenue,Cost of Revenue,Gross Profit,Other Operating Income,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1995,45.667,,,,,,,,,,,,,,0.474,,,0.474,,,,,0.04,0.04,12.96,0.04,0.04,0.04,12.96,
06/30/1995,57.27,,,,,,,,,,,,,,0.56,,,0.56,,,,,0.07,0.03,17.195999,0.07,0.07,0.03,17.195999,
09/30/1995,76.017998,,,,,,,,,,,,,,1.495,,,1.495,,,,,0.11,0.09,17.219,0.11,0.11,0.09,17.219,
12/31/1995,3404.421875,,,,,3404.421875,,,,,,3404.421875,,,-118.056,,,-118.056,,,,-0.32,-0.32,-0.26,141.910004,-0.32,-0.32,-0.26,141.910004,
03/31/1996,1237.714966,,,,-1181.063965,56.651001,-7.03,0.0,-34.341,15.280001,-8.878,6.402,-68.697998,0.0,-62.296001,0.0,,-62.296001,34.448002,,40.850003,0.18,0.02,-0.38,163.936996,0.18,0.02,-0.38,163.936996,
06/30/1996,1286.692017,,,,-1226.970947,59.721001,-4.158,0.0,-0.301,55.262001,-19.271,35.991001,0.0,0.0,35.991001,0.0,,35.991001,0.25,,36.241001,0.21,0.21,0.21,174.397003,0.21,0.21,0.21,174.397003,
09/30/1996,1313.019043,,,,-1246.845947,66.172997,-5.395,0.0,-263.328003,-202.550006,53.423,-149.126999,0.0,0.0,-149.126999,0.0,,-149.126999,263.0,,113.872994,0.21,-0.85,-0.85,174.716995,0.21,-0.85,-0.85,174.716995,
12/31/1996,1384.593018,,,,-1308.128052,76.464996,-8.132,0.0,-9.9,58.432997,-28.489,29.944,0.0,0.0,29.944,0.0,,29.944,11.247,,41.190996,0.24,0.17,0.17,177.421005,0.24,0.17,0.247,177.421005,
03/31/1997,591.879028,,,,-563.237976,28.641001,-4.767,0.0,0.0,23.874001,-9.366,14.508,29.889,0.0,44.396999,0.0,,44.396999,,,14.508,0.08,0.08,0.24,183.666,0.08,0.08,0.24,187.156006,
06/30/1997,599.705017,,,,-567.388977,32.316002,-6.116,0.0,0.0,26.200002,-10.273,15.927,-89.313004,0.0,-73.386002,0.0,,-73.386002,,,15.927002,0.09,0.09,-0.39,184.570007,0.08,0.08,-0.4,187.595001,
09/30/1997,578.039978,,,,-545.232971,32.806999,-6.808,0.0,0.0,25.998999,-10.195,15.804,33.365002,0.0,49.168999,0.0,,49.168999,,,15.803999,0.08,0.08,0.26,186.690994,0.08,0.08,0.26,190.382004,
12/31/1997,593.780029,-554.461975,39.318054,,-32.564999,6.753,-9.478,0.0,-10.61,-13.335,5.145,-8.19,-832.60498,0.0,-840.794983,0.0,,-840.794983,10.61,-4.211,-1.791,-0.01,-0.04,-4.47,187.888,-0.01,-0.04,-4.47,187.888,
03/31/1998,620.226013,-564.927979,55.298035,,-25.65,29.648001,-19.316,0.0,0.0,10.332001,-3.926,6.406,-31.486,0.0,-25.08,0.0,,-25.08,,,6.406001,0.03,0.03,-0.14,188.610001,0.03,0.03,-0.14,189.432007,
06/30/1998,639.45697,-580.46698,58.98999,,-26.450001,32.540001,-21.723,0.0,-9.5,1.317001,-0.5,0.817,-24.080999,0.0,-23.264,0.0,,-23.264,9.5,-3.311,7.006001,0.04,0.01,-0.12,189.244995,0.04,0.01,-0.12,189.612,
09/30/1998,660.608,-596.024,64.584,,-25.187,39.397,,,-19.525,19.872,-7.551,12.321,-3.709,,8.612,,0.0,8.612,75.2,-26.32,61.201,0.29,0.064989,0.04,189.585,0.29,0.059556,0.04,189.659,
12/31/1998,713.726013,-642.244995,71.481018,,-31.365999,40.115002,-22.024,0.0,0.0,18.091002,-6.875,11.216,-1231.949951,0.0,-1220.734009,0.0,,-1220.734009,,,11.216002,0.06,0.06,-6.42,190.078003,0.06,0.06,-6.38,191.214996,
03/31/1999,785.057983,-715.866028,69.191956,,-30.330999,38.861,,0.0,-27.058001,11.802999,-0.968,10.835,0.0,0.0,10.835,0.0,,10.835,,,10.835,0.06,0.06,0.06,190.195007,0.06,0.06,0.06,192.556,
06/30/1999,796.20697,-722.932007,73.274963,,-30.138,43.137001,,0.0,-30.502001,12.635,-0.94,11.695,-199.309998,0.0,-187.615005,0.0,,-187.615005,,,11.695,0.06,0.06,-0.99,190.649994,0.06,0.06,-0.96,195.285004,
09/30/1999,812.996,-738.054,74.942,0.0,-30.501,44.441,-29.335,,0.0,15.106,-1.179,13.927,,,13.927,-0.035,0.0,13.892,,,13.892,0.07,0.07,0.07,190.78,0.07,0.07,0.07,197.238,
12/31/1999,913.544983,-826.911987,86.632996,,-33.681999,52.951,,0.0,-28.396999,24.554001,-1.865,22.688999,0.0,0.0,22.688999,-3.22,,19.468999,,,19.469001,0.1,0.1,0.1,190.912994,0.1,0.1,0.1,194.322006,
