Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Net Utility Plant,Source: Bloomberg
03/31/1990,54.266998,,54.227001,,4.699006,1.92749,1.48758,0.7,0.7,0.7,,,,0.2,1.748981,1.748981,1.059889,10.863103,30.874491,
06/30/1990,54.323002,,54.297001,,4.353758,1.488535,1.019504,0.44,0.44,0.44,,,,0.2,0.569461,0.569461,0.639324,11.105443,31.209836,
09/30/1990,54.381001,,54.352001,,4.736587,1.767902,1.280781,0.61,0.61,0.61,,,,0.2,1.062279,1.062279,0.197532,11.516026,31.547875,
01/01/1991,54.441002,,54.411999,,4.579229,1.428288,0.93303,0.45,0.45,0.45,,,,0.22,0.776906,0.776906,0.053361,11.741904,32.076871,
03/31/1991,54.533001,,54.494999,,5.21145,1.754473,1.252262,0.61,0.61,0.61,,,,0.22,1.497514,1.497514,0.480645,12.137531,32.051382,
06/30/1991,54.597,,54.564999,,5.087822,1.559773,1.053478,0.47,0.47,0.47,,,,0.22,1.014881,1.014881,0.461784,12.398428,32.350111,
09/30/1991,54.664001,,54.629002,,5.398689,1.676015,1.161764,0.52,0.52,0.52,,,,0.22,0.206502,0.206502,0.24025,12.705089,32.670404,
12/31/1991,54.730999,,54.699001,,4.858078,1.253935,0.735809,-1.25,-1.25,-1.25,,,,0.25,0.448674,0.448674,0.395918,11.214193,33.066928,
03/31/1992,54.862999,,54.804001,,4.979618,1.589774,1.067513,0.45,0.45,0.45,,,,0.25,1.126615,1.126615,0.100031,11.405975,33.391721,
06/30/1992,54.972,,54.922001,,4.694294,1.374768,0.847912,0.34,0.34,0.34,,,,0.25,0.025691,0.025691,0.099996,11.4998,34.107874,
09/30/1992,55.200001,,55.112999,,4.967866,1.644676,1.109448,0.43,0.43,0.43,,,,0.25,1.024187,1.024187,0.123786,11.710109,34.765633,
12/31/1992,55.307999,55.261002,55.261002,,5.004126,1.693744,1.150214,0.52,0.52,0.52,0.52,0.52,0.52,0.28,1.021462,1.021462,0.176593,11.965972,36.007324,
03/31/1993,55.493999,,55.416,,5.232316,1.822831,1.276418,0.59,0.59,0.59,,,,0.28,0.258662,0.258662,0.136141,12.24709,36.74909,
06/30/1993,56.867001,,55.566002,,4.013299,0.839074,0.282313,0.19,0.19,0.19,,,,0.28,1.367725,1.367725,0.189143,11.897445,37.087149,
09/30/1993,56.955002,,55.660999,,5.293724,1.576328,0.99143,0.41,0.41,0.41,,,,0.28,1.5711,1.5711,0.148222,12.044104,38.062082,
12/31/1993,57.040001,,55.805,,5.031019,1.731494,1.139289,0.54,0.54,0.54,,,,0.31,2.190897,2.190897,0.114849,12.314586,39.219111,
03/31/1994,57.240002,,56.105999,,5.407176,1.767868,1.171996,0.52,0.52,0.52,,,,0.31,-1.173814,-1.173814,0.060465,12.583141,39.537021,
06/30/1994,57.353001,,56.285,,5.00231,1.450848,0.850848,0.27,0.27,0.27,,,,0.31,0.375677,0.375677,0.110561,12.550137,40.255644,
09/30/1994,57.465,0.31,56.398998,,5.020213,1.439299,0.832745,0.27,0.27,0.27,,,,0.31,0.525648,0.525648,0.120369,12.535021,40.892439,
