Date,Level 2 Assets,Total FV Assets,Level 2 Assets/Total Equity,Total FV Assets/Total Equity,Level 2 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
09/30/2013,2235,2235,55.011146,55.011146,27.105447,27.105447,
09/30/2014,2269,2269,48.814343,48.814343,26.661916,26.661916,
03/31/2015,2285,2285,47.530939,47.530939,25.460682,25.460682,
06/30/2015,2254,2254,44.906222,44.906222,24.949923,24.949923,
09/30/2015,2257,2257,44.005494,44.005494,23.926643,23.926643,
12/31/2015,3137,3137,59.200441,59.200441,30.850584,30.850584,
03/31/2016,3204,3204,58.883691,58.883691,31.336778,31.336778,
06/30/2016,3233,3233,58.24158,58.24158,31.397135,31.397135,
09/30/2016,3229,3229,56.525095,56.525095,30.810692,30.810692,
12/31/2016,4359,4359,75.299735,75.299735,30.429474,30.429474,
03/31/2017,4373,4373,73.23989,73.23989,30.730734,30.730734,
06/30/2017,4402,4402,70.994435,70.994435,30.971018,30.971018,
09/30/2017,4404,4404,68.184098,68.184098,30.91248,30.91248,
12/31/2017,3979,3979,57.972797,57.972797,27.793275,27.793275,
03/31/2018,3909,3909,54.629306,54.629306,27.774423,27.774423,
06/30/2018,3871,3871,53.00634,53.00634,25.200182,25.200182,
09/30/2018,4845,4845,64.130564,64.130564,31.780703,31.780703,
12/31/2018,4044,4044,52.25819,52.25819,26.518902,26.518902,
03/31/2019,4167,4167,51.208003,51.208003,27.03369,27.03369,
06/30/2019,4249,4249,50.880134,50.880134,26.709328,26.709328,
09/30/2019,5514,5514,64.330965,64.330965,30.944324,30.944324,
12/31/2019,5531,5531,58.270736,58.270736,30.542993,30.542993,
03/31/2020,5413,5413,56.436562,56.436562,29.843752,29.843752,
06/30/2020,6383,6383,64.607225,64.607225,33.345,33.345,
