Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
01/27/1990,375.954987,160.506997,148.184998,12.322,100.002998,,,17.861,,,,,20.16,,,,,298.531006,71.793999,109.664001,-37.869999,0.0,,5.63,,,,5.63,77.423999,,19.906,19.906,,,,2.533,,,,43.566997,,,43.566997,66.005997,56.327999,,,,0.0,,,0.0,56.327999,122.333996,0.0,118.412003,,,0.0,,135.209,253.621002,0.0,253.621002,375.954998,
04/28/1990,403.096008,180.828006,173.628006,7.2,110.422997,,,14.134,,,,,18.745001,,,,,324.130005,73.714996,116.152,-42.437,0.0,,5.251,,,,5.251,78.965996,,21.702,21.702,,,,2.529,,,,41.617,,,41.617,65.848,55.757,,,,0.0,,,0.0,55.757,121.605,0.0,125.742996,,,0.0,,155.748001,281.490997,0.0,281.490997,403.095997,
07/28/1990,449.526001,206.981003,200.981003,6.0,119.097,,,13.483,,,,,18.500999,,,,,358.062012,76.341003,121.417999,-45.077,0.0,,15.123,,,,15.123,91.464004,,22.658001,22.658001,,,,2.24,,,,55.860002,,,55.860002,80.758003,54.907001,,,,0.0,,,0.0,54.907001,135.665005,0.0,131.966995,,,0.0,,181.893997,313.860992,0.0,313.860992,449.525997,
10/27/1990,494.437988,254.776001,173.410004,81.365997,110.981003,,,12.117,,,,,24.257,,,,,402.131012,79.350998,125.649002,-46.298,0.0,,12.956,,,,12.956,92.306998,,22.375,22.375,,,,1.919,,,,69.495001,,,69.495001,93.789001,2.366,,,,0.0,,,0.0,2.366,96.155001,0.0,183.817001,,,0.0,,214.466003,398.283004,0.0,398.283004,494.438005,
01/26/1991,538.841003,295.583,181.725998,113.857002,114.877998,,,6.428,,,,,25.530001,,,,,442.419006,83.221001,135.154007,-51.932999,0.0,,13.201,,,,13.201,96.422001,,15.31,15.31,,,,1.746,,,,73.532996,,,73.532996,90.588997,2.043,,,,0.0,,,0.0,2.043,92.631997,0.0,192.960007,,,0.0,,245.054993,438.014999,8.194,446.209,538.840997,
04/27/1991,578.828003,299.75,177.901001,121.848999,131.212006,,,7.387,,,,,24.944,,,,,463.292999,87.410004,144.447998,-57.037998,0.0,,28.125,,,,28.125,115.535004,,22.754999,22.754999,,,,1.561,,,,58.026004,,,58.026004,82.342003,1.969,,,,0.0,,,0.0,1.969,84.311003,0.0,203.216995,,,0.0,,283.265015,486.48201,8.035,494.51701,578.828013,
07/27/1991,637.627014,294.955002,191.574005,103.380997,143.098999,,,7.1,,,,,25.191,,,,,470.345001,136.440994,199.919998,-63.479,0.0,,30.841,,,,30.841,167.281994,,15.463,15.463,,,,1.363,,,,69.453998,,,69.453998,86.279999,1.729,,,,0.0,,,0.0,1.729,88.008999,0.0,215.186005,,,0.0,,326.253998,541.440002,8.178,549.618003,637.627002,
10/26/1991,726.25,346.764999,167.447006,179.317993,163.636993,,,11.783,,,,,30.917999,,,,,553.103027,141.936996,211.690002,-69.752998,0.0,,31.209999,,,,31.209999,173.146995,,28.052,28.052,,,,1.181,,,,89.016001,,,89.016001,118.249001,1.208,,,,0.0,,,0.0,1.208,119.457001,0.0,221.410995,,,0.0,,377.174011,598.585006,8.208,606.793006,726.250007,
02/01/1992,796.937988,397.177002,183.962997,213.214005,160.910995,,,12.333,,,,,34.459999,,,,,604.880981,158.406006,245.354004,-86.947998,0.0,,33.651001,,,,33.651001,192.057007,,21.635,21.635,,,,1.483,,,,92.672001,,,92.672001,115.790001,1.285,,,,0.0,,,0.0,1.285,117.075001,0.0,266.216003,,,0.0,,404.492004,670.708008,9.155,679.863008,796.938008,
05/02/1992,859.249023,419.563995,203.903,215.660995,187.317001,,,11.901,,,,,37.812,,,,,656.593994,163.440994,257.42099,-93.980003,0.0,,39.214001,,,,39.214001,202.654995,,20.472,20.472,,,,1.348,,,,72.840003,,,72.840003,94.660004,1.085,,,,0.0,,,0.0,1.085,95.745004,0.0,289.269012,,,0.0,,465.355011,754.624023,8.88,763.504024,859.249027,
