Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Cash from Financing Activities,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,851.866028,,,,-34.070999,,,,
06/30/1990,,-60.741001,,,,-108.098,,,,
09/30/1990,,-79.989998,,,,-32.924999,,,,
12/31/1990,,-148.817001,,,,25.045,,,,
03/31/1991,,-169.078995,,,,-75.913002,,,,
06/30/1991,,-133.675003,,,,69.403999,,,,
09/30/1991,,76.997002,,,,-6.385,,,,
12/31/1991,,-125.323997,,,,107.551003,,,,
03/31/1992,,-99.059998,,,,-39.230999,,,,
06/30/1992,,-65.820999,,,,40.59,,,,
09/30/1992,,-57.979,,,,38.365002,,,,
12/31/1992,,-62.745998,,,,121.896004,,,,
03/31/1993,,-14.009,,,,479.967987,,,,
06/30/1993,,-22.096001,,,,-370.028015,,,,
09/30/1993,,-28.704,,,,92.771004,,,,
12/31/1993,,-207.507004,403.598999,253.093002,-89.853996,91.810997,,,,
03/31/1994,,-8.312,,,,56.974998,,,,
06/30/1994,,136.953003,,,,96.114998,,,,
