Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/28/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/29/1998,114.637001,35.195999,35.195999,0.0,12.874,,,21.368999,,,,,2.888,,,,72.327003,13.972,19.191,-5.219,0.0,28.337999,,,,28.337999,42.309999,,3.147,3.147,,,,0.326,,,,,5.921,,,5.921,9.394,0.0,,,,1.949,,,,,,1.949,1.949,11.343,0.0,92.250999,,,0.0,,11.043,103.294,0.0,103.294,114.637,
06/28/1998,117.166,40.103001,40.103001,0.0,11.202,,,18.650999,8.773,2.04,7.838,0.0,1.972,,,,71.928001,17.454,23.916,-6.462,0.0,27.784,26.167,,,1.617001,45.238001,,3.524,3.524,,,,0.326,,,,,5.024,,,5.024,8.874,0.0,,,,1.949,,,,,,1.949,1.949,10.823,0.0,92.250999,,,0.0,,14.092,106.342999,0.0,106.342999,117.165999,
09/27/1998,154.988998,11.611,11.611,0.0,20.485001,,,32.341,12.858,4.37,15.113,,4.889,,,,69.325996,32.400002,39.805,-7.405,0.0,53.263,51.431,,,1.832001,85.663002,,6.687,6.687,,,,7.215,,,,,11.57,,,11.57,25.472,18.195999,,,,4.122,,,,,,4.122,22.317999,47.789999,0.0,92.250999,,,0.0,,14.948,107.198999,0.0,107.198999,154.988999,
12/27/1998,153.979004,10.781,10.781,0.0,17.865,,,32.396,16.039,5.001,11.359,0.0,5.395,,,,66.436996,34.608002,42.653,-8.045,0.0,52.933998,51.019001,,,1.914997,87.542,,6.273,6.273,,,,17.705999,,,,,10.188001,,,10.188001,34.167,7.645,,,,3.905,,,,,,3.905,11.55,45.717,0.0,92.385002,,,0.0,,15.877,108.262002,0.0,108.262002,153.979002,
03/28/1999,180.367004,3.099,3.099,0.0,24.677999,,,39.805,18.976999,7.122,13.706,0.0,6.909,,,,74.490997,38.272999,51.594002,-13.321,0.0,67.602997,64.871002,,,2.731995,105.875996,,9.455,9.455,,,,44.896999,,,,,12.483999,,,12.483999,66.835999,7.865,,,,3.901,,,,,,3.901,11.766,78.601998,0.0,92.425781,,,0.0,,9.339,101.764781,0.0,101.764781,180.366779,
06/27/1999,197.505997,2.751,2.751,0.0,32.560001,,,45.25,25.764,6.769,12.717,0.0,6.163,,,,86.723999,44.631001,59.471001,-14.84,0.0,66.151001,62.943001,,,3.208,110.782001,,13.525,13.525,,,,58.028999,,,,,13.686998,,,13.686998,85.240997,6.836,,,,3.771,,,,,,3.771,10.607,95.847997,0.0,92.426003,,,0.0,,9.232,101.658003,0.0,101.658003,197.506,
09/26/1999,258.705994,43.241001,43.241001,0.0,45.382,,,48.528,27.981001,8.628,11.919,0.0,6.094,,,,143.244995,50.291,67.238998,-16.948,0.0,65.169998,62.338001,,,2.831997,115.460999,,15.17,15.17,,,,11.998,,,,,18.964,,,18.964,46.132,5.718,,,,3.641,,,,,,3.641,9.359,55.491,0.0,187.955002,,,0.0,,15.26,203.215002,0.0,203.215002,258.706002,
01/02/2000,295.104004,63.769001,63.769001,0.0,45.805,,,61.834,40.970001,8.36,12.504,0.0,5.655,,,,177.063004,55.608002,72.324997,-16.716999,0.0,62.432999,59.216999,,,3.216,118.041,,13.107,13.107,,,,18.282,,,,,19.394001,,,19.394001,50.783001,4.221,,,,2.869,,,,,,2.869,7.09,57.873001,0.0,212.220001,,,0.0,,25.011,237.231001,0.0,237.231001,295.104002,
04/02/2000,294.570007,47.603001,47.603001,0.0,54.164001,,,67.934998,43.415001,12.901,11.619,0.0,6.664,,,,176.365997,56.062,72.778999,-16.716999,0.0,62.141998,57.076,,,5.065998,118.203999,,15.621,15.621,,,,10.021,,,,,14.863001,,,14.863001,40.505001,3.689,,,,2.835,,,,,,2.835,6.524,47.029001,0.0,226.360992,,,0.0,,21.18,247.540993,0.0,247.540993,294.569994,
07/02/2000,457.886993,12.834,12.834,0.0,86.459999,,,109.543999,73.475998,18.898001,17.17,0.0,7.805,,,,216.643005,75.388,97.551003,-22.163,0.0,165.856003,158.809998,,,7.046005,241.244003,,39.179001,39.179001,,,,95.864998,,,,,30.678001,,,30.678001,165.722,11.529,,,,3.387,,,,,,3.387,14.916,180.638,0.0,241.533997,,,0.0,,35.715,277.248997,0.0,277.248997,457.886997,
10/01/2000,557.452026,19.577999,19.577999,0.0,111.617996,,,153.175003,111.600998,29.139999,12.434,0.0,10.343,,,,294.713989,87.800003,112.931999,-25.132,0.0,174.938004,161.785004,,,13.153,262.738007,,48.467999,48.467999,,,,158.048004,,,,,44.250996,,,44.250996,250.766998,10.289,,,,10.312,,,,,,10.312,20.601,271.367998,0.0,241.867004,,,0.0,,44.216999,286.084003,0.0,286.084003,557.452002,
12/31/2000,782.317017,137.113007,137.113007,0.0,124.306,,,225.121002,189.130997,19.844999,16.145,0.0,16.563,,,,503.102997,104.019997,137.164001,-33.144001,0.0,175.194,162.798996,,,12.395004,279.213997,,71.721001,71.721001,,,,25.346001,24.788001,0.558,0.558,,29.211998,,,29.211998,126.278999,9.412,9.131,0.281,0.281,12.898,,,,,,12.898,22.309999,148.588999,0.0,564.403015,,,0.0,,69.324997,633.728012,0.0,633.728012,782.317011,
04/01/2001,774.71698,104.202003,104.202003,0.0,148.343002,,,221.817001,171.337006,19.059,31.421,0.0,16.233,,,,490.595001,119.216003,156.042007,-36.826,0.0,164.906006,154.664993,,,10.241013,284.122009,,44.488998,44.488998,,,,27.155001,26.674001,0.481,0.481,,37.708998,,,37.708998,109.352997,8.679,8.498,0.181,0.181,12.309,,,,,,12.309,20.988,130.340997,0.0,565.309021,,,0.0,,79.067001,644.376022,0.0,644.376022,774.717019,
07/01/2001,676.044006,84.230003,84.230003,0.0,110.636002,,,149.283005,112.935997,13.296,23.051001,0.0,55.66,,,,399.80899,109.174004,150.649002,-41.474998,0.0,167.061005,155.893997,,,11.167007,276.235008,,30.638,30.638,,,,21.025999,20.611999,0.414,0.414,,34.459002,,,34.459002,86.123001,8.428,8.324,0.104,0.104,11.172,,,,,,11.172,19.6,105.723001,0.0,574.286011,,,0.0,,-3.965,570.321011,0.0,570.321011,676.044012,
09/30/2001,631.445007,85.316002,85.316002,0.0,76.402,,,128.072998,95.136002,9.919,23.018,0.0,73.722,,,,363.513,104.533997,147.936005,-43.402,0.0,163.397995,154.195007,,,9.202988,267.931992,,19.750999,19.750999,,,,20.726,20.367,0.359,0.359,,36.939001,,,36.939001,77.416,7.785,7.687,0.098,0.098,11.406,,,,,,11.406,19.191,96.607,0.0,574.916992,,,0.0,,-40.078999,534.837994,0.0,534.837994,631.444994,
12/30/2001,541.903015,79.670998,79.670998,0.0,45.063999,,,149.084,123.900002,9.0,16.200001,0.0,20.952999,,,,294.772003,95.681999,144.281998,-48.599998,0.0,151.449005,129.987,51.021,78.966,21.462006,247.131004,,19.302,19.302,,,,3.724,3.479,0.245,0.245,,53.490998,,,53.490998,76.516998,7.598,7.559,0.039,0.039,7.585,,,,,,7.585,15.183,91.699998,0.0,570.505981,,,,,-120.303001,450.20298,0.0,450.20298,541.902978,
03/31/2002,512.088013,85.619003,85.619003,0.0,44.217999,,,120.224998,97.917,7.41,14.898,0.0,16.162001,,,,266.223999,93.422997,144.695999,-51.272999,0.0,152.440994,130.492004,,,21.94899,245.863991,,17.650999,17.650999,,,,1.486,1.374,0.112,0.112,,29.680002,,,29.680002,48.817001,7.563,7.524,0.039,0.039,7.502,,,,,,7.502,15.065,63.882001,0.0,573.916016,,,,,-125.709999,448.206017,0.0,448.206017,512.088018,
06/30/2002,534.14502,101.916,101.916,0.0,45.078999,,,119.089996,92.962997,7.485,18.462,0.0,14.478,,,,280.562988,91.867996,137.479996,-45.612,0.0,161.714005,142.904999,,,18.809006,253.582001,,22.021999,22.021999,,,,0.939,0.865,0.074,0.074,,30.406001,,,30.406001,53.367001,8.757,8.74,0.017,0.017,8.878,,,,,,8.878,17.635,71.002001,0.0,581.153992,,,,,-118.011002,463.14299,0.0,463.14299,534.144991,
09/30/2002,343.451996,105.570999,105.570999,0.0,44.022999,,,40.907001,24.459,7.751,8.697,0.0,12.666,,,,203.167007,64.323997,113.379997,-49.056,0.0,75.960999,50.577999,23.306,27.271999,25.382999,140.284996,,24.039,24.039,,,,1.148,1.093,0.055,0.055,,40.765004,,,40.765004,65.952003,8.455,8.455,0.0,0.0,1.641,,,,,,1.641,10.096,76.048003,0.0,584.054993,,,,,-316.651001,267.403992,0.0,267.403992,343.451995,
12/29/2002,360.863007,107.109001,107.109001,0.0,49.395,49.395,,48.750999,33.400002,5.9,9.5,0.0,24.6,,,,229.854996,59.436001,102.435997,-43.0,0.0,71.571999,50.938,23.99,26.948,20.633999,131.007999,,27.004,27.004,,,,1.289,1.274,0.015,0.015,,43.666,,,43.666,71.959,8.908,8.908,0.0,0.0,0.858,,,,,,0.858,9.766,81.725,0.0,586.117981,,,,-325.394012,18.414001,279.13797,0.0,279.13797,360.86297,
03/31/2003,350.681,103.382004,103.382004,0.0,45.380001,,,51.504002,29.5,7.1,14.9,0.0,13.636,,,,213.901993,60.831001,107.384003,-46.553001,0.0,75.947998,57.037998,26.882999,30.154999,18.91,136.778999,,28.468,28.468,,,,1.275,1.275,0.0,0.0,,31.251999,,,31.251999,60.994999,8.379,8.379,0.0,0.0,0.593,,,,,,0.593,8.972,69.966999,0.0,591.715027,,,,,-311.001007,280.71402,0.0,280.71402,350.681018,
06/30/2003,351.363007,101.162003,101.162003,0.0,51.875,,,47.502998,24.9,8.2,14.4,0.0,16.400999,,,,216.940994,60.231998,110.053001,-49.820999,0.0,74.190002,57.637001,28.02,29.617001,16.553001,134.422001,,31.554001,31.554001,,,,2.032,,,,,27.291997,,,27.291997,60.877998,8.328,,,,0.518,,,,,,0.518,8.846,69.723998,0.0,593.109985,,,,-329.644012,18.173004,281.638977,0.0,281.638977,351.362975,
09/30/2003,345.903015,98.393997,98.393997,0.0,53.265999,53.265999,,48.032001,25.9,7.5,14.6,0.0,13.95,,,,213.641998,58.956001,111.975998,-53.02,0.0,73.305,57.389,28.417999,28.971001,15.916,132.261002,,28.201,28.201,,,,2.056,,,,,26.145,,,26.145,56.402,8.419,,,,0.516,,,,,,0.516,8.935,65.337,0.0,594.960022,,,,-333.229004,18.834991,280.56601,0.0,280.56601,345.90301,
12/31/2003,349.877014,99.507004,99.507004,0.0,55.823002,55.823002,,51.215,28.5,5.0,17.700001,0.015,20.702999,,,,227.248001,59.631001,110.331001,-50.700001,0.0,62.998001,57.276001,29.141001,28.135,5.722,122.629002,,35.43,35.43,,,,11.178,,,,,26.019998,,,26.019998,72.627998,0.0,,,,1.93,,,,,,1.93,1.93,74.557998,0.0,595.531982,,,,-343.597992,23.384979,275.31897,0.0,275.31897,349.876968,
03/31/2004,330.062988,84.922997,84.922997,0.0,56.751999,56.751999,,49.936001,29.5,5.0,15.4,0.036,16.684999,,,,208.296005,57.660999,112.929001,-55.268002,0.0,64.106003,58.499001,31.333,27.166,5.607002,121.767002,,27.257,27.257,,,,1.942,,,,,24.334001,,,24.334001,53.533001,0.0,,,,1.647,,,,,,1.647,1.647,55.180001,0.0,599.099976,,,,-346.420013,22.203003,274.882965,0.0,274.882965,330.062966,
06/30/2004,332.605011,89.600998,89.600998,0.0,56.313999,56.313999,,51.852001,28.6,5.8,17.5,-0.048,13.02,,,,210.787003,59.134998,111.542999,-52.408001,0.0,62.682999,58.092999,31.648001,26.444998,4.59,121.817997,,29.899,29.899,,,,2.0,,,,,25.671,,,25.671,57.57,0.0,,,,1.474,,,,,,1.474,1.474,59.044,0.0,599.796021,,,,-350.32901,24.094025,273.561035,0.0,273.561035,332.605035,
09/30/2004,325.377991,40.983,34.514,6.469,53.151001,53.151001,,56.741001,34.0,5.6,17.1,0.041,10.032,,,,160.906998,57.133999,111.716003,-54.582001,45.521999,61.814999,57.488998,31.990999,25.497999,4.326,164.470997,,27.320999,27.320999,,,,1.187,,,,,26.221001,,,26.221001,54.729,0.0,,,,1.709,,,,,,1.709,1.709,56.438,0.0,601.013,,,,-355.701996,23.628998,268.940002,0.0,268.940002,325.378003,
