Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/24/2002,308.056,,,-225.337997,,82.718002,,-44.171001,,,,38.547001,-13.301,,13.519,-0.218,0.0,0.0,25.246001,-9.341,15.905,0.0,,,15.905001,0.0,15.905,0.0,0.0,15.905,15.905,,,,,,,,,,
06/16/2002,294.062012,,,-215.789993,,78.272018,,-47.473,,,,30.799,-13.644,,13.694,-0.05,0.0,0.0,17.155,-6.346,10.809,0.0,,,10.808999,0.0,10.809,0.0,0.0,10.809,10.809,,,,,,,,,,
09/08/2002,277.059998,,,-203.449997,,73.610001,,-39.411999,,,,34.198002,-17.052001,,17.099001,-0.047,0.0,0.0,17.146001,-6.345,10.801,0.0,,,10.801001,0.0,10.801,0.0,0.0,10.801,10.801,,,,,,,,,,
12/29/2002,395.802002,,,-294.394012,,101.40799,,-46.882,,,,54.526001,-17.623001,,16.009001,-0.222,0.0,1.836,36.903,-13.757,23.146,0.0,,,23.146,0.0,23.146,0.0,0.0,23.146,23.146,,,,,,,,,,
03/23/2003,312.252014,,,-231.804001,,80.448013,,-37.358002,,,,43.09,-13.973,,12.333,-0.103,0.0,1.743,29.117,-10.773,18.344,0.0,,,18.344,0.0,18.344,0.0,0.0,18.344,18.344,,,,,,,,,,
06/15/2003,295.216003,,,-216.582993,,78.633011,,-39.407001,,,,39.226002,-10.928,,11.02,-0.092,0.0,0.0,28.298001,-10.757,17.541,0.0,,,17.541001,0.0,17.541,0.0,0.0,17.541,17.541,,,,,,,,,,
09/07/2003,292.847992,,,-221.348007,,71.499985,,-49.097,,,,22.403,-51.264999,,30.966999,-0.124,0.0,20.422,-28.862,10.824,-18.038,0.0,,,-18.037999,0.0,-18.038,0.0,0.0,-18.038,-18.038,,,,,,,,,,
12/28/2003,433.006,,,-323.643,,109.363,,-54.446,,,,54.917,-20.873,20.291,20.358,-0.067,0.0,0.582,34.044,-12.767,21.277,0.0,,,21.277,0.0,21.277,0.0,0.0,21.277,21.277,,,,,,,,,,
03/21/2004,318.753998,,,-237.643005,,81.110993,,-37.639999,,,,43.471001,-13.899,,13.985,-0.086,0.0,0.0,29.572001,-11.164,18.408001,0.0,,,18.408001,0.0,18.408001,0.0,0.0,18.408001,18.408001,,,,,,,,,,
06/13/2004,324.236,,,-246.635,,77.601,,-38.28,,,,39.321,-13.808,13.808,13.904,-0.096,0.0,0.0,25.513,-9.631,15.882,0.0,,,15.882,0.0,15.882,0.0,0.0,15.882,15.882,,36.315154,2.77,2.77,2.77,40.519361,2.75,2.75,2.75,
09/05/2004,324.977997,,,-245.695999,,79.281998,,-50.903999,,,,28.378,-26.805,,17.280001,-0.226,0.0,9.751,1.573,-0.594,0.979,0.0,,,0.979,0.0,0.979,0.0,0.0,0.979,0.979,,71.071999,-0.02,-0.02,0.23,71.071999,-0.02,-0.02,0.23,
01/02/2005,478.529,,,-362.842,,115.687,,-55.478,,,,60.209,-16.807,15.726,15.899,-0.173,0.0,1.081,43.402,-16.384,27.018,0.0,,,27.018,0.0,27.018,0.0,0.0,27.018,27.018,,71.4,0.39,0.39,0.427,71.4,0.38,0.38,0.417,
03/27/2005,369.668,,,-276.655,,93.013,,-42.518,,,,50.495,-10.402,10.402,10.616,-0.214,0.0,0.0,40.093,-15.135,24.958,0.0,,,24.958,0.0,24.958,0.0,0.0,24.958,24.958,,68.922555,0.36,0.36,0.36,71.555554,0.35,0.35,0.35,
06/19/2005,346.954,,,-258.555,,88.399,,-41.819,,,,46.58,-10.486,10.486,10.562,-0.076,0.0,0.0,36.094,-12.693,23.401,0.0,,,23.401,0.0,23.401,0.0,0.0,23.401,23.401,,65.285749,0.36,0.36,0.36,67.770769,0.35,0.35,0.35,
