Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1997,1333.0,,,,,,,-1316.0,,,,17.0,140.0,23.0,23.0,,0.0,,-163.0,157.0,-64.0,93.0,26.0,,,67.0,2.0,69.0,,,69.0,69.0,,125.0,0.55,0.76,0.76,127.0,0.54,0.75,0.75,
06/30/1997,1482.0,,,,,,,-1342.0,,,,140.0,181.0,20.0,20.0,,0.0,,-201.0,321.0,-136.0,185.0,-14.0,,,199.0,-2.0,197.0,,,197.0,197.0,,125.0,1.57,1.46,1.46,127.0,1.55,1.44,1.44,
09/30/1997,1458.0,,,,,,,-1325.0,,,,133.0,-41.0,27.0,27.0,,0.0,,14.0,92.0,-46.0,46.0,-15.0,,,61.0,-3.0,58.0,,,58.0,58.0,,126.0,0.46,0.34,0.34,128.0,0.45,0.34,0.34,
12/31/1997,290.253,,,-111.185,,179.068,,-119.41,,,,34.658,-13.354,20.792,23.896,-3.104,0.0,,-7.438,21.304,0.0,21.304,0.0,,,21.304,-8.026,13.278,,,13.278,13.278,,51.069,0.26,0.26,0.26,53.112,0.25,0.25,0.25,
03/31/1998,565.0,,,-358.0,,207.0,,-115.0,,,,92.0,-41.0,53.0,60.0,-7.0,0.0,,-12.0,51.0,-10.0,41.0,-954.0,,,995.0,1.0,996.0,,,996.0,996.0,,188.0,5.25,0.19,0.19,191.0,5.17,0.19,0.19,
06/30/1998,945.0,,,-567.0,,378.0,,-190.0,,,,188.0,-72.0,111.0,120.0,-9.0,0.0,,-39.0,116.0,-26.0,90.0,-154.0,,,244.0,-8.0,236.0,,,236.0,236.0,,201.0,1.15,0.38,0.38,213.0,1.1,0.38,0.38,
09/30/1998,884.0,,,-545.0,,339.0,,-357.0,,,,-18.0,-158.0,158.0,164.0,-6.0,0.0,,0.0,-176.0,102.0,-74.0,2.0,,,-76.0,-5.0,-81.0,,,-81.0,-81.0,,199.0,-0.43,-0.42,-0.42,199.0,-0.43,-0.42,-0.42,
12/31/1998,931.0,,,-560.0,,371.0,,-96.0,,,,275.0,-121.0,,129.0,,0.0,,-8.0,154.0,23.0,177.0,24.0,,,153.0,-2.0,151.0,,,151.0,151.0,,191.0,0.79,0.92,0.92,201.0,0.75,0.87,0.87,
03/31/1999,842.0,,,-541.0,,301.0,,-180.0,,,,121.0,-105.0,,125.0,-5.0,0.0,,-15.0,16.0,-942.0,-926.0,7.0,,,-933.0,1.0,-932.0,0.0,0.0,-932.0,-932.0,,190.0,-4.9,-4.86,0.2,190.0,-4.9,-4.86,0.2,
06/30/1999,960.0,,,-581.0,,379.0,,-145.0,,,,234.0,-58.0,,124.0,-5.0,0.0,,-61.0,176.0,-29.0,147.0,0.0,,,147.0,-5.0,142.0,0.0,0.0,142.0,142.0,,187.0,0.76,0.76,0.577,196.0,0.73,0.73,0.555,
09/30/1999,948.0,,,-587.0,,361.0,,-144.0,,,,217.0,-135.0,,130.0,-5.0,0.0,,10.0,82.0,-28.0,54.0,2.0,,,52.0,-10.0,42.0,0.0,0.0,42.0,42.0,,186.0,0.22,0.23,0.23,195.0,0.22,0.23,0.23,
12/31/1999,1087.0,,,-604.0,,483.0,,-264.0,,,,219.0,40.0,,137.0,,0.0,,-177.0,259.0,-77.0,182.0,94.0,,,88.0,-81.0,7.0,,,7.0,7.0,,233.0,0.03,0.51,0.51,233.0,0.03,0.5,0.5,
03/31/2000,996.0,,,-590.0,,406.0,,-221.0,,,,185.0,-104.0,,108.0,-3.0,0.0,,-1.0,81.0,-29.0,52.0,3.0,,,49.0,1.0,50.0,0.0,0.0,50.0,50.0,,195.0,0.25,0.26,0.26,202.0,0.25,0.26,0.26,
06/30/2000,1142.0,,,-628.0,,514.0,,-229.0,,,,285.0,-107.0,,114.0,-6.0,0.0,,-1.0,178.0,-62.0,116.0,-5.0,,,121.0,-2.0,119.0,0.0,0.0,119.0,119.0,,195.0,0.6,0.58,0.58,205.0,0.58,0.56,0.56,
09/30/2000,1102.0,,,-616.0,,486.0,,-212.0,,,,274.0,-111.0,,114.0,-5.0,0.0,,2.0,163.0,-54.0,109.0,0.0,,,109.0,-6.0,103.0,0.0,0.0,103.0,103.0,,198.0,0.51,0.51,0.51,207.0,0.5,0.5,0.5,
12/31/2000,1105.0,,,-599.0,,506.0,,-232.0,,,,274.0,-86.0,,93.0,,0.0,,-7.0,188.0,-56.0,132.0,0.0,,,132.0,-1.0,131.0,0.0,0.0,131.0,131.0,,197.0,0.66,0.66,0.66,205.0,0.64,0.64,0.64,
03/31/2001,1014.0,,,-596.0,,418.0,,-226.0,,,,192.0,-99.0,,103.0,-3.0,0.0,,-1.0,93.0,-31.0,62.0,0.0,,,62.0,0.0,62.0,0.0,0.0,62.0,62.0,,201.0,0.31,0.31,0.31,207.0,0.3,0.3,0.3,
06/30/2001,1110.0,,,-618.0,,492.0,,-238.0,,,,254.0,-100.0,,105.0,-4.0,0.0,,-1.0,154.0,-45.0,109.0,0.0,,,109.0,-2.0,107.0,0.0,0.0,107.0,107.0,,201.0,0.53,0.53,0.55,207.0,0.52,0.52,0.54,
09/30/2001,965.0,,,-576.0,,389.0,,-250.0,,,,139.0,-94.0,,91.0,-2.0,0.0,,5.0,45.0,-14.0,31.0,0.0,,,31.0,-1.0,30.0,0.0,0.0,30.0,30.0,,200.0,0.15,0.15,0.16,206.0,0.14,0.14,0.15,
12/31/2001,878.0,,,-575.0,,303.0,,-223.0,,,,80.0,-181.0,,79.0,-2.0,0.0,,104.0,-101.0,47.0,-54.0,0.0,,,-54.0,0.0,-54.0,0.0,0.0,-54.0,-54.0,,198.0,-0.28,-0.28,-0.01,198.0,-0.28,-0.28,-0.01,
