Date,Net Revenue,Net Interest Income,Total Interest Income,Interest Income,Investment Income,Total Interest Expense,Total Non-Interest Income,Trading Securities G/L,Trading Account Profits/Losses,Investment & Loan Inc (Loss),Other Income (Loss),Commissions & Fees Earned,Other Operating Income (Losses),Provision for Loan Losses,Net Revenue after Provisions,Total Non-Interest Expense,Commissions & Fees Paid,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,61.853998,41.433998,161.505997,149.949997,11.556,-120.071999,20.42,6.1,,,,12.1,2.22,-16.945999,44.907999,-45.013,0.0,45.013,-0.105,0.0,0.0,-0.105,1.905,,1.8,0.0,,,1.8,0.0,1.8,0.0,,1.8,1.8,,229.500341,0.008466,0.008466,,229.500341,0.008466,0.008466,0.008466,
06/30/1990,54.905996,41.032996,159.755996,146.270996,13.485,-118.723,13.873,3.0,,,,13.0,-2.127,-26.093,28.812996,-44.869999,0.0,44.869999,-16.056999,0.0,0.0,-16.056999,7.604,,-8.453,0.0,,,-8.452999,0.0,-8.452999,0.0,,-8.452999,-8.452999,,230.974542,-0.036684,-0.036684,,230.974542,-0.036684,-0.036684,-0.036684,
09/30/1990,56.587007,37.366007,156.966005,137.490005,19.476,-119.599998,19.221,3.384,,,,13.844,1.993,-45.716,10.871007,-50.291,0.0,50.291,-39.419998,0.0,0.0,-39.419998,10.241,,-29.179001,0.0,,,-29.178998,0.0,-29.179001,0.0,,-29.179001,-29.179001,,230.974542,-0.126984,-0.126984,,230.974542,-0.126984,-0.126984,-0.126984,
12/31/1990,49.388011,40.293011,155.742008,136.667007,19.075001,-115.448997,9.095,-1.652,,,,13.35,-2.603,-51.459,-2.070989,-56.499001,0.0,56.499001,-58.57,0.0,0.0,-58.57,9.675,,-48.895,0.0,,,-48.895,0.0,-48.895,0.0,,-48.895,-48.895,,231.031237,-0.21164,-0.21164,-0.21164,231.031237,-0.21164,-0.21164,-0.21164,
03/31/1991,57.523997,41.278997,148.920996,127.853996,21.066999,-107.641998,16.245,1.186,,,,14.32,0.739,-47.443001,10.080996,-45.178001,0.0,45.178001,-35.097,0.0,0.0,-35.097,-0.373,,-35.470001,0.0,,,-35.47,0.0,-35.470001,0.0,,-35.470001,-35.470001,,231.034861,-0.153792,-0.153792,,231.034861,-0.153792,-0.153792,-0.153792,
06/30/1991,56.529996,43.621996,140.660997,123.461998,17.198999,-97.039001,12.908,9.625,,,,15.457,-12.174,-48.478001,8.051995,-48.808998,0.0,48.808998,-40.757,0.0,0.0,-40.757,-0.214,,-40.971001,0.0,,,-40.971,0.0,-40.971001,0.0,,-40.971001,-40.971001,,231.080851,-0.176367,-0.176367,,231.080851,-0.176367,-0.176367,-0.176367,
09/30/1991,68.988999,45.718,129.608999,116.640999,12.968,-83.890999,23.270999,4.101,,,,16.511999,2.658,-44.023998,24.965001,-50.455002,0.0,50.455002,-25.49,0.0,0.0,-25.49,-0.306,,-25.796,0.0,,,-25.796,0.0,-25.796,0.0,,-25.796,-25.796,,231.077309,-0.112875,-0.112875,,231.077309,-0.112875,-0.112875,-0.112875,
12/31/1991,102.840006,45.794005,119.202002,104.886002,14.316,-73.407997,57.046001,47.047001,,,,16.038,-6.039,-30.327,72.513006,-60.984001,0.0,60.984001,11.529,0.0,0.0,11.529,-0.206,,11.323,0.0,,,11.323,0.0,11.323,0.0,,11.323,11.323,,231.047191,0.049383,0.049383,0.049383,231.047191,0.049383,0.049383,0.049383,
03/31/1992,78.875,48.579,109.333002,97.969002,11.364,-60.754002,30.296,15.526,,,,13.66,1.11,-26.076,52.799,-52.411999,0.0,52.411999,0.387,0.0,0.0,0.387,-0.206,,0.181,0.0,,,0.181,0.0,0.181,0.0,,0.181,0.181,,231.107779,0.001411,0.001411,,231.107779,0.001411,0.001411,0.001411,
06/30/1992,74.979998,51.584998,107.443999,92.57,14.874,-55.859001,23.395,2.308,,,,16.997,4.09,-17.799,57.180998,-56.467999,0.0,56.467999,0.713,0.0,0.0,0.713,-0.194,,0.519,0.0,,,0.519,0.0,0.519,0.0,,0.519,0.519,,259.560194,0.001411,0.001411,,259.560194,0.001411,0.001411,0.001411,
