Date,Total Assets,Cash & Cash Equivalents,Interbanking Assets,Fed Funds Sold & Repos,Other Interbank Assets,ST And LT Investments,Trading Securities/FVTPL,Available for Sales/FVTOCI,Held to Maturity/Amortized at Cost,Real Estate Investments,Other Investments,Net Receivables,Total Commercial Loans,Commercial RE Loans,Other Commercial Loans,Total Consumer Loans,Home Equity Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Total Derivative Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Demand Deposits,Interest Bearing Deposits,Saving Deposits,Other Deposits,Total Deposits,ST Borrowings & Repos,Secs Sold Under Repo,Trading Account Liabilities,ST Lease Liabilities,ST Finance Leases,ST Borrowings,Payables Broker Dealers,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Total Derivative Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/30/1990,63762.550781,743.703979,,,,,,,,0.0,,1356.720947,,,,,,,,12199.885742,-222.511002,11977.375,1651.520996,,,,,,,0.0,60010.604858,,,,,,7480.723145,36158.707031,,,,,,,6299.085938,,,,,,,,,10655.136719,60593.652832,0.003,1627.718018,,,-120.209999,,1661.387001,3168.89802,0,3168.89802,63762.550852,
06/29/1990,64475.71875,349.380005,,,,,,,,0.0,,1352.05603,,,,,,,,12934.010742,-219.227005,12714.78418,1668.734009,,,,,,,0.0,61105.548706,,,,,,6903.980957,37076.882812,,,,,,,6269.436035,,,,,,,,,10979.860229,61230.160034,0.003,1603.694946,,,-108.309998,,1750.169983,3245.557932,0,3245.557932,64475.717966,
09/28/1990,70181.734375,611.893982,,,,,,,,0.0,,1499.958008,,,,,,,,11755.307617,-270.128998,11485.178711,1679.547974,,,,,,,0.0,66390.334412,,,,,,9051.313477,39496.699219,,,,,,,6791.564941,,,,,,,,,11588.988647,66928.566284,0.003,1599.987061,,,-165.268997,,1818.445999,3253.167063,0,3253.167063,70181.733347,
12/28/1990,68129.523438,407.377991,,,,,,,,0.0,,1521.28894,,,,,,,,11178.19043,-272.375,10905.80957,1646.276001,,,,,,,0.0,64554.580505,,,,,,9482.054688,40165.949219,,,,,,,3461.454102,,,,,,,,,11794.634766,64904.092773,0.003,1595.926025,,,-211.669006,,1841.169983,3225.430002,0,3225.430002,68129.522775,
03/29/1991,77237.101562,341.419006,,,,,,,,0.0,,1606.659058,,,,,,,,12803.598633,-302.140991,12501.458008,1609.165039,,,,,,,0.0,73679.858459,,,,,,9717.496094,45764.871094,,,,,,,6689.527832,,,,,,,,,11670.760498,73842.655518,0.003,1606.947021,,,-168.279007,,1955.779984,3394.450998,0,3394.450998,77237.106516,
06/28/1991,77896.90625,426.128998,,,,,,,,0.0,,1558.473999,,,,,,,,11452.25,-321.958008,11130.291992,1587.791992,,,,,,,0.0,74324.511261,,,,,,9607.858398,45136.839844,,,,,,,7442.921875,,,,,,,,,12120.775391,74308.395508,0.003,1608.729004,,,-145.975998,,2125.751999,3588.508005,0,3588.508005,77896.903513,
09/27/1991,83378.507812,285.091003,,,,,,,,0.0,,1920.118042,,,,,,,,13212.110352,-222.617996,12989.492188,1569.937012,,,,,,,0.0,79603.361755,,,,,,11115.889648,48058.183594,,,,,,,7707.978027,,,,,,,,,12735.290283,79617.341553,0.003,1612.522949,,,-135.585007,,2284.228073,3761.169016,0,3761.169016,83378.510568,
12/27/1991,86259.34375,337.114014,,,,,,,,0.0,,1953.680054,,,,,,,,14197.820312,-251.917007,13945.900391,1559.097046,,,,,,,0.0,82409.452637,,,,,,10735.469727,53624.589844,,,,,,,5081.224121,,,,,,,,,12999.965332,82441.249023,0.003,1612.531006,,,-167.507004,,2373.060959,3818.087961,0,3818.087961,86259.336984,
03/27/1992,97301.671875,455.571014,,,,,,,,0.0,,1895.770996,,,,,,,,13058.098633,-268.998993,12789.099609,1547.322021,,,,,,,0.0,93403.007843,,,,,,11130.878906,61270.273438,,,,,,,8263.589844,,,,,,,,,12446.71106,93111.453247,0.003,1764.597046,,,-104.748001,,2530.365921,4190.217966,0,4190.217966,97301.671213,
06/26/1992,103084.789062,180.444,,,,,,,,0.0,,1944.13501,,,,,,,,15247.318359,-340.628998,14906.689453,1553.790039,,,,,,,0.0,99406.420013,,,,,,10984.544922,65931.492188,,,,,,,9334.991211,,,,,,,,,12538.026733,98789.055054,0.003,1772.266968,,,-257.597992,,2781.056,4295.727976,0,4295.727976,103084.783029,
