Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
09/30/1989,311.399994,-196.0,115.399994,-100.599998,14.8,-18.0,0.0,11.7,8.5,-1.0,7.5,0.0,0,7.5,-1.6,5.9,,,5.9,,0.09,0.09,64.506002,0.09,0.09,0.09,64.506002,
12/31/1989,330.100006,-207.5,122.600006,-102.5,20.1,-20.0,0.0,10.3,10.400001,-0.6,9.8,-0.3,0,9.5,-1.2,8.3,,,8.600001,,0.133333,0.13,63.836998,0.133333,0.133333,0.13,63.836998,
03/31/1990,371.700012,-207.899994,163.800018,-125.199997,38.599998,-19.9,0.0,11.6,30.299999,-11.6,18.700001,0.5,0,19.200001,-1.3,17.900001,,,17.399999,,0.276667,0.283333,63.693003,0.276667,0.276667,0.283333,63.693003,
06/30/1990,411.399994,-206.699997,204.699997,-166.899994,37.799999,0.0,0.0,-0.4,37.399999,-18.1,19.299999,1.0,0,20.299999,-0.1,20.199999,,,19.199999,0.28,0.28,0.293333,68.835,0.28,0.28,0.293333,68.835,
09/30/1990,375.700012,-213.699997,162.000015,-126.900002,35.099998,-18.1,0.0,10.7,27.699998,-9.7,18.0,0.0,0,18.0,-0.1,17.9,,,17.899998,,0.26,0.26,68.699999,0.26,0.26,0.26,68.699999,
12/31/1990,396.200012,-224.100006,172.100006,-132.699997,39.400002,-18.9,0.0,12.5,33.000002,-12.1,20.9,-1.1,0,19.799999,-0.1,19.699999,,,20.800002,,0.3,0.283333,69.162003,0.3,0.3,0.283333,69.162003,
03/31/1991,408.799988,-229.300003,179.499985,-128.5,51.0,-11.7,0.0,1.9,41.2,-14.0,27.200001,-0.2,0,27.0,-0.1,26.9,,,27.1,,0.383333,0.38,70.425001,0.383333,0.383333,0.38,70.425001,
06/30/1991,453.200012,-242.899994,210.300018,-151.199997,59.099998,0.0,0.0,-7.7,51.399998,-20.299999,31.1,-7.7,0,23.4,-0.1,23.3,,,30.999999,0.413333,0.413333,0.31,75.158997,0.413333,0.413333,0.31,75.158997,
09/30/1991,381.299988,-204.399994,176.899994,-132.100006,44.799999,-10.7,0.0,9.9,43.999999,-16.5,27.5,-1.8,0,25.700001,-0.1,25.600001,,,27.399999,,0.353333,0.33,77.513998,0.353333,0.353333,0.33,77.513998,
12/31/1991,420.200012,-227.899994,192.300018,-141.600006,50.700001,-10.1,0.0,1.6,42.2,-16.299999,25.9,-0.2,0,25.700001,-0.1,25.600001,,,25.800001,,0.33,0.33,77.856003,0.33,0.33,0.33,77.856003,
03/31/1992,433.5,-235.800003,197.699997,-138.800003,58.900002,-9.5,0.0,0.8,50.200002,-17.6,32.599998,-0.2,0,32.400002,-0.1,32.300002,,,32.500001,,0.41,0.41,77.916,0.41,0.41,0.41,77.916,
06/30/1992,467.899994,-247.5,220.399994,-149.300003,71.099998,-9.3,0.0,4.6,66.399998,-23.6,42.799999,0.9,0,43.700001,-0.1,43.600001,,,42.699998,0.55,0.55,0.56,77.138,0.55,0.55,0.56,77.138,
