Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2009,24131,312,312,0,3692,3692,0.0,802,1771,,1192.0,579,6577,11427,24669,-13242,1166,1166,4961,2577,2577.0,0.0,853,1531,17554,,3467,1460,0.0,0.0,2007,846,0,0.0,0.0,,846,0,0.0,0.0,0,4313,24824,24824,0.0,0.0,,2972,0.0,0.0,0.0,0.0,1768,1204,27796,32109,0.0,227,1,226,0,-8763,-450,-8986,1008,-7978,24131,
03/31/2010,24091,388,388,0,3878,3878,0.0,794,1678,,1181.0,497,6738,11252,24766,-13514,1146,1146,4955,2561,2561.0,0.0,851,1543,17353,,3590,1199,,,2391,981,0,,,,981,0,,,0,4571,25874,25874,,,,2944,,,,,1742,1202,28818,33389,0.0,292,1,291,0,-10126,-479,-10313,1015,-9298,24091,
06/30/2010,23420,350,350,0,3769,3769,0.0,805,1868,,1126.0,742,6792,11152,24950,-13798,646,646,4830,2583,2583.0,0.0,870,1377,16628,,3368,1179,,,2189,1029,0,,,,1029,0,,,0,4397,25769,25769,,,,2762,,,,,1589,1173,28531,32928,0.0,313,1,312,0,-10333,-505,-10525,1017,-9508,23420,
09/30/2010,23253,377,377,0,3636,3636,0.0,815,1723,,1045.0,678,6551,11136,25226,-14090,665,665,4901,2610,2610.0,0.0,857,1434,16702,,3634,1254,,,2380,696,0,,,,696,0,,,0,4330,25383,25383,,,,2782,,,,,1611,1171,28165,32495,0.0,325,1,324,0,-10090,-494,-10259,1017,-9242,23253,
12/31/2010,23852,411,411,0,3832,3832,0.0,897,1779,,931.0,848,6919,11352,25641,-14289,642,642,4939,2693,2693.0,0.0,869,1377,16933,,3677,1537,0.0,0.0,2140,592,0,0.0,0.0,,592,0,0.0,0.0,0,4269,27633,27633,0.0,0.0,,2744,0.0,0.0,0.0,0.0,1608,1136,30377,34646,0.0,390,1,389,0,-11888,-428,-11926,1132,-10794,23852,
03/31/2011,23809,553,553,0,4060,4060,0.0,881,1492,,916.0,576,6986,11347,25855,-14508,590,590,4886,2705,2705.0,0.0,852,1329,16823,,3721,1348,,,2373,546,0,,,,546,0,,,0,4267,24820,24820,,,,2510,,,,,1507,1003,27330,31597,0.0,3062,5,3057,0,-11648,-344,-8930,1142,-7788,23809,
06/30/2011,23877,539,539,0,3946,3946,0.0,887,1519,,894.0,625,6891,11584,26338,-14754,515,515,4887,2719,2719.0,0.0,843,1325,16986,,3589,1297,,,2292,689,0,,,,689,0,,,0,4278,24631,24631,,,,2502,,,,,1515,987,27133,31411,0.0,3077,5,3072,0,-11419,-339,-8681,1147,-7534,23877,
09/30/2011,23756,359,359,0,3925,3925,0.0,891,1518,,643.0,875,6693,11645,26647,-15002,545,545,4873,2701,2701.0,0.0,837,1335,17063,,3546,1334,,,2212,725,0,,,,725,0,,,0,4271,25871,25871,,,,2676,,,,,1683,993,28547,32818,0.0,1588,4,1584,0,-11358,-424,-10194,1132,-9062,23756,
12/31/2011,26898,373,373,0,4533,4533,0.0,1054,1273,0.0,594.0,679,7233,12834,28075,-15241,548,548,6283,5251,5251.0,0.0,101,931,19665,,4147,1597,0.0,0.0,2550,1407,0,0.0,0.0,,1407,0,0.0,0.0,0,5554,25645,25645,0.0,0.0,,2713,0.0,0.0,0.0,0.0,1720,993,28358,33912,0.0,1605,4,1601,0,-9423,-440,-8258,1244,-7014,26898,
03/31/2012,27139,471,471,0,4878,4878,0.0,1046,887,,226.0,661,7282,12787,28354,-15567,536,536,6534,5398,,,108,1028,19857,,3774,1412,,,2362,1841,0,,,,1841,0,,,0,5615,26061,26061,,,,2787,,,,,1757,1030,28848,34463,0.0,1652,4,1648,0,-9854,-411,-8613,1289,-7324,27139,
