Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
12/31/1989,505.851959,,,,,,,,,,,,20.323999,,20.323999,,,,,0.6,0.6,35.729996,0.6,0.6,0.6,35.729996,
03/31/1990,485.605988,-361.21701,124.388977,-89.947998,34.441002,-7.756,-2.805,23.880002,-9.4,14.48,0.0,0.0,14.48,0.0,14.48,,,14.480002,,0.46,0.46,33.668999,0.46,0.46,0.46,33.668999,
06/30/1990,500.792999,-373.225006,127.567993,-90.497002,37.070999,-8.275,0.718,29.514,-11.7,17.813999,0.0,0.0,17.813999,0.0,17.813999,,,17.814,,0.56,0.56,33.242001,0.56,0.56,0.56,33.242001,
09/30/1990,472.571991,-362.057007,110.514984,-86.903,23.612,-7.658,-1.534,14.419999,-5.7,8.72,0.0,0.0,8.72,0.0,8.72,,,8.72,,0.3,0.3,29.552999,0.3,0.3,0.3,29.552999,
12/31/1990,496.453003,-381.177002,115.276001,-97.595001,17.681,-8.009,-2.421,7.251,-2.8,4.451,0.0,0.0,4.451,0.0,4.451,,,4.451,0.16,0.16,0.16,28.219,0.16,0.16,0.16,28.219,
03/31/1991,434.812012,-335.855011,98.957001,-88.209999,10.747,-7.162,-0.544,3.041,-1.2,1.841,0.0,0.0,1.841,0.0,1.841,,,1.840999,,0.07,0.07,28.233999,0.07,0.07,0.07,28.233999,
06/30/1991,432.889008,-328.462006,104.427002,-88.483002,15.944,-6.478,-3.14,6.326,-2.5,3.826,0.0,0.0,3.826,0.0,3.826,,,3.826,,0.13,0.13,28.24,0.13,0.13,0.13,28.24,
09/30/1991,399.950989,-322.037994,77.912994,-89.267998,-11.355,-6.137,-1.822,-19.314,4.1,-15.214,0.0,0.0,-15.214,0.0,-15.214,,,-15.214,,-0.54,-0.54,28.247999,-0.54,-0.54,-0.54,28.247999,
12/31/1991,413.559998,-322.739014,90.820984,-95.633003,-4.812,-6.676,-173.843994,-185.331994,10.8,-174.531998,0.0,0.0,-174.531998,0.0,-174.531998,,,-174.531994,-6.18,-6.18,-6.18,28.224001,-6.18,-6.18,-6.18,28.224001,
03/31/1992,422.644012,-329.234985,93.409027,-84.694,8.715,-6.435,-1.53,0.75,-0.3,0.45,0.0,0.0,0.45,0.0,0.45,,,0.45,,0.02,0.02,28.253,0.02,0.02,0.02,28.253,
06/30/1992,439.009003,-334.835999,104.173004,-85.541,18.632,-6.443,-1.885,10.304,-4.1,6.204,0.0,0.0,6.204,0.0,6.204,,,6.204,,0.22,0.22,28.266001,0.22,0.22,0.22,28.266001,
09/30/1992,402.222992,-311.244995,90.977997,-78.655998,12.322,-6.591,-2.796,2.934999,-1.2,1.735,0.0,0.0,1.735,0.0,1.735,,,1.734999,,0.06,0.06,28.268,0.06,0.06,0.06,28.268,
12/31/1992,431.635986,-332.040985,99.595001,-80.283997,19.311001,-6.844,-2.414,10.053001,-4.0,6.053,0.0,0.0,6.053,0.0,6.053,,,6.053001,0.21,0.21,0.21,28.237312,0.21,0.21,0.21,28.237312,
03/31/1993,429.169006,-330.937988,98.231018,-79.724998,18.506001,-6.73,-2.442,9.334001,-3.7,5.634,-70.228996,0.0,-64.595001,0.0,-64.595001,,,5.634001,,0.2,-2.28,28.296,0.2,0.2,-2.28,28.296,
06/30/1993,419.747986,-317.82901,101.918976,-76.482002,25.437,-6.729,-29.629,-10.921,1.8,-9.121,0.0,0.0,-9.121,0.0,-9.121,,,-9.121,,-0.32,-0.32,28.344999,-0.32,-0.32,-0.32,28.344999,
09/30/1993,393.263,-297.002991,96.26001,-73.042999,23.216999,-6.347,-4.209,12.660999,-3.2,9.461,0.0,0.0,9.461,0.0,9.461,,,9.460999,,0.33,0.33,28.434,0.33,0.33,0.33,28.434,
12/31/1993,401.661011,-301.644012,100.016999,-72.285004,27.732,-5.71,-15.985,6.037,-1.5,4.537,0.0,0.0,4.537,0.0,4.537,,,4.537,0.16,0.16,0.16,28.511999,0.16,0.16,0.16,28.511999,
03/31/1994,439.830994,-331.365997,108.464996,-76.072998,32.391998,-5.741,-6.177,20.473998,-7.2,13.274,0.0,0.0,13.274,0.0,13.274,,,13.273998,,0.46,0.46,30.745001,0.46,0.46,0.46,30.745001,
06/30/1994,460.863007,-345.437012,115.425995,-75.934998,39.491001,-5.475,-4.292,29.724001,-10.4,19.323999,0.0,0.0,19.323999,0.0,19.323999,,,19.324002,,0.66,0.66,30.865999,0.66,0.66,0.66,30.865999,
09/30/1994,437.587006,-331.105988,106.481018,-72.758003,33.723,-5.044,-5.448,23.230999,-8.1,15.131,0.0,0.0,15.131,0.0,15.131,,,15.130999,,0.52,0.52,30.903,0.52,0.52,0.52,30.903,
12/31/1994,456.414001,-343.493988,112.920013,-77.457001,35.463001,-4.8,-2.837,27.826001,-9.7,18.125999,0.0,0.0,18.125999,0.0,18.125999,,,18.126001,0.59,0.59,0.59,30.889999,0.59,0.59,0.59,30.889999,
03/31/1995,498.63501,-376.192993,122.442017,-81.301003,41.140999,-4.973,-3.88,32.287999,-9.7,22.587999,0.0,0.0,22.587999,0.0,22.587999,,,22.587999,0.77,0.77,0.77,30.733999,0.77,0.77,0.77,30.733999,
06/30/1995,501.617004,-370.696014,130.92099,-80.342003,50.578999,-4.933,-2.466,43.179998,-9.9,33.279999,0.0,0.0,33.279999,0.0,33.279999,,,33.279999,1.11,1.11,1.11,30.790001,1.11,1.11,1.11,30.790001,
09/30/1995,441.445007,-330.489014,110.955994,-76.550003,34.405998,-4.612,-4.095,25.698998,-6.7,18.999001,0.0,0.0,18.999001,0.0,18.999001,,,18.998999,0.64,0.64,0.64,30.924,0.64,0.64,0.64,30.924,
12/31/1995,442.31601,-330.291992,112.024018,-78.941002,33.083,-4.681,-1.373,27.029,-7.0,20.028999,0.0,0.0,20.028999,0.0,20.028999,,,20.029,0.65,0.65,0.65,30.927999,0.65,0.65,0.65,30.927999,
03/31/1996,512.112976,-385.855988,126.256989,-86.128998,40.127998,-6.285,-3.328,30.514998,-6.1,24.415001,0.0,0.0,24.415001,0.0,24.415001,-4.0,0.0,20.414999,0.71,0.85,0.85,28.754999,0.7,0.83,0.83,30.688999,
06/30/1996,517.924011,-384.015015,133.908997,-82.165001,51.743999,-6.842,14.258,59.16,-26.1,33.060001,0.0,0.0,33.060001,0.0,33.060001,-5.0,0.0,28.059999,0.99,1.16,1.16,28.551001,0.95,1.11,1.11,30.516001,
