Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1998,87,,,-42,,45,,-54,,,,-9,0,,4.0,,0.0,-4,-9,3.0,-6,-932.0,,,926.0,0.0,926,0.0,,926,926.0,,19.4884,47.549998,-0.3,-0.3,19.4884,47.549998,-0.3,-0.3,
06/30/1998,103,,,-49,,54,,-65,,,,-11,-25,,36.0,,0.0,-11,-36,2.0,-34,0.0,,,-34.0,0.0,-34,0.0,,-34,-34.0,,20.119068,-1.725,-1.725,-0.225,20.119068,-1.725,-1.725,-0.225,
09/30/1998,106,,,-47,,59,,-111,,,,-52,-20,,46.0,,0.0,-26,-72,23.0,-49,0.0,,,-49.0,0.0,-49,0.0,,-49,-49.0,,20.434335,-2.4,-2.4,-2.4,20.434335,-2.4,-2.4,-2.4,
12/31/1998,96,,,-61,,35,,-168,,,,-133,97,,46.0,,0.0,-143,-36,-3.0,-39,0.0,,,-39.0,0.0,-39,0.0,,-39,-39.0,,20.497535,-1.95,-1.95,-4.95,20.497535,-1.95,-1.95,-4.95,
03/31/1999,102,,,-62,,40,,-166,,,,-126,-26,,53.0,-50.0,0.0,23,-152,47.0,-105,0.0,,,-105.0,0.0,-105,0.0,0.0,-105,-105.0,,21.085867,-4.95,-4.95,-4.95,21.085867,-4.95,-4.95,-4.95,
06/30/1999,106,,,-81,,25,,-208,,,,-183,116,,45.0,-57.0,0.0,-104,-67,23.0,-44,0.0,,,-44.0,0.0,-44,0.0,,-44,-44.0,,22.617734,-1.95,-1.95,-5.55,22.617734,-1.95,-1.95,-5.55,
09/30/1999,134,,,-100,,34,,-241,,,,-207,-13,,34.0,-51.0,0.0,30,-220,73.0,-147,0.0,,,-147.0,0.0,-147,0.0,,-147,-147.0,,22.686535,-6.45,-6.45,-6.45,22.686535,-6.45,-6.45,-6.45,
12/31/1999,173,,,-117,,56,,-281,,,,-225,-43,,,,0.0,43,-268,77.0,-191,0.0,,,-191.0,0.0,-191,0.0,,-191,-191.0,0.0,22.746601,-8.4,-8.4,-8.4,22.746601,-8.4,-8.4,-8.4,
03/31/2000,177,,,-130,,47,,-276,,,,-277,-51,,50.0,-64.0,0.0,65,-328,9.0,-271,0.0,,,-319.0,0.0,-271,0.0,0.0,-271,-271.0,,23.352335,-11.549999,-11.549999,-11.549999,23.352335,-11.549999,-11.549999,-11.549999,
06/30/2000,234,,,-154,,80,,-388,,,,-308,16,,81.0,-104.0,0.0,7,-292,11.0,-281,0.0,,,-281.0,0.0,-281,0.0,0.0,-281,-281.0,,24.3944,-11.549999,-11.549999,-13.799999,24.3944,-11.549999,-11.549999,-13.799999,
09/30/2000,341,,,-199,,142,,-462,,,,-320,-41,-23.0,64.0,-87.0,,64,-361,10.0,-351,,,,-351.0,,-351,,,-351,-351.0,,24.452535,-14.399999,-14.399999,-14.399999,24.452535,-14.399999,-14.399999,-14.399999,
12/31/2000,432,,,-309,,123,0.0,-542,272.0,,270.0,-419,-131,,,,,131,-550,19.0,-531,21.0,,,-552.0,,-552,0.0,0.0,-552,-552.0,,24.483735,-22.499999,-21.599999,-21.599999,24.483735,-22.499999,-21.599999,-21.599999,
03/31/2001,448,,,-266,,182,,-595,,,,-413,-105,,138.0,-61.0,0.0,28,-518,0.0,-518,17.0,,,-535.0,0.0,-535,0.0,0.0,-535,-535.0,,24.520668,-21.749999,-21.749999,-21.149999,24.520668,-21.749999,-21.749999,-21.149999,
06/30/2001,387,,,-208,,179,,-650,,,,-471,-235,127.0,174.0,-47.0,0.0,108,-706,0.0,-706,25.0,,,-731.0,0.0,-731,0.0,0.0,-731,-731.0,101.0,24.547401,-29.849999,-28.799999,-24.749999,24.547401,-29.849999,-28.799999,-24.749999,
09/30/2001,372,,,-146,,226,,-622,,,,-396,-111,,183.0,-34.0,0.0,-38,-507,0.0,-531,-94.0,,,-413.0,0.0,-437,0.0,0.0,-437,-437.0,,25.042535,-17.549999,-17.549999,-2.85,25.042535,-17.549999,-17.549999,-2.85,
12/31/2001,326,,,-122,,204,0.0,-562,229.0,,333.0,-358,-3359,,,,,3359,-3717,,-3717,-442.0,,,,,-3275,0.0,0.0,-3275,-3275.0,,25.554601,-128.099994,-145.499993,-145.499993,25.554601,-128.099994,-145.499993,-145.499993,
03/31/2002,386,,,-146,,240,,-463,,,,-223,14,,129.0,-9.0,0.0,-134,-209,119.0,-90,0.0,,,-90.0,0.0,-90,0.0,0.0,-90,-90.0,,26.085267,-3.45,-3.45,-12.899999,26.085267,-3.45,-3.45,-12.899999,
06/30/2002,750,,,-484,,266,,-430,,,,-164,-68,125.0,131.0,-6.0,0.0,-57,-232,0.0,-232,-76.0,,,-156.0,0.0,-156,0.0,0.0,-156,-156.0,-29.0,26.581401,-5.85,-8.7,-9.75,26.581401,-5.85,-8.7,-9.75,
09/30/2002,1049,,,-748,,301,,-428,,,,-127,-173,,154.0,-8.0,0.0,27,-300,0.0,-300,-1.0,,,-299.0,0.0,-299,0.0,0.0,-299,-299.0,,27.393202,-10.949999,-10.949999,-11.099999,27.393202,-10.949999,-10.949999,-11.099999,
12/31/2002,945,,,-643,,302,,-419,,,,-117,-242,,117.0,-6.0,0.0,131,-359,2.0,-357,-44.0,,,-313.0,0.0,-313,0.0,0.0,-313,-313.0,115.54,28.5286,-10.949999,-12.449999,-8.4,28.5286,-10.949999,-12.449999,-8.4,
03/31/2003,1227,,,-568,,659,,-477,,,,182,-72,,140.0,-5.0,0.0,-63,110,0.0,110,-9.0,,,119.0,0.0,119,0.0,0.0,119,119.0,,30.054935,3.9,3.6,-4.8,43.313336,3.3,3.0,-2.85,
06/30/2003,937,,,-567,,370,,-503,,,,-133,-323,,143.0,-5.0,0.0,185,-456,0.0,-456,6.0,,,-462.0,0.0,-462,0.0,0.0,-462,-462.0,,32.295735,-14.249999,-14.099999,-7.95,32.295735,-14.249999,-14.099999,-7.95,
09/30/2003,874,,,-509,,365,,-460,,,,-95,-167,,156.0,-5.0,0.0,16,-262,12.0,-250,-3.0,,,-247.0,0.0,-247,0.0,0.0,-247,-247.0,,43.539203,-5.7,-5.7,-5.55,43.539203,-5.7,-5.7,-5.55,
12/31/2003,988,,,-620,,368,,-433,,,,-65,-98,,128.0,-3.0,0.0,-27,-163,38.0,-125,-4.0,,,-121.0,0.0,-121,0.0,0.0,-121,-121.0,-41.6,44.799469,-2.7,-2.85,-3.75,44.799469,-2.7,-2.85,-3.75,
03/31/2004,899,,,-543,,356,,-414,,,,-58,-88,,127.0,-3.0,0.0,-36,-146,-1.0,-147,0.0,,,-147.0,0.0,-147,0.0,0.0,-147,-147.0,,45.332737,-3.3,-3.3,-3.75,45.332737,-3.3,-3.3,-3.75,
06/30/2004,918,,,-591,,327,,-420,,,,-93,31,,118.0,-3.0,0.0,-146,-62,-1.0,-63,0.0,,,-63.0,0.0,-63,0.0,0.0,-63,-63.0,,45.508604,-1.35,-1.35,-4.65,45.508604,-1.35,-1.35,-4.65,
09/30/2004,840,,,-487,,353,,-404,,,,-51,-120,,120.0,-3.0,0.0,3,-171,0.0,-171,0.0,,,-171.0,0.0,-171,0.0,0.0,-171,-171.0,0.0,45.671601,-3.75,-3.75,-3.75,45.671601,-3.75,-3.75,-3.75,
12/31/2004,1037,,,-626,,411,,-408,241.0,,167.0,3,-75,116.0,120.0,-4.0,0.0,-41,-72,-4.0,-76,1.0,,,-77.0,0.0,-77,0.0,0.0,-77,-77.0,,45.843402,-1.65,-1.65,-2.7,45.843402,-1.65,-1.65,-2.7,
03/31/2005,993,,,-558,,435,,-393,,,,42,-119,110.0,114.0,-4.0,0.0,9,-77,0.0,-77,0.0,,,-77.0,0.0,-77,0.0,0.0,-77,-77.0,15.0,46.014269,-1.65,-1.65,-1.35,46.014269,-1.65,-1.65,-1.35,
06/30/2005,894,,,-576,,318,,-379,,,,-61,-124,129.0,139.0,-10.0,0.0,-5,-185,-3.0,-188,0.0,,,-188.0,0.0,-188,0.0,0.0,-188,-188.0,4.0,46.368869,-4.05,-4.05,-3.9,46.368869,-4.05,-4.05,-3.9,
09/30/2005,384,,,-127,,257,,-341,,,,-84,-122,127.0,138.0,-11.0,0.0,-5,-206,-1.0,-207,-3.0,,,-204.0,0.0,-204,0.0,0.0,-204,-204.0,5.0,46.622136,-4.35,-4.35,-4.2,46.622136,-4.35,-4.35,-4.2,
12/31/2005,418,,,-225,,193,,-303,,,,-110,-124,-110.0,139.0,-10.0,0.0,-5,-234,-1.0,-235,-66.0,,,-169.0,0.0,-169,0.0,0.0,-169,-169.0,2.0,46.639269,-3.6,-5.1,-5.1,46.639269,-3.6,-5.1,-5.1,
03/31/2006,1267,,,-817,,450,0.0,-503,313.0,,190.0,-53,-115,141.0,150.0,-9.0,0.0,-26,-168,0.0,-168,0.0,,,-168.0,0.0,-168,0.0,0.0,-168,-168.0,,54.794536,-3.0,-3.0,-3.45,54.794536,-3.0,-3.0,-3.45,
06/30/2006,835,,,-399,,436,,-447,,,,-11,-212,154.0,170.0,-16.0,0.0,58,-223,-1.0,-224,-23.0,,,-201.0,0.0,-201,0.0,0.0,-201,-201.0,62.0,58.74367,-3.45,-3.75,-2.7,58.74367,-3.45,-3.75,-2.7,
09/30/2006,875,,,-382,,493,,-516,,,,-23,-142,142.0,161.0,-19.0,0.0,0,-165,2.0,-163,-25.0,,,-138.0,0.0,-138,0.0,0.0,-138,-138.0,2.0,75.210204,-1.8,-2.1,-2.1,75.210204,-1.8,-2.1,-2.1,
12/31/2006,846,,,-324,,522,,-562,,,,-40,-193,147.0,167.0,-20.0,0.0,46,-233,-4.0,-237,0.0,,,-237.0,0.0,-237,0.0,0.0,-237,-237.0,54.0,78.435004,-3.0,-3.0,-2.25,78.435004,-3.0,-3.0,-2.25,
03/31/2007,1056,,,-466,,590,0.0,-661,440.0,,221.0,-71,-574,144.0,165.0,-21.0,0.0,430,-645,-2.0,-647,0.0,,,-647.0,0.0,-647,0.0,0.0,-647,-647.0,,97.944205,-6.6,-6.6,-2.25,97.944205,-6.6,-6.6,-2.25,
06/30/2007,1052,,,-454,,598,,-675,,,,-77,-125,126.0,138.0,-12.0,0.0,-1,-202,0.0,-202,0.0,,,-202.0,0.0,-202,0.0,0.0,-202,-202.0,2.0,101.974272,-1.95,-1.95,-1.95,101.974272,-1.95,-1.95,-1.95,
09/30/2007,1061,,,-454,,607,,-664,,,,-57,-121,126.0,138.0,-12.0,0.0,-5,-178,4.0,-174,0.0,,,-174.0,0.0,-174,0.0,0.0,-174,-174.0,0.65,102.268605,-1.65,-1.65,-1.65,102.268605,-1.65,-1.65,-1.65,
12/31/2007,1100,,,-459,,641,,-665,,,,-24,-87,,136.0,-9.0,0.0,-40,-111,20.0,-91,0.0,,,-91.0,0.0,-91,0.0,0.0,-91,-91.0,,102.449338,-0.9,-0.9,-0.9,102.449338,-0.9,-0.9,-0.9,
03/31/2008,1092,,,-475,,617,0.0,-669,422.0,,7.0,-52,-138,138.0,144.0,-6.0,,-7,-194,-3.0,-197,0.0,,,-197.0,0.0,-190,0.0,0.0,-190,-190.0,,102.791472,-1.8,-1.8,-1.8,102.791472,-1.8,-1.8,-1.8,
06/30/2008,1090,,,-460,,630,0.0,-654,395.0,,21.0,-24,-142,138.0,141.0,-3.0,,4,-66,-1.0,-67,0.0,,,-67.0,0.0,-42,0.0,0.0,-42,-42.0,,103.518539,-0.45,-0.45,-1.2,103.518539,-0.45,-0.45,-1.2,
09/30/2008,1070,,,-444,,626,0.0,-620,387.0,,233.0,6,-135,138.0,142.0,-4.0,,-3,-129,,-129,0.0,,,,0.0,-129,0.0,0.0,-129,-129.0,,103.914605,-1.2,-1.2,-1.2,103.914605,-1.2,-1.2,-1.2,
12/31/2008,1049,,,-430,,619,0.0,-525,301.0,,224.0,94,-49,141.0,143.0,-2.0,,-92,45,-2.0,43,,,,43.0,,43,0.0,0.0,43,43.0,,107.081939,0.45,0.45,-0.3,108.603472,0.45,0.45,-0.3,
03/31/2009,980,980.0,,-407,407.0,573,0.0,-561,338.0,222.0,1.0,12,-143,145.0,146.0,-1.0,,-2,-131,-1.0,-132,0.0,0.0,0.0,-132.0,0.0,-132,0.0,0.0,-132,-131.35,0.65,108.062139,-1.2,-1.2,-1.21551,108.062139,-1.2,-1.2,-1.21551,
06/30/2009,942,942.0,,-395,395.0,547,0.0,-555,321.0,228.0,6.0,-8,-125,151.0,152.0,-1.0,,-26,-133,-1.0,-134,0.0,0.0,0.0,-134.0,0.0,-134,0.0,0.0,-134,-144.1,-10.1,108.816939,-1.2,-1.2,-1.324245,108.816939,-1.2,-1.2,-1.324245,
09/30/2009,916,916.0,,-387,387.0,529,0.0,-555,325.0,229.0,1.0,-26,-142,147.0,147.0,0.0,,-5,-168,-2.0,-170,0.0,0.0,0.0,-170.0,0.0,-170,0.0,0.0,-170,-170.65,-0.65,109.181805,-1.5,-1.5,-1.562985,109.181805,-1.5,-1.5,-1.562985,
12/31/2009,924,924.0,,-376,376.0,548,0.0,-591,354.0,236.0,1.0,-43,-142,150.0,150.0,0.0,,-8,-185,3.0,-182,0.0,0.0,0.0,-182.0,0.0,-182,0.0,0.0,-182,-180.05,1.95,109.406072,-1.65,-1.65,-1.64571,109.406072,-1.65,-1.65,-1.64571,
03/31/2010,910,910.0,,-383,383.0,527,0.0,-568,343.0,225.0,0.0,-41,-196,149.0,149.0,0.0,,47,-237,-1.0,-238,0.0,0.0,0.0,-238.0,0.0,-238,0.0,0.0,-238,-184.0,54.0,109.827139,-2.1,-2.1,-1.675365,109.827139,-2.1,-2.1,-1.675365,
06/30/2010,908,908.0,,-374,374.0,534,0.0,-562,338.0,223.0,1.0,-28,-141,145.0,145.0,0.0,,-4,-169,0.0,-169,0.0,0.0,0.0,-169.0,,-169,0.0,0.0,-169,-165.1,3.9,110.667272,-1.5,-1.5,-1.491855,110.667272,-1.5,-1.5,-1.491855,
09/30/2010,912,912.0,,-368,368.0,544,0.0,-561,345.0,215.0,1.0,-17,-145,144.0,144.0,0.0,,1,-162,-1.0,-163,0.0,0.0,0.0,-163.0,0.0,-163,0.0,0.0,-163,-162.35,0.65,110.957451,-1.47,-1.47,-1.463175,110.957451,-1.47,-1.47,-1.46415,
12/31/2010,904,904.0,,-352,352.0,552,0.0,-557,347.0,210.0,0.0,-5,-141,147.0,148.0,-1.0,,-6,-146,93.0,-53,-1.0,-1.0,0.0,-52.0,0.0,-52,0.0,0.0,-52,-50.4,2.6,111.244449,-0.469995,-0.48,-0.45306,111.244449,-0.469995,-0.48,-0.45663,
03/31/2011,914,914.0,,-357,357.0,557,0.0,-560,357.0,203.0,0.0,-3,-174,157.0,157.0,0.0,,17,-177,-27.0,-204,1.0,1.0,0.0,-205.0,0.0,-205,0.0,0.0,-205,-192.3,11.7,112.078445,-1.830015,-1.82001,-1.71576,112.078445,-1.830015,-1.82001,-1.71576,
06/30/2011,913,913.0,,-347,347.0,566,0.0,-563,357.0,206.0,0.0,3,-180,160.0,160.0,0.0,,20,-177,-3.0,-180,1.0,1.0,0.0,-181.0,0.0,-181,0.0,0.0,-181,-152.7,27.3,113.588438,-1.590015,-1.58001,-1.34433,113.588438,-1.590015,-1.58001,-1.34433,
09/30/2011,927,927.0,,-342,342.0,585,0.0,-578,375.0,203.0,0.0,7,-209,178.0,178.0,0.0,,31,-202,-6.0,-208,-1.0,-1.0,0.0,-207.0,0.0,-207,0.0,0.0,-207,-161.85,46.15,118.066416,-1.750005,-1.76001,-1.370835,118.066416,-1.750005,-1.76001,-1.370835,
12/31/2011,1579,1579.0,,-660,660.0,919,0.0,-874,681.0,193.0,0.0,45,-275,220.0,221.0,-1.0,,55,-230,-5.0,-235,-72.0,-72.0,0.0,-163.0,0.0,-163,0.0,0.0,-163,-140.45359,94.54641,204.767,-0.8,-1.15,-0.685919,204.767,-0.8,-1.15,-0.688273,
03/31/2012,1586,1586.0,,-657,657.0,929,0.0,-813,626.0,187.0,0.0,116,-240,188.0,189.0,-1.0,,52,-124,-14.0,-138,0.0,0.0,0.0,-138.0,0.0,-138,0.0,0.0,-138,-95.75,42.25,209.759,-0.66,-0.66,-0.456476,209.759,-0.66,-0.66,-0.458578,
06/30/2012,1586,1586.0,,-648,648.0,938,0.0,-805,614.0,191.0,0.0,133,-187,180.0,181.0,-1.0,,7,-54,-8.0,-62,0.0,0.0,0.0,-62.0,0.0,-62,0.0,0.0,-62,-59.4,2.6,216.399,-0.29,-0.29,-0.274493,216.399,-0.29,-0.29,-0.277985,
09/30/2012,1590,1590.0,,-642,642.0,948,0.0,-810,625.0,185.0,0.0,138,-291,188.0,188.0,0.0,,103,-153,-13.0,-166,0.0,0.0,0.0,-166.0,0.0,-166,0.0,0.0,-166,-130.25,35.75,217.301,-0.76,-0.76,-0.599399,217.301,-0.76,-0.76,-0.599399,
12/31/2012,1614,1614.0,,-655,655.0,959,0.0,-771,585.0,186.0,0.0,188,-231,175.0,175.0,0.0,,56,-43,-13.0,-56,0.0,0.0,0.0,-56.0,0.0,-56,0.0,0.0,-56,-66.48012,-10.48012,217.924,-0.26,-0.26,-0.305061,217.924,-0.26,-0.26,-0.308091,
03/31/2013,1577,1577.0,,-629,629.0,948,0.0,-793,599.0,194.0,0.0,155,-219,169.0,169.0,0.0,,50,-64,-14.0,-78,0.0,0.0,0.0,-78.0,0.0,-78,0.0,0.0,-78,-51.68784,26.31216,219.268,-0.36,-0.36,-0.235729,219.268,-0.36,-0.36,-0.24,
06/30/2013,1565,1565.0,,-616,616.0,949,0.0,-809,610.0,199.0,0.0,140,-153,167.0,167.0,0.0,,-14,-13,-11.0,-24,0.0,0.0,0.0,-24.0,0.0,-24,0.0,0.0,-24,-18.00173,5.99827,221.609,-0.11,-0.11,-0.081232,221.609,-0.11,-0.11,-0.082933,
09/30/2013,1569,1569.0,,-608,608.0,961,0.0,-809,606.0,203.0,0.0,152,-159,165.0,165.0,0.0,,-6,-7,-14.0,-21,0.0,0.0,0.0,-21.0,0.0,-21,0.0,0.0,-21,26.0,47.0,222.679,-0.09,-0.09,0.11676,222.679,-0.09,-0.09,0.11676,
12/31/2013,1602,1602.0,,-618,618.0,984,0.0,-765,561.0,204.0,0.0,219,-206,148.0,148.0,0.0,,58,13,1.0,14,0.0,0.0,0.0,14.0,0.0,14,0.0,0.0,14,51.45,37.45,225.84,0.06,0.06,0.227816,228.827,0.06,0.06,0.223661,
03/31/2014,1609,1609.0,,-614,614.0,995,0.0,-731,547.0,184.0,0.0,264,-145,151.0,151.0,0.0,,-6,119,-7.0,112,0.0,0.0,0.0,112.0,0.0,112,0.0,0.0,112,112.0,0.0,235.635,0.48,0.48,0.48,239.294,0.47,0.47,0.47,
06/30/2014,1625,1625.0,,-613,613.0,1012,0.0,-756,569.0,187.0,0.0,256,-193,149.0,149.0,0.0,,44,63,-12.0,51,0.0,0.0,0.0,51.0,0.0,51,0.0,0.0,51,53.6,2.6,237.376,0.21,0.21,0.225802,241.406,0.21,0.21,0.22077,
