Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2010,2374.4,2374.4,-2006.0,2006.0,368.4,0.0,-263.8,,263.8,,0.0,104.6,-104.9,105.1,,,-0.2,-0.3,0.0,,-0.3,0.0,0.0,0.0,-0.3,,-0.3,,0.0,-0.3,-0.3,0.0,,,,,,,,,
12/31/2010,2269.4,2269.4,-1912.7,1912.7,356.7,0.0,-275.5,,275.5,,0.0,81.2,-110.5,103.2,,,7.3,-29.3,5.2,,-24.1,0.0,0.0,0.0,-24.1,,-24.1,,0.0,-24.1,-19.42,4.68,144.080698,-0.167267,-0.167267,-0.134786,144.080698,-0.167267,-0.167267,-0.134786,
03/31/2011,2129.6,2129.6,-1779.2,1779.2,350.4,0.0,-258.7,258.7,258.7,,0.0,91.7,-94.8,92.1,,,2.7,-3.1,-1.1,,-4.2,0.0,0.0,0.0,-4.2,0.0,-4.2,,0.0,-4.2,-2.12,2.08,,,,,,,,,
06/30/2011,2412.1,2412.1,-2011.3,2011.3,400.8,0.0,-272.6,272.6,272.6,,0.0,128.2,-181.4,65.7,,,115.7,-53.2,18.4,,-34.8,0.0,0.0,0.0,-34.8,,-34.8,,0.0,-34.8,40.405,75.205,,,,,,,,,
09/30/2011,2581.4,2581.4,-2161.4,2161.4,420.0,0.0,-280.3,280.3,280.3,,0.0,139.7,-85.0,85.5,,,-0.5,54.7,-17.6,,37.1,0.0,0.0,0.0,37.1,,37.1,,0.0,37.1,37.1,0.0,,,,,,,,,
12/31/2011,2479.3,2479.3,-2067.0,2067.0,412.3,0.0,-301.2,301.2,301.2,,0.0,111.1,-81.2,80.9,,,0.3,29.9,-10.9,,19.0,0.0,0.0,0.0,19.0,0.0,19.0,0.0,0.0,19.0,19.0,0.0,,,,,,,,,
03/31/2012,2319.2,2319.2,-1934.6,1934.6,384.6,0.0,-281.0,281.0,281.0,,0.0,103.6,-88.5,78.9,,,9.6,15.1,-4.2,,10.9,0.0,0.0,0.0,10.9,,10.9,,0.0,10.9,17.01,6.11,,,,,,,,,
06/30/2012,2584.7,2584.7,-2157.8,2157.8,426.9,0.0,-290.5,290.5,290.5,,0.0,136.4,-76.7,76.9,,,-0.2,59.7,-22.9,,36.8,0.0,0.0,0.0,36.8,,36.8,,0.0,36.8,36.8,0.0,,,,,,,,,
09/30/2012,2623.3,2623.3,-2190.6,2190.6,432.7,0.0,-293.0,293.0,293.0,,0.0,139.7,-76.5,76.7,,,-0.2,63.2,-25.2,,38.0,0.0,0.0,0.0,38.0,,38.0,,0.0,38.0,38.0,0.0,,,,,,,,,
12/31/2012,2601.0,2601.0,-2175.6,2175.6,425.4,0.0,-294.5,294.5,294.5,,0.0,130.9,-82.8,74.9,,,7.9,48.1,-14.8,,33.3,0.0,0.0,0.0,33.3,0.0,33.3,0.0,0.0,33.3,50.07,16.77,145.100039,0.229462,0.229462,0.345033,145.800062,0.228484,0.228484,0.343424,
03/31/2013,2411.7,2411.7,-2009.7,2009.7,402.0,0.0,-281.9,281.9,281.9,,0.0,120.1,-75.6,72.1,,,3.5,44.5,-16.2,,28.3,0.0,0.0,0.0,28.3,0.0,28.3,0.0,0.0,28.3,30.835,2.535,,,,,,,,,
06/30/2013,2779.3,2779.3,-2327.7,2327.7,451.6,0.0,-298.0,298.0,298.0,,0.0,153.6,-80.4,70.3,,,10.1,73.2,-26.5,,46.7,0.0,0.0,0.0,46.7,0.0,46.7,0.0,0.0,46.7,53.525,6.825,145.3,0.32,0.32,0.368376,146.7,0.32,0.32,0.366524,
09/30/2013,2864.3,2864.3,-2405.9,2405.9,458.4,0.0,-365.5,365.5,,,0.0,92.9,-97.7,56.2,,,41.5,-4.8,2.6,,-2.2,0.0,0.0,0.0,-2.2,0.0,-2.2,0.0,0.0,-2.2,66.05,68.25,166.8,-0.01,-0.01,0.395983,166.8,-0.01,-0.01,0.395983,
12/31/2013,2713.3,2713.3,-2265.0,2265.0,448.3,0.0,-306.3,306.3,,,0.0,142.0,-59.4,51.5,,,7.9,82.6,-22.6,,60.0,0.0,0.0,0.0,60.0,0.0,60.0,0.0,0.0,60.0,68.645,8.645,169.0,0.35,0.35,0.406183,172.1,0.35,0.35,0.400232,
03/31/2014,2652.3,2652.3,-2227.1,2227.1,425.2,0.0,-289.4,289.4,,,0.0,135.8,-55.0,50.1,,,4.9,80.8,-29.9,,50.9,0.0,0.0,0.0,50.9,0.0,50.9,0.0,0.0,50.9,54.085,3.185,169.6,0.3,0.3,0.318897,172.3,0.3,0.3,0.318485,
06/30/2014,3106.0,3106.0,-2609.1,2609.1,496.9,0.0,-308.7,308.7,,,0.0,188.2,-51.0,48.5,,,2.5,137.2,-50.6,,86.6,0.0,0.0,0.0,86.6,0.0,86.6,0.0,0.0,86.6,88.29,1.69,170.2,0.51,0.51,0.518743,172.7,0.5,0.5,0.509786,
09/30/2014,3266.1,3266.1,-2758.8,2758.8,507.3,0.0,-322.6,322.6,,,0.0,184.7,-95.2,50.1,,,45.1,89.5,-33.9,,55.6,0.0,0.0,0.0,55.6,0.0,55.6,0.0,0.0,55.6,85.175,29.575,170.9,0.33,0.33,0.498391,173.0,0.32,0.32,0.490954,
