Date,Assets,Real Estate Held for Sale,Net Real Estate Property,Gross Real Estate Property,Accumulated Depreciation,Net Mortgages & Notes,Mortgage Loan (REIT),Notes Receivable,Allowance for Loan Losses,Mortgage Backed Invt,Total Real Estate Investments,Cash & Near Cash Items,Accounts Receivable,Other Investments,Other Assets,Restricted Assets,Total Assets,Liabilities & Shareholders' Equity,Accounts Payable,ST Liabilities & Deposits,Other ST Liabilities,Secured & Unsecured Debt,Unsecured Debt,Secured Debt,Other Long-Term Liabilities,Total Liabilities,Total Preferred Equity,Minority Interest,Share Capital & APIC,Retained Earnings & Other Equity,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1998,,,6.239,,,,,,,,6.239,1.111,1.084,,134.557,,142.991,,0.692,3.277,3.277,91.139,1.0,90.139,7.141,102.249,4.067,,36.428,0.247,40.742,142.991,
03/31/2002,,0.0,3280.521,,,0.0,0.0,,0.0,0.0,3280.521,29.564,264.74,43.021,3068.132,47.499,6733.477,,222.765,44.718,44.718,3609.694,26.462,3583.232,41.135,3918.312,1.851,14.087,3639.613,-840.386,2815.165,6733.477,
06/30/2002,,0.0,3237.943,,,0.0,0.0,,0.0,0.0,3237.943,29.471,251.645,27.279,2516.502,47.47,6110.31,,235.393,47.897,47.897,3624.901,,3624.901,44.73,3952.921,1.855,14.486,3641.733,-1500.685,2157.389,6110.31,
09/30/2002,,,2989.989,,,,,,,,2989.989,64.86,241.617,23.871,2410.262,,5730.599,,210.635,50.216,50.216,3623.129,,3623.129,40.535,3924.515,,15.0,3643.587,-1852.503,1806.084,5730.599,
12/31/2002,,0.0,2734.885,3284.063,-549.178,109.414,0.0,109.414,0.0,0.0,2844.299,127.292,83.177,,2607.435,,5662.203,,174.041,120.348,120.348,3405.436,210.899,3194.537,206.488,3906.313,,15.567,3643.977,-1903.654,1755.89,5662.203,
03/31/2003,,0.0,2695.44,,,109.414,0.0,109.414,0.0,0.0,2804.854,101.411,78.778,,2520.666,217.188,5722.897,,148.914,437.935,437.935,3376.411,75.774,3300.637,33.478,3996.738,,16.018,3702.257,-1992.116,1726.159,5722.897,
06/30/2003,,0.0,2634.575,,,109.249,0.0,109.249,0.0,0.0,2743.824,107.597,57.904,,2474.042,192.885,5576.252,,151.901,315.294,315.294,3376.712,94.123,3282.589,29.822,3873.729,,16.717,3784.24,-2098.434,1702.523,5576.252,
09/30/2003,,0.0,2617.408,,,121.852,0.0,121.852,0.0,0.0,2739.26,66.131,52.623,,2448.571,283.722,5590.307,,126.2,254.425,254.425,3406.509,101.643,3304.866,28.471,3815.605,,17.529,3907.861,-2150.688,1774.702,5590.307,
12/31/2003,,0.0,2483.324,3271.039,-787.715,275.508,0.0,275.508,0.0,0.0,2758.832,105.465,57.735,,2198.586,170.036,5290.654,,167.291,51.359,51.359,3359.731,76.627,3283.104,83.496,3661.877,,18.599,3913.08,-2302.902,1628.777,5290.654,
03/31/2004,,0.0,2483.604,,,282.552,0.0,282.552,0.0,0.0,2766.156,98.698,46.31,,2167.609,119.137,5197.91,,134.402,37.371,37.371,3299.246,82.619,3216.627,29.034,3500.053,,25.806,3916.464,-2244.413,1697.857,5197.91,
06/30/2004,,0.0,2450.921,,,285.821,0.0,285.821,0.0,0.0,2736.742,197.856,44.193,,2187.479,,5166.27,,156.924,34.445,34.445,3266.817,6.495,3260.322,46.228,3504.414,,11.697,3948.387,-2298.228,1661.856,5166.27,
09/30/2004,,0.0,2391.203,,,288.536,0.0,288.536,0.0,0.0,2679.739,126.833,41.704,,2220.158,,5068.434,,135.995,33.154,33.154,3218.357,6.722,3211.635,47.037,3434.543,,11.863,3976.16,-2354.132,1633.891,5068.434,
12/31/2004,,0.0,2273.356,3270.329,-996.973,291.779,0.0,291.779,0.0,0.0,2565.135,215.557,38.634,,2266.646,,5085.972,,161.138,32.681,32.681,3293.614,138.386,3155.228,121.505,3608.938,,6.081,4014.722,-2543.769,1477.034,5085.972,
03/31/2005,,0.0,2231.278,,,293.045,0.0,293.045,0.0,0.0,2524.323,122.797,30.424,,2247.356,,4924.9,,164.252,28.422,28.422,3147.185,5.35,3141.835,126.74,3466.599,,5.97,4027.661,-2575.33,1458.301,4924.9,
06/30/2005,,0.0,2192.453,,,296.647,0.0,296.647,0.0,0.0,2489.1,85.622,23.118,,2227.823,,4825.663,,151.962,32.281,32.281,3079.88,87.955,2991.925,129.446,3393.569,,5.905,4033.337,-2607.148,1432.094,4825.663,
09/30/2005,,0.0,3404.389,,,370.768,0.0,370.768,0.0,0.0,3775.157,109.159,37.553,,4863.79,,8785.659,,236.153,74.847,74.847,3640.157,2.241,3637.916,190.172,4141.329,,5.916,7270.093,-2631.679,4644.33,8785.659,
12/31/2005,,0.0,3460.526,4739.575,-1279.049,357.294,0.0,357.294,0.0,0.0,3817.82,112.701,36.995,,4819.338,,8786.854,,216.801,77.655,77.655,3613.429,162.153,3451.276,327.354,4235.239,,9.794,7387.476,-2845.655,4551.615,8786.854,
