Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Net Ch of Investments,Net Ch in Operating Loans,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,18.410999,3.721,13.434,,2.782,,,,2.782,-1.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,12.026,4.806,12.234,,-3.45,,,,-3.45,-1.564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,25.711,7.248,11.688,,-7.135,,,,-7.135,13.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,-4.8,1.006,11.747,,-12.88,,,,-12.88,-4.673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1991,27.483,10.603,12.912,,-3.324,,,,-3.324,7.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,34.676998,9.548,12.713,,5.573,,,,5.573,6.843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,23.726,13.203,12.969,,-0.926,,,,-0.926,-1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,21.354,16.114,13.336,,-5.047,,,,-5.047,-3.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1992,62.648998,29.679001,13.057,,-6.863,,,,-6.863,26.775999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,-10.606,18.541,9.072,,-7.745,,,,-7.745,-30.474001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,36.375999,7.779,9.353,,11.828,,,,11.828,7.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,32.314999,25.229,9.008,,-14.154,,,,-14.154,12.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.314999,,,
03/31/1993,64.541,35.391998,9.473,,4.194,,,,4.194,15.482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,21.773001,31.603001,10.759,,-10.666,,,,-10.666,-9.923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,40.138,22.159,11.332,,9.58,,,,9.58,-2.933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,5.299,28.514,12.869,,-35.953999,,,,-35.953999,-0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.299,,,
03/31/1994,88.873001,38.189999,12.512,,17.573999,,,,17.573999,20.597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,18.410999,32.159,13.88,,-1.894,,,,-1.894,-25.733999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,78.357002,31.195,14.08,,0.367,,,,0.367,32.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,20.302,33.799,14.084,,-35.782001,,,,-35.782001,8.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.302,,,
03/31/1995,57.702999,38.375999,14.134,,7.78,,,,7.78,-2.587,,,,,,-18.006001,,-18.006001,,,,,,,,,,,,,,,,,,18.006001,,,,,,,,,,,,,,,,,
06/30/1995,71.969002,44.418999,14.558,,-10.46,,,,-10.46,23.452,,,,,,-24.872999,,-24.872999,,,,,,,,,,,,,,,,,,24.872999,,,,,,,,,,,,,,,,,
09/30/1995,97.327003,47.221001,17.773001,,8.402,,,,8.402,23.931,,,,,,-51.208,,-51.208,,,,,,,,,,,,,,,,,,51.208,,,,,,,,,,,,,,,,,
12/31/1995,20.346001,42.588001,22.327999,,-53.981998,,,,-53.981998,9.412,,,,,-71.542999,-71.542999,,-71.542999,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,-51.196998,,,
03/31/1996,158.371994,46.943001,24.750999,,61.964001,,,,61.964001,24.714001,,,,,,-68.699997,,-68.699997,,,,,,,,,,,,,,,,,,68.699997,,,,,,,,,,,,,,,,,
06/30/1996,68.447998,70.095001,23.353001,,0.553,,,,0.553,-25.552999,,,,,,-10.276,,-10.276,,,,,,,,,,,,,,,,,,10.276,,,,,,,,,,,,,,,,,
09/30/1996,69.235001,57.068001,24.231001,,13.632,,,,13.632,-25.695999,,,,,,-31.666,,-31.666,,,,,,,,,,,,,,,,,,31.666,,,,,,,,,,,,,,,,,
12/31/1996,61.623001,59.696999,26.007,,-52.540001,,,,-52.540001,28.459,,,,,,-49.169998,,-49.169998,,,,,,,,,,,,,,,,,,49.169998,,,,,,,,,,,,,,,,,
03/31/1997,116.405998,66.735001,27.773001,,49.527,,,,49.527,-27.629,,,,,,-32.727001,,-32.727001,,,,,,,,,,,,,,,,,,32.727001,,,,,,,,,,,,,,,,,
06/30/1997,85.522003,63.962002,29.686001,,0.573,,,,0.573,-8.699,,,,,,-36.894001,,-36.894001,,,,,,,,,,,,,,,,,,36.894001,,,,,,,,,,,,,,,,,
09/30/1997,210.070007,76.525002,34.948002,,-10.606,,,,-10.606,109.203003,,,,,,-33.594002,,-33.594002,,,,,,,,,,,,,,,,,,33.594002,,,,,,,,,,,,,,,,,
12/31/1997,-143.921005,63.055,32.275002,,-67.07,,,,-67.07,-172.181,,,,,,-36.201,,-36.201,,,,,,,,,,,,,,,,,,36.201,,,,,,,,,,,,,,,,,
03/31/1998,202.300003,67.963997,34.195,,52.319,,,,52.319,47.821999,,,,,,-37.776001,,-37.776001,,,,,,,,,,,,,,,,,,37.776001,,,,,,,,,,,,,,,0.999,158.932999,
06/30/1998,98.872002,76.356003,35.255001,,8.31,,,,8.31,-21.049,,,,,,-47.625,,-47.625,,,,,,,,,,,,,,,,,,47.625,,,,,,,,,,,,,,,61.037998,157.341995,
09/30/1998,234.121002,97.772003,35.174999,,44.775002,,,,44.775002,56.398998,,,,,,-59.441002,,-59.441002,,,,,,,,,,,,,,,,,,59.441002,,,,,,,,,,,,,,,36.345001,173.281998,
12/31/1998,182.772995,106.4,33.852001,,-62.173,,,,-62.173,104.723999,,,,,-40.652,-40.652,,-40.652,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,142.120995,30.341,165.014999,
03/31/1999,-71.082,142.867,34.869,,-7.877,,,,-7.877,-240.941,,,,,-78.416,-55.962,0.0,-55.962,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,-22.454,16.736,-11.287,0.0,,,,,28.972,28.972,0.0,0.0,-0.949,,-132.762,31.695,176.888,
06/30/1999,321.524,188.879,48.316,,45.768,,,,45.768,38.561,,,,,-384.037,-77.514,0.0,-77.514,-20.507,262.478,,,,-282.985,,,,-285.926,,,,,,,,-0.09,132.815,-18.796,66.671,,,,,-12.606,14.725,-27.331,97.235,0.311,,70.302,25.021,230.832,
09/30/1999,319.486,144.107,45.897,,-5.854,,,,-5.854,135.336,,,,,-213.674,-119.278,0.0,-119.278,19.72,70.676,,,,-50.956,,,,-112.0,,,,,,,,-2.116,101.008,-15.453,-16.968,,,,,-0.378,7.688,-8.066,134.079,-0.272,,206.82,77.401,232.717,
12/31/1999,434.874,190.593,51.988,,197.56,,,,197.56,-5.267,,,,,-296.61,-117.437,0.0,-117.437,-41.529,90.319,,,,-131.848,,,,-119.939,,,,,,,,-17.705,592.122,-15.571,49.676,,,,,-4.113,14.414,-18.527,558.838,3.292,,730.386,47.902,251.662,
03/31/2000,397.0,300.0,60.0,,22.0,,,,22.0,15.0,,,,,-327.0,-124.0,0.0,-124.0,-151.0,47.0,,,,-198.0,,,,-62.0,,,,,,,,10.0,11.0,-16.0,209.0,,,,,29.0,29.0,0.0,-210.0,-1.0,,81.0,69.0,310.0,
06/30/2000,-1265.0,137.0,77.0,,116.0,,,,116.0,-1595.0,,,,,-405.0,-150.0,0.0,-150.0,-27.0,61.0,,,,-88.0,,,,-201.0,,,,,,,,-27.0,207.0,-16.0,230.0,,,,,33.0,33.0,0.0,-33.0,-7.0,,-1463.0,176.0,320.0,
09/30/2000,686.0,142.0,80.0,,108.0,,,,108.0,356.0,,,,,-209.0,-193.0,0.0,-193.0,43.0,51.0,,,,-8.0,,,,-53.0,,,,,,,,-6.0,-149.0,-15.0,15.0,,,,,14.0,14.0,0.0,-172.0,9.0,,328.0,-9.0,382.0,
12/31/2000,572.349,138.705,89.742,,256.125,,,,256.125,87.777,,,,,-466.787,-237.821,0.0,-237.821,-99.572,161.242,,,,-260.814,,,,-142.552,,,,,,,,13.158,404.517,-15.194,-4.439,,,,,9.092,9.092,0.0,419.274,-4.216,,510.079,3.934,321.755,
03/31/2001,-1675.0,97.0,100.0,,7.0,,,,7.0,-1879.0,,,,,-291.0,-129.0,0.0,-129.0,-175.0,70.0,,,,-245.0,,,,25.0,,,,,,,,-12.0,-206.0,-15.0,-56.0,,,,,8.0,8.0,0.0,-143.0,0.0,,-2172.0,24.0,353.0,
06/30/2001,141.0,102.0,99.0,,-91.0,,,,-91.0,31.0,,,,,-113.0,-79.0,0.0,-79.0,47.0,522.0,,,,-475.0,,,,-343.0,,,,,,,,262.0,-158.0,-15.0,23.0,,,,,-138.0,6.0,-144.0,-28.0,0.0,,-130.0,38.0,248.0,
09/30/2001,781.0,13.0,102.0,,9.0,,,,9.0,657.0,,,,,-316.0,-58.0,0.0,-58.0,82.0,233.0,,,,-151.0,,,,-339.0,,,,,,,,-1.0,722.0,-16.0,666.0,,,,,-164.0,7.0,-171.0,235.0,1.0,,1187.0,22.0,212.0,
12/31/2001,169.0,-13.0,103.0,,-15.0,,,,-15.0,94.0,,,,,-87.0,-35.0,0.0,-35.0,154.0,308.0,,,,-154.0,,,,-178.0,,,,,,,,-28.0,564.0,-15.0,-449.0,,,,,-44.0,9.0,-53.0,1075.0,-3.0,,646.0,134.0,127.0,
03/31/2002,-1428.0,94.0,82.0,,-43.0,,,,-43.0,-1561.0,,,,,-419.0,-32.0,0.0,-32.0,-269.0,343.0,,,,-612.0,,,,-138.0,,,,,,,,20.0,-698.0,-15.0,635.0,,,,,15.0,15.0,0.0,-1332.0,-1.0,,-2545.0,11.0,108.0,
06/30/2002,722.0,98.0,81.0,,11.0,,,,11.0,532.0,,,,,-354.0,-40.0,0.0,-40.0,-260.0,203.0,,,,-463.0,,,,-258.0,,,,,,,,204.0,280.0,-15.0,79.0,,,,,-27.0,4.0,-31.0,241.0,2.0,,648.0,4.0,75.0,
09/30/2002,340.0,-4.0,79.0,,51.0,,,,51.0,214.0,,,,,166.0,-42.0,0.0,-42.0,297.0,307.0,,,,-10.0,,,,-87.0,,,,,,,,-2.0,-502.0,-15.0,-635.0,,,,,-195.0,4.0,-199.0,343.0,0.0,,4.0,66.0,98.0,
